Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,mushrooms,April 2017,132.0,116.1,1,1.83
2,mushrooms,May 2017,131.9,110.9,1,1.81
3,mushrooms,June 2017,132.1,106.5,0,1.89
4,mushrooms,July 2017,131.9,107.0,1,1.87
5,mushrooms,August 2017,131.8,109.7,0,1.93
6,mushrooms,September 2017,132.3,116.0,1,1.75
7,mushrooms,October 2017,132.3,112.4,1,1.82
8,mushrooms,November 2017,132.7,120.8,0,1.86
9,mushrooms,December 2017,132.0,116.9,1,2.0
10,mushrooms,January 2018,133.2,120.6,1,1.93
11,mushrooms,February 2018,134.0,119.7,1,1.98
12,mushrooms,March 2018,134.6,123.1,0,1.95
13,mushrooms,April 2018,134.8,131.6,1,1.84
14,mushrooms,May 2018,134.9,135.9,1,2.12
15,mushrooms,June 2018,135.3,132.9,0,2.01
16,mushrooms,July 2018,136.0,133.9,1,2.09
17,mushrooms,August 2018,135.9,131.8,0,2.12
18,mushrooms,September 2018,135.2,130.4,1,1.95
19,mushrooms,October 2018,135.6,125.9,1,1.95
20,mushrooms,November 2018,135.1,113.8,0,1.91
21,mushrooms,December 2018,135.0,106.4,1,2.04
22,mushrooms,January 2019,135.2,103.1,1,1.95
23,mushrooms,February 2019,136.0,105.1,1,1.81
24,mushrooms,March 2019,137.0,117.7,0,2.01
25,mushrooms,April 2019,137.4,129.5,1,2.01
26,mushrooms,May 2019,138.1,130.7,1,1.96
27,mushrooms,June 2019,138.0,119.9,0,2.19
28,mushrooms,July 2019,138.8,124.4,1,1.97
29,mushrooms,August 2019,138.5,117.9,0,2.14
30,mushrooms,September 2019,137.5,116.9,1,2.0
31,mushrooms,October 2019,137.9,117.2,1,1.97
32,mushrooms,November 2019,137.7,115.0,0,2.1
33,mushrooms,December 2019,137.8,114.5,1,2.12
34,mushrooms,January 2020,138.0,114.6,1,2.17
35,mushrooms,February 2020,138.7,112.2,1,1.93
36,mushrooms,March 2020,137.9,91.3,0,2.09
37,mushrooms,April 2020,137.3,77.8,1,2.28
38,mushrooms,May 2020,137.5,91.4,1,2.29
39,mushrooms,June 2020,138.6,101.0,0,2.28
40,mushrooms,July 2020,138.8,105.5,1,2.34
41,mushrooms,August 2020,138.6,104.6,0,2.08
42,mushrooms,September 2020,138.3,104.1,1,2.35
43,mushrooms,October 2020,138.9,102.6,1,2.35
44,mushrooms,November 2020,139.0,101.1,0,2.32
45,mushrooms,December 2020,138.8,104.4,1,2.4
46,mushrooms,January 2021,139.5,111.0,1,2.3
47,mushrooms,February 2021,140.2,118.2,1,2.09
48,mushrooms,March 2021,141.0,125.0,0,2.26
49,mushrooms,April 2021,141.8,127.5,1,2.31
50,mushrooms,May 2021,142.6,131.5,1,2.34
51,mushrooms,June 2021,143.1,133.7,0,2.39
52,mushrooms,July 2021,143.7,138.4,1,2.4
53,mushrooms,August 2021,144.1,139.0,0,2.32
54,mushrooms,September 2021,144.4,138.9,1,2.18
55,mushrooms,October 2021,145.7,146.0,1,2.39
56,mushrooms,November 2021,146.0,145.8,0,2.31
57,mushrooms,December 2021,146.0,140.0,1,2.46
58,mushrooms,January 2022,147.4,146.6,1,2.41
59,mushrooms,February 2022,148.8,156.8,1,2.42
60,mushrooms,March 2022,150.8,175.2,0,2.36
61,mushrooms,April 2022,151.6,173.8,1,2.42
62,mushrooms,May 2022,153.7,194.8,1,2.59
63,mushrooms,June 2022,154.4,207.2,0,2.29
64,mushrooms,July 2022,154.6,187.8,1,2.37
65,mushrooms,August 2022,154.1,169.6,0,2.52
66,mushrooms,September 2022,154.1,156.4,1,2.21
67,mushrooms,October 2022,155.2,171.5,1,2.58
68,mushrooms,November 2022,155.4,165.3,0,2.47
69,mushrooms,December 2022,154.8,143.6,1,2.69
70,mushrooms,January 2023,155.7,150.3,1,2.56
71,mushrooms,February 2023,156.4,148.5,1,2.62
72,mushrooms,March 2023,157.3,150.3,0,2.7
73,mushrooms,April 2023,157.9,160.1,1,2.62
74,mushrooms,May 2023,158.5,158.8,1,2.65
75,mushrooms,June 2023,158.4,161.6,0,2.41
76,mushrooms,July 2023,159.6,163.1,1,2.35
77,mushrooms,August 2023,159.9,170.6,0,2.65
78,mushrooms,September 2023,159.7,168.3,1,2.27
79,mushrooms,October 2023,160.3,157.4,1,2.64
80,mushrooms,November 2023,160.6,152.2,0,2.64
81,mushrooms,December 2023,160.0,145.4,1,2.67
82,mushrooms,January 2024,159.9,144.1,1,2.35
83,mushrooms,February 2024,160.2,149.9,1,2.5
84,mushrooms,March 2024,161.4,157.3,0,2.33
85,mushrooms,April 2024,162.2,169.8,1,2.31
86,mushrooms,May 2024,163.2,167.6,1,2.59
87,mushrooms,June 2024,163.1,162.4,0,2.15
88,mushrooms,July 2024,163.9,166.5,1,2.28
89,mushrooms,August 2024,163.3,162.1,0,2.55
90,mushrooms,September 2024,162.8,150.3,1,2.58
91,mushrooms,October 2024,163.5,151.6,1,2.59
92,mushrooms,November 2024,163.5,151.4,0,2.62
93,mushrooms,December 2024,162.7,150.5,1,2.67
94,mushrooms,January 2025,162.6,156.7,1,2.54
95,mushrooms,February 2025,164.6,157.7,1,2.54
96,mushrooms,March 2025,165.1,154.8,0,2.29
97,mushrooms,April 2025,164.8,139.2,1,2.31
98,mushrooms,May 2025,165.9,141.7,1,2.36
99,mushrooms,June 2025,166.0,140.7,0,2.39
100,mushrooms,July 2025,166.5,139.6,1,2.21
101,mushrooms,August 2025,166.0,141.6,0,2.45
