Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,nutmilk,April 2017,132.0,116.1,1,3.89
2,nutmilk,May 2017,131.9,110.9,1,3.93
3,nutmilk,June 2017,132.1,106.5,0,3.86
4,nutmilk,July 2017,131.9,107.0,1,3.87
5,nutmilk,August 2017,131.8,109.7,0,3.87
6,nutmilk,September 2017,132.3,116.0,1,3.75
7,nutmilk,October 2017,132.3,112.4,1,3.67
8,nutmilk,November 2017,132.7,120.8,0,3.76
9,nutmilk,December 2017,132.0,116.9,1,3.85
10,nutmilk,January 2018,133.2,120.6,1,3.61
11,nutmilk,February 2018,134.0,119.7,1,3.7
12,nutmilk,March 2018,134.6,123.1,0,3.55
13,nutmilk,April 2018,134.8,131.6,1,3.74
14,nutmilk,May 2018,134.9,135.9,1,3.66
15,nutmilk,June 2018,135.3,132.9,0,3.75
16,nutmilk,July 2018,136.0,133.9,1,3.83
17,nutmilk,August 2018,135.9,131.8,0,3.72
18,nutmilk,September 2018,135.2,130.4,1,3.66
19,nutmilk,October 2018,135.6,125.9,1,3.52
20,nutmilk,November 2018,135.1,113.8,0,3.63
21,nutmilk,December 2018,135.0,106.4,1,3.73
22,nutmilk,January 2019,135.2,103.1,1,3.54
23,nutmilk,February 2019,136.0,105.1,1,3.73
24,nutmilk,March 2019,137.0,117.7,0,3.75
25,nutmilk,April 2019,137.4,129.5,1,3.8
26,nutmilk,May 2019,138.1,130.7,1,3.78
27,nutmilk,June 2019,138.0,119.9,0,3.81
28,nutmilk,July 2019,138.8,124.4,1,3.87
29,nutmilk,August 2019,138.5,117.9,0,3.85
30,nutmilk,September 2019,137.5,116.9,1,3.72
31,nutmilk,October 2019,137.9,117.2,1,3.62
32,nutmilk,November 2019,137.7,115.0,0,3.74
33,nutmilk,December 2019,137.8,114.5,1,3.86
34,nutmilk,January 2020,138.0,114.6,1,3.71
35,nutmilk,February 2020,138.7,112.2,1,3.69
36,nutmilk,March 2020,137.9,91.3,0,3.8
37,nutmilk,April 2020,137.3,77.8,1,3.8
38,nutmilk,May 2020,137.5,91.4,1,3.83
39,nutmilk,June 2020,138.6,101.0,0,3.67
40,nutmilk,July 2020,138.8,105.5,1,3.67
41,nutmilk,August 2020,138.6,104.6,0,3.54
42,nutmilk,September 2020,138.3,104.1,1,3.82
43,nutmilk,October 2020,138.9,102.6,1,3.72
44,nutmilk,November 2020,139.0,101.1,0,3.75
45,nutmilk,December 2020,138.8,104.4,1,3.85
46,nutmilk,January 2021,139.5,111.0,1,3.68
47,nutmilk,February 2021,140.2,118.2,1,3.75
48,nutmilk,March 2021,141.0,125.0,0,3.81
49,nutmilk,April 2021,141.8,127.5,1,3.63
50,nutmilk,May 2021,142.6,131.5,1,3.73
51,nutmilk,June 2021,143.1,133.7,0,3.83
52,nutmilk,July 2021,143.7,138.4,1,3.79
53,nutmilk,August 2021,144.1,139.0,0,3.68
54,nutmilk,September 2021,144.4,138.9,1,3.71
55,nutmilk,October 2021,145.7,146.0,1,3.74
56,nutmilk,November 2021,146.0,145.8,0,3.61
57,nutmilk,December 2021,146.0,140.0,1,3.82
58,nutmilk,January 2022,147.4,146.6,1,3.62
59,nutmilk,February 2022,148.8,156.8,1,3.74
60,nutmilk,March 2022,150.8,175.2,0,3.86
61,nutmilk,April 2022,151.6,173.8,1,3.93
62,nutmilk,May 2022,153.7,194.8,1,3.92
63,nutmilk,June 2022,154.4,207.2,0,3.85
64,nutmilk,July 2022,154.6,187.8,1,3.89
65,nutmilk,August 2022,154.1,169.6,0,3.93
66,nutmilk,September 2022,154.1,156.4,1,3.98
67,nutmilk,October 2022,155.2,171.5,1,4.05
68,nutmilk,November 2022,155.4,165.3,0,4.11
69,nutmilk,December 2022,154.8,143.6,1,3.91
70,nutmilk,January 2023,155.7,150.3,1,4.17
71,nutmilk,February 2023,156.4,148.5,1,4.06
72,nutmilk,March 2023,157.3,150.3,0,4.14
73,nutmilk,April 2023,157.9,160.1,1,4.28
74,nutmilk,May 2023,158.5,158.8,1,3.96
75,nutmilk,June 2023,158.4,161.6,0,4.23
76,nutmilk,July 2023,159.6,163.1,1,4.11
77,nutmilk,August 2023,159.9,170.6,0,4.05
78,nutmilk,September 2023,159.7,168.3,1,4.15
79,nutmilk,October 2023,160.3,157.4,1,4.22
80,nutmilk,November 2023,160.6,152.2,0,3.83
81,nutmilk,December 2023,160.0,145.4,1,4.19
82,nutmilk,January 2024,159.9,144.1,1,4.1
83,nutmilk,February 2024,160.2,149.9,1,3.99
84,nutmilk,March 2024,161.4,157.3,0,4.08
85,nutmilk,April 2024,162.2,169.8,1,4.14
86,nutmilk,May 2024,163.2,167.6,1,4.08
87,nutmilk,June 2024,163.1,162.4,0,4.21
88,nutmilk,July 2024,163.9,166.5,1,4.23
89,nutmilk,August 2024,163.3,162.1,0,4.25
90,nutmilk,September 2024,162.8,150.3,1,4.16
91,nutmilk,October 2024,163.5,151.6,1,4.08
92,nutmilk,November 2024,163.5,151.4,0,4.14
93,nutmilk,December 2024,162.7,150.5,1,4.13
94,nutmilk,January 2025,162.6,156.7,1,4.06
95,nutmilk,February 2025,164.6,157.7,1,4.14
96,nutmilk,March 2025,165.1,154.8,0,4.09
97,nutmilk,April 2025,164.8,139.2,1,3.98
98,nutmilk,May 2025,165.9,141.7,1,3.97
99,nutmilk,June 2025,166.0,140.7,0,4.03
100,nutmilk,July 2025,166.5,139.6,1,4.05
101,nutmilk,August 2025,166.0,141.6,0,4.01
