Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,oliveoil,April 2017,132.0,116.1,1,8.68
2,oliveoil,May 2017,131.9,110.9,1,8.65
3,oliveoil,June 2017,132.1,106.5,0,8.32
4,oliveoil,July 2017,131.9,107.0,1,8.24
5,oliveoil,August 2017,131.8,109.7,0,8.51
6,oliveoil,September 2017,132.3,116.0,1,8.21
7,oliveoil,October 2017,132.3,112.4,1,6.47
8,oliveoil,November 2017,132.7,120.8,0,6.83
9,oliveoil,December 2017,132.0,116.9,1,7.46
10,oliveoil,January 2018,133.2,120.6,1,8.44
11,oliveoil,February 2018,134.0,119.7,1,6.26
12,oliveoil,March 2018,134.6,123.1,0,8.44
13,oliveoil,April 2018,134.8,131.6,1,7.71
14,oliveoil,May 2018,134.9,135.9,1,7.58
15,oliveoil,June 2018,135.3,132.9,0,6.98
16,oliveoil,July 2018,136.0,133.9,1,7.59
17,oliveoil,August 2018,135.9,131.8,0,7.78
18,oliveoil,September 2018,135.2,130.4,1,6.64
19,oliveoil,October 2018,135.6,125.9,1,6.99
20,oliveoil,November 2018,135.1,113.8,0,6.68
21,oliveoil,December 2018,135.0,106.4,1,6.86
22,oliveoil,January 2019,135.2,103.1,1,7.96
23,oliveoil,February 2019,136.0,105.1,1,6.34
24,oliveoil,March 2019,137.0,117.7,0,7.27
25,oliveoil,April 2019,137.4,129.5,1,7.67
26,oliveoil,May 2019,138.1,130.7,1,7.27
27,oliveoil,June 2019,138.0,119.9,0,7.65
28,oliveoil,July 2019,138.8,124.4,1,8.01
29,oliveoil,August 2019,138.5,117.9,0,8.36
30,oliveoil,September 2019,137.5,116.9,1,6.79
31,oliveoil,October 2019,137.9,117.2,1,6.84
32,oliveoil,November 2019,137.7,115.0,0,6.98
33,oliveoil,December 2019,137.8,114.5,1,5.55
34,oliveoil,January 2020,138.0,114.6,1,7.69
35,oliveoil,February 2020,138.7,112.2,1,7.29
36,oliveoil,March 2020,137.9,91.3,0,7.37
37,oliveoil,April 2020,137.3,77.8,1,7.78
38,oliveoil,May 2020,137.5,91.4,1,7.04
39,oliveoil,June 2020,138.6,101.0,0,7.86
40,oliveoil,July 2020,138.8,105.5,1,7.48
41,oliveoil,August 2020,138.6,104.6,0,5.71
42,oliveoil,September 2020,138.3,104.1,1,6.47
43,oliveoil,October 2020,138.9,102.6,1,5.92
44,oliveoil,November 2020,139.0,101.1,0,7.51
45,oliveoil,December 2020,138.8,104.4,1,5.89
46,oliveoil,January 2021,139.5,111.0,1,7.58
47,oliveoil,February 2021,140.2,118.2,1,5.83
48,oliveoil,March 2021,141.0,125.0,0,6.18
49,oliveoil,April 2021,141.8,127.5,1,7.84
50,oliveoil,May 2021,142.6,131.5,1,7.8
51,oliveoil,June 2021,143.1,133.7,0,7.41
52,oliveoil,July 2021,143.7,138.4,1,7.73
53,oliveoil,August 2021,144.1,139.0,0,7.56
54,oliveoil,September 2021,144.4,138.9,1,7.06
55,oliveoil,October 2021,145.7,146.0,1,7.48
56,oliveoil,November 2021,146.0,145.8,0,8.35
57,oliveoil,December 2021,146.0,140.0,1,8.22
58,oliveoil,January 2022,147.4,146.6,1,8.43
59,oliveoil,February 2022,148.8,156.8,1,7.01
60,oliveoil,March 2022,150.8,175.2,0,8.76
61,oliveoil,April 2022,151.6,173.8,1,8.38
62,oliveoil,May 2022,153.7,194.8,1,8.49
63,oliveoil,June 2022,154.4,207.2,0,8.57
64,oliveoil,July 2022,154.6,187.8,1,8.14
65,oliveoil,August 2022,154.1,169.6,0,9.75
66,oliveoil,September 2022,154.1,156.4,1,8.07
67,oliveoil,October 2022,155.2,171.5,1,7.8
68,oliveoil,November 2022,155.4,165.3,0,8.71
69,oliveoil,December 2022,154.8,143.6,1,9.19
70,oliveoil,January 2023,155.7,150.3,1,9.99
71,oliveoil,February 2023,156.4,148.5,1,9.79
72,oliveoil,March 2023,157.3,150.3,0,9.79
73,oliveoil,April 2023,157.9,160.1,1,11.07
74,oliveoil,May 2023,158.5,158.8,1,11.36
75,oliveoil,June 2023,158.4,161.6,0,12.16
76,oliveoil,July 2023,159.6,163.1,1,11.45
77,oliveoil,August 2023,159.9,170.6,0,12.31
78,oliveoil,September 2023,159.7,168.3,1,11.0
79,oliveoil,October 2023,160.3,157.4,1,11.8
80,oliveoil,November 2023,160.6,152.2,0,13.13
81,oliveoil,December 2023,160.0,145.4,1,13.45
82,oliveoil,January 2024,159.9,144.1,1,13.66
83,oliveoil,February 2024,160.2,149.9,1,14.78
84,oliveoil,March 2024,161.4,157.3,0,15.54
85,oliveoil,April 2024,162.2,169.8,1,15.7
86,oliveoil,May 2024,163.2,167.6,1,15.06
87,oliveoil,June 2024,163.1,162.4,0,16.73
88,oliveoil,July 2024,163.9,166.5,1,16.2
89,oliveoil,August 2024,163.3,162.1,0,15.81
90,oliveoil,September 2024,162.8,150.3,1,15.28
91,oliveoil,October 2024,163.5,151.6,1,16.11
92,oliveoil,November 2024,163.5,151.4,0,15.91
93,oliveoil,December 2024,162.7,150.5,1,15.97
94,oliveoil,January 2025,162.6,156.7,1,16.07
95,oliveoil,February 2025,164.6,157.7,1,12.61
96,oliveoil,March 2025,165.1,154.8,0,13.82
97,oliveoil,April 2025,164.8,139.2,1,11.94
98,oliveoil,May 2025,165.9,141.7,1,11.77
99,oliveoil,June 2025,166.0,140.7,0,12.41
100,oliveoil,July 2025,166.5,139.6,1,11.04
101,oliveoil,August 2025,166.0,141.6,0,11.63
