Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,onions,April 2017,132.0,116.1,1,3.46
2,onions,May 2017,131.9,110.9,1,3.49
3,onions,June 2017,132.1,106.5,0,3.65
4,onions,July 2017,131.9,107.0,1,3.71
5,onions,August 2017,131.8,109.7,0,3.7
6,onions,September 2017,132.3,116.0,1,3.75
7,onions,October 2017,132.3,112.4,1,3.71
8,onions,November 2017,132.7,120.8,0,3.77
9,onions,December 2017,132.0,116.9,1,3.98
10,onions,January 2018,133.2,120.6,1,4.01
11,onions,February 2018,134.0,119.7,1,4.11
12,onions,March 2018,134.6,123.1,0,4.35
13,onions,April 2018,134.8,131.6,1,4.3
14,onions,May 2018,134.9,135.9,1,4.09
15,onions,June 2018,135.3,132.9,0,3.96
16,onions,July 2018,136.0,133.9,1,4.01
17,onions,August 2018,135.9,131.8,0,4.07
18,onions,September 2018,135.2,130.4,1,4.05
19,onions,October 2018,135.6,125.9,1,3.92
20,onions,November 2018,135.1,113.8,0,4.02
21,onions,December 2018,135.0,106.4,1,4.19
22,onions,January 2019,135.2,103.1,1,3.98
23,onions,February 2019,136.0,105.1,1,4.06
24,onions,March 2019,137.0,117.7,0,4.3
25,onions,April 2019,137.4,129.5,1,4.83
26,onions,May 2019,138.1,130.7,1,4.86
27,onions,June 2019,138.0,119.9,0,4.79
28,onions,July 2019,138.8,124.4,1,4.6
29,onions,August 2019,138.5,117.9,0,4.67
30,onions,September 2019,137.5,116.9,1,4.55
31,onions,October 2019,137.9,117.2,1,4.49
32,onions,November 2019,137.7,115.0,0,4.51
33,onions,December 2019,137.8,114.5,1,4.58
34,onions,January 2020,138.0,114.6,1,4.25
35,onions,February 2020,138.7,112.2,1,4.41
36,onions,March 2020,137.9,91.3,0,4.32
37,onions,April 2020,137.3,77.8,1,4.52
38,onions,May 2020,137.5,91.4,1,4.35
39,onions,June 2020,138.6,101.0,0,4.43
40,onions,July 2020,138.8,105.5,1,4.43
41,onions,August 2020,138.6,104.6,0,4.51
42,onions,September 2020,138.3,104.1,1,4.39
43,onions,October 2020,138.9,102.6,1,4.45
44,onions,November 2020,139.0,101.1,0,4.39
45,onions,December 2020,138.8,104.4,1,4.56
46,onions,January 2021,139.5,111.0,1,4.3
47,onions,February 2021,140.2,118.2,1,4.31
48,onions,March 2021,141.0,125.0,0,4.4
49,onions,April 2021,141.8,127.5,1,4.28
50,onions,May 2021,142.6,131.5,1,4.41
51,onions,June 2021,143.1,133.7,0,4.39
52,onions,July 2021,143.7,138.4,1,4.47
53,onions,August 2021,144.1,139.0,0,4.49
54,onions,September 2021,144.4,138.9,1,4.36
55,onions,October 2021,145.7,146.0,1,4.34
56,onions,November 2021,146.0,145.8,0,4.49
57,onions,December 2021,146.0,140.0,1,4.59
58,onions,January 2022,147.4,146.6,1,4.75
59,onions,February 2022,148.8,156.8,1,5.22
60,onions,March 2022,150.8,175.2,0,5.58
61,onions,April 2022,151.6,173.8,1,5.59
62,onions,May 2022,153.7,194.8,1,5.62
63,onions,June 2022,154.4,207.2,0,5.73
64,onions,July 2022,154.6,187.8,1,5.63
65,onions,August 2022,154.1,169.6,0,5.65
66,onions,September 2022,154.1,156.4,1,5.55
67,onions,October 2022,155.2,171.5,1,5.49
68,onions,November 2022,155.4,165.3,0,5.5
69,onions,December 2022,154.8,143.6,1,5.7
70,onions,January 2023,155.7,150.3,1,5.53
71,onions,February 2023,156.4,148.5,1,5.5
72,onions,March 2023,157.3,150.3,0,5.48
73,onions,April 2023,157.9,160.1,1,5.36
74,onions,May 2023,158.5,158.8,1,5.3
75,onions,June 2023,158.4,161.6,0,5.3
76,onions,July 2023,159.6,163.1,1,5.4
77,onions,August 2023,159.9,170.6,0,5.47
78,onions,September 2023,159.7,168.3,1,5.39
79,onions,October 2023,160.3,157.4,1,5.25
80,onions,November 2023,160.6,152.2,0,5.27
81,onions,December 2023,160.0,145.4,1,5.56
82,onions,January 2024,159.9,144.1,1,5.37
83,onions,February 2024,160.2,149.9,1,5.61
84,onions,March 2024,161.4,157.3,0,5.86
85,onions,April 2024,162.2,169.8,1,5.72
86,onions,May 2024,163.2,167.6,1,5.81
87,onions,June 2024,163.1,162.4,0,5.97
88,onions,July 2024,163.9,166.5,1,6.18
89,onions,August 2024,163.3,162.1,0,5.93
90,onions,September 2024,162.8,150.3,1,5.96
91,onions,October 2024,163.5,151.6,1,5.75
92,onions,November 2024,163.5,151.4,0,5.78
93,onions,December 2024,162.7,150.5,1,5.75
94,onions,January 2025,162.6,156.7,1,5.68
95,onions,February 2025,164.6,157.7,1,5.68
96,onions,March 2025,165.1,154.8,0,5.77
97,onions,April 2025,164.8,139.2,1,5.83
98,onions,May 2025,165.9,141.7,1,5.8
99,onions,June 2025,166.0,140.7,0,5.83
100,onions,July 2025,166.5,139.6,1,5.76
101,onions,August 2025,166.0,141.6,0,5.61
