Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,onionskilograms,April 2017,132.0,116.1,1,3.01
2,onionskilograms,May 2017,131.9,110.9,1,3.06
3,onionskilograms,June 2017,132.1,106.5,0,3.21
4,onionskilograms,July 2017,131.9,107.0,1,3.61
5,onionskilograms,August 2017,131.8,109.7,0,3.3
6,onionskilograms,September 2017,132.3,116.0,1,3.38
7,onionskilograms,October 2017,132.3,112.4,1,2.97
8,onionskilograms,November 2017,132.7,120.8,0,2.82
9,onionskilograms,December 2017,132.0,116.9,1,3.14
10,onionskilograms,January 2018,133.2,120.6,1,3.12
11,onionskilograms,February 2018,134.0,119.7,1,3.15
12,onionskilograms,March 2018,134.6,123.1,0,3.37
13,onionskilograms,April 2018,134.8,131.6,1,3.26
14,onionskilograms,May 2018,134.9,135.9,1,3.2
15,onionskilograms,June 2018,135.3,132.9,0,3.33
16,onionskilograms,July 2018,136.0,133.9,1,3.65
17,onionskilograms,August 2018,135.9,131.8,0,3.58
18,onionskilograms,September 2018,135.2,130.4,1,3.1
19,onionskilograms,October 2018,135.6,125.9,1,2.96
20,onionskilograms,November 2018,135.1,113.8,0,3.18
21,onionskilograms,December 2018,135.0,106.4,1,3.33
22,onionskilograms,January 2019,135.2,103.1,1,3.52
23,onionskilograms,February 2019,136.0,105.1,1,3.46
24,onionskilograms,March 2019,137.0,117.7,0,3.9
25,onionskilograms,April 2019,137.4,129.5,1,4.11
26,onionskilograms,May 2019,138.1,130.7,1,4.32
27,onionskilograms,June 2019,138.0,119.9,0,4.33
28,onionskilograms,July 2019,138.8,124.4,1,4.89
29,onionskilograms,August 2019,138.5,117.9,0,4.3
30,onionskilograms,September 2019,137.5,116.9,1,3.49
31,onionskilograms,October 2019,137.9,117.2,1,3.27
32,onionskilograms,November 2019,137.7,115.0,0,3.38
33,onionskilograms,December 2019,137.8,114.5,1,3.6
34,onionskilograms,January 2020,138.0,114.6,1,3.32
35,onionskilograms,February 2020,138.7,112.2,1,3.38
36,onionskilograms,March 2020,137.9,91.3,0,3.47
37,onionskilograms,April 2020,137.3,77.8,1,3.7
38,onionskilograms,May 2020,137.5,91.4,1,3.84
39,onionskilograms,June 2020,138.6,101.0,0,4.02
40,onionskilograms,July 2020,138.8,105.5,1,4.16
41,onionskilograms,August 2020,138.6,104.6,0,3.77
42,onionskilograms,September 2020,138.3,104.1,1,3.85
43,onionskilograms,October 2020,138.9,102.6,1,3.66
44,onionskilograms,November 2020,139.0,101.1,0,3.74
45,onionskilograms,December 2020,138.8,104.4,1,3.69
46,onionskilograms,January 2021,139.5,111.0,1,3.69
47,onionskilograms,February 2021,140.2,118.2,1,3.65
48,onionskilograms,March 2021,141.0,125.0,0,3.93
49,onionskilograms,April 2021,141.8,127.5,1,3.82
50,onionskilograms,May 2021,142.6,131.5,1,3.86
51,onionskilograms,June 2021,143.1,133.7,0,4.08
52,onionskilograms,July 2021,143.7,138.4,1,4.1
53,onionskilograms,August 2021,144.1,139.0,0,3.95
54,onionskilograms,September 2021,144.4,138.9,1,3.89
55,onionskilograms,October 2021,145.7,146.0,1,3.64
56,onionskilograms,November 2021,146.0,145.8,0,3.74
57,onionskilograms,December 2021,146.0,140.0,1,3.69
58,onionskilograms,January 2022,147.4,146.6,1,3.69
59,onionskilograms,February 2022,148.8,156.8,1,4.16
60,onionskilograms,March 2022,150.8,175.2,0,4.3
61,onionskilograms,April 2022,151.6,173.8,1,4.61
62,onionskilograms,May 2022,153.7,194.8,1,4.73
63,onionskilograms,June 2022,154.4,207.2,0,4.73
64,onionskilograms,July 2022,154.6,187.8,1,5.08
65,onionskilograms,August 2022,154.1,169.6,0,5.12
66,onionskilograms,September 2022,154.1,156.4,1,4.68
67,onionskilograms,October 2022,155.2,171.5,1,4.36
68,onionskilograms,November 2022,155.4,165.3,0,4.38
69,onionskilograms,December 2022,154.8,143.6,1,4.55
70,onionskilograms,January 2023,155.7,150.3,1,4.51
71,onionskilograms,February 2023,156.4,148.5,1,4.59
72,onionskilograms,March 2023,157.3,150.3,0,4.42
73,onionskilograms,April 2023,157.9,160.1,1,4.49
74,onionskilograms,May 2023,158.5,158.8,1,4.57
75,onionskilograms,June 2023,158.4,161.6,0,4.79
76,onionskilograms,July 2023,159.6,163.1,1,4.98
77,onionskilograms,August 2023,159.9,170.6,0,4.95
78,onionskilograms,September 2023,159.7,168.3,1,4.71
79,onionskilograms,October 2023,160.3,157.4,1,4.49
80,onionskilograms,November 2023,160.6,152.2,0,4.54
81,onionskilograms,December 2023,160.0,145.4,1,4.71
82,onionskilograms,January 2024,159.9,144.1,1,4.51
83,onionskilograms,February 2024,160.2,149.9,1,4.79
84,onionskilograms,March 2024,161.4,157.3,0,4.36
85,onionskilograms,April 2024,162.2,169.8,1,4.89
86,onionskilograms,May 2024,163.2,167.6,1,5.08
87,onionskilograms,June 2024,163.1,162.4,0,5.42
88,onionskilograms,July 2024,163.9,166.5,1,5.56
89,onionskilograms,August 2024,163.3,162.1,0,5.13
90,onionskilograms,September 2024,162.8,150.3,1,4.61
91,onionskilograms,October 2024,163.5,151.6,1,4.25
92,onionskilograms,November 2024,163.5,151.4,0,4.49
93,onionskilograms,December 2024,162.7,150.5,1,4.49
94,onionskilograms,January 2025,162.6,156.7,1,4.7
95,onionskilograms,February 2025,164.6,157.7,1,4.83
96,onionskilograms,March 2025,165.1,154.8,0,4.64
97,onionskilograms,April 2025,164.8,139.2,1,4.84
98,onionskilograms,May 2025,165.9,141.7,1,4.99
99,onionskilograms,June 2025,166.0,140.7,0,5.2
100,onionskilograms,July 2025,166.5,139.6,1,5.27
101,onionskilograms,August 2025,166.0,141.6,0,4.53
