Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,orangejuice,April 2017,132.0,116.1,1,3.22
2,orangejuice,May 2017,131.9,110.9,1,3.25
3,orangejuice,June 2017,132.1,106.5,0,3.34
4,orangejuice,July 2017,131.9,107.0,1,3.27
5,orangejuice,August 2017,131.8,109.7,0,3.39
6,orangejuice,September 2017,132.3,116.0,1,3.3
7,orangejuice,October 2017,132.3,112.4,1,3.21
8,orangejuice,November 2017,132.7,120.8,0,3.14
9,orangejuice,December 2017,132.0,116.9,1,3.12
10,orangejuice,January 2018,133.2,120.6,1,3.27
11,orangejuice,February 2018,134.0,119.7,1,3.2
12,orangejuice,March 2018,134.6,123.1,0,3.18
13,orangejuice,April 2018,134.8,131.6,1,3.2
14,orangejuice,May 2018,134.9,135.9,1,3.16
15,orangejuice,June 2018,135.3,132.9,0,3.26
16,orangejuice,July 2018,136.0,133.9,1,3.22
17,orangejuice,August 2018,135.9,131.8,0,3.33
18,orangejuice,September 2018,135.2,130.4,1,3.24
19,orangejuice,October 2018,135.6,125.9,1,3.29
20,orangejuice,November 2018,135.1,113.8,0,3.25
21,orangejuice,December 2018,135.0,106.4,1,3.18
22,orangejuice,January 2019,135.2,103.1,1,3.3
23,orangejuice,February 2019,136.0,105.1,1,3.44
24,orangejuice,March 2019,137.0,117.7,0,3.35
25,orangejuice,April 2019,137.4,129.5,1,3.31
26,orangejuice,May 2019,138.1,130.7,1,3.34
27,orangejuice,June 2019,138.0,119.9,0,3.37
28,orangejuice,July 2019,138.8,124.4,1,3.49
29,orangejuice,August 2019,138.5,117.9,0,3.49
30,orangejuice,September 2019,137.5,116.9,1,3.4
31,orangejuice,October 2019,137.9,117.2,1,3.33
32,orangejuice,November 2019,137.7,115.0,0,3.35
33,orangejuice,December 2019,137.8,114.5,1,3.3
34,orangejuice,January 2020,138.0,114.6,1,3.47
35,orangejuice,February 2020,138.7,112.2,1,3.46
36,orangejuice,March 2020,137.9,91.3,0,3.52
37,orangejuice,April 2020,137.3,77.8,1,3.71
38,orangejuice,May 2020,137.5,91.4,1,3.72
39,orangejuice,June 2020,138.6,101.0,0,3.58
40,orangejuice,July 2020,138.8,105.5,1,3.64
41,orangejuice,August 2020,138.6,104.6,0,3.52
42,orangejuice,September 2020,138.3,104.1,1,3.5
43,orangejuice,October 2020,138.9,102.6,1,3.47
44,orangejuice,November 2020,139.0,101.1,0,3.48
45,orangejuice,December 2020,138.8,104.4,1,3.3
46,orangejuice,January 2021,139.5,111.0,1,3.55
47,orangejuice,February 2021,140.2,118.2,1,3.56
48,orangejuice,March 2021,141.0,125.0,0,3.54
49,orangejuice,April 2021,141.8,127.5,1,3.53
50,orangejuice,May 2021,142.6,131.5,1,3.53
51,orangejuice,June 2021,143.1,133.7,0,3.53
52,orangejuice,July 2021,143.7,138.4,1,3.6
53,orangejuice,August 2021,144.1,139.0,0,3.6
54,orangejuice,September 2021,144.4,138.9,1,3.69
55,orangejuice,October 2021,145.7,146.0,1,3.59
56,orangejuice,November 2021,146.0,145.8,0,3.57
57,orangejuice,December 2021,146.0,140.0,1,3.68
58,orangejuice,January 2022,147.4,146.6,1,3.77
59,orangejuice,February 2022,148.8,156.8,1,3.81
60,orangejuice,March 2022,150.8,175.2,0,3.95
61,orangejuice,April 2022,151.6,173.8,1,3.79
62,orangejuice,May 2022,153.7,194.8,1,3.87
63,orangejuice,June 2022,154.4,207.2,0,3.8
64,orangejuice,July 2022,154.6,187.8,1,3.79
65,orangejuice,August 2022,154.1,169.6,0,3.86
66,orangejuice,September 2022,154.1,156.4,1,3.86
67,orangejuice,October 2022,155.2,171.5,1,3.65
68,orangejuice,November 2022,155.4,165.3,0,3.76
69,orangejuice,December 2022,154.8,143.6,1,3.81
70,orangejuice,January 2023,155.7,150.3,1,3.77
71,orangejuice,February 2023,156.4,148.5,1,3.99
72,orangejuice,March 2023,157.3,150.3,0,4.3
73,orangejuice,April 2023,157.9,160.1,1,4.15
74,orangejuice,May 2023,158.5,158.8,1,4.39
75,orangejuice,June 2023,158.4,161.6,0,4.48
76,orangejuice,July 2023,159.6,163.1,1,4.44
77,orangejuice,August 2023,159.9,170.6,0,4.41
78,orangejuice,September 2023,159.7,168.3,1,4.52
79,orangejuice,October 2023,160.3,157.4,1,4.35
80,orangejuice,November 2023,160.6,152.2,0,4.54
81,orangejuice,December 2023,160.0,145.4,1,4.76
82,orangejuice,January 2024,159.9,144.1,1,4.72
83,orangejuice,February 2024,160.2,149.9,1,5.05
84,orangejuice,March 2024,161.4,157.3,0,5.41
85,orangejuice,April 2024,162.2,169.8,1,5.34
86,orangejuice,May 2024,163.2,167.6,1,5.37
87,orangejuice,June 2024,163.1,162.4,0,5.45
88,orangejuice,July 2024,163.9,166.5,1,5.38
89,orangejuice,August 2024,163.3,162.1,0,5.46
90,orangejuice,September 2024,162.8,150.3,1,5.28
91,orangejuice,October 2024,163.5,151.6,1,5.33
92,orangejuice,November 2024,163.5,151.4,0,5.36
93,orangejuice,December 2024,162.7,150.5,1,5.38
94,orangejuice,January 2025,162.6,156.7,1,5.5
95,orangejuice,February 2025,164.6,157.7,1,5.71
96,orangejuice,March 2025,165.1,154.8,0,5.76
97,orangejuice,April 2025,164.8,139.2,1,5.78
98,orangejuice,May 2025,165.9,141.7,1,5.84
99,orangejuice,June 2025,166.0,140.7,0,5.9
100,orangejuice,July 2025,166.5,139.6,1,5.94
101,orangejuice,August 2025,166.0,141.6,0,6.12
