Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,oranges,April 2017,132.0,116.1,1,3.1
2,oranges,May 2017,131.9,110.9,1,3.24
3,oranges,June 2017,132.1,106.5,0,3.98
4,oranges,July 2017,131.9,107.0,1,2.99
5,oranges,August 2017,131.8,109.7,0,2.95
6,oranges,September 2017,132.3,116.0,1,2.8
7,oranges,October 2017,132.3,112.4,1,2.64
8,oranges,November 2017,132.7,120.8,0,3.22
9,oranges,December 2017,132.0,116.9,1,3.22
10,oranges,January 2018,133.2,120.6,1,2.99
11,oranges,February 2018,134.0,119.7,1,3.07
12,oranges,March 2018,134.6,123.1,0,3.02
13,oranges,April 2018,134.8,131.6,1,2.79
14,oranges,May 2018,134.9,135.9,1,3.06
15,oranges,June 2018,135.3,132.9,0,3.41
16,oranges,July 2018,136.0,133.9,1,3.03
17,oranges,August 2018,135.9,131.8,0,3.11
18,oranges,September 2018,135.2,130.4,1,2.72
19,oranges,October 2018,135.6,125.9,1,3.17
20,oranges,November 2018,135.1,113.8,0,3.56
21,oranges,December 2018,135.0,106.4,1,3.12
22,oranges,January 2019,135.2,103.1,1,2.85
23,oranges,February 2019,136.0,105.1,1,2.93
24,oranges,March 2019,137.0,117.7,0,3.22
25,oranges,April 2019,137.4,129.5,1,3.17
26,oranges,May 2019,138.1,130.7,1,3.5
27,oranges,June 2019,138.0,119.9,0,3.66
28,oranges,July 2019,138.8,124.4,1,3.0
29,oranges,August 2019,138.5,117.9,0,2.97
30,oranges,September 2019,137.5,116.9,1,2.66
31,oranges,October 2019,137.9,117.2,1,2.77
32,oranges,November 2019,137.7,115.0,0,3.36
33,oranges,December 2019,137.8,114.5,1,3.55
34,oranges,January 2020,138.0,114.6,1,3.65
35,oranges,February 2020,138.7,112.2,1,3.17
36,oranges,March 2020,137.9,91.3,0,3.46
37,oranges,April 2020,137.3,77.8,1,3.7
38,oranges,May 2020,137.5,91.4,1,3.74
39,oranges,June 2020,138.6,101.0,0,4.0
40,oranges,July 2020,138.8,105.5,1,3.93
41,oranges,August 2020,138.6,104.6,0,3.47
42,oranges,September 2020,138.3,104.1,1,2.62
43,oranges,October 2020,138.9,102.6,1,3.24
44,oranges,November 2020,139.0,101.1,0,3.2
45,oranges,December 2020,138.8,104.4,1,3.68
46,oranges,January 2021,139.5,111.0,1,3.38
47,oranges,February 2021,140.2,118.2,1,3.03
48,oranges,March 2021,141.0,125.0,0,3.41
49,oranges,April 2021,141.8,127.5,1,3.48
50,oranges,May 2021,142.6,131.5,1,3.71
51,oranges,June 2021,143.1,133.7,0,3.68
52,oranges,July 2021,143.7,138.4,1,3.25
53,oranges,August 2021,144.1,139.0,0,3.29
54,oranges,September 2021,144.4,138.9,1,2.87
55,oranges,October 2021,145.7,146.0,1,3.04
56,oranges,November 2021,146.0,145.8,0,2.99
57,oranges,December 2021,146.0,140.0,1,3.8
58,oranges,January 2022,147.4,146.6,1,3.73
59,oranges,February 2022,148.8,156.8,1,3.19
60,oranges,March 2022,150.8,175.2,0,4.08
61,oranges,April 2022,151.6,173.8,1,3.74
62,oranges,May 2022,153.7,194.8,1,4.19
63,oranges,June 2022,154.4,207.2,0,4.15
64,oranges,July 2022,154.6,187.8,1,4.35
65,oranges,August 2022,154.1,169.6,0,4.15
66,oranges,September 2022,154.1,156.4,1,2.99
67,oranges,October 2022,155.2,171.5,1,3.38
68,oranges,November 2022,155.4,165.3,0,3.13
69,oranges,December 2022,154.8,143.6,1,3.77
70,oranges,January 2023,155.7,150.3,1,3.71
71,oranges,February 2023,156.4,148.5,1,2.97
72,oranges,March 2023,157.3,150.3,0,4.03
73,oranges,April 2023,157.9,160.1,1,3.75
74,oranges,May 2023,158.5,158.8,1,4.67
75,oranges,June 2023,158.4,161.6,0,4.84
76,oranges,July 2023,159.6,163.1,1,4.56
77,oranges,August 2023,159.9,170.6,0,4.51
78,oranges,September 2023,159.7,168.3,1,3.19
79,oranges,October 2023,160.3,157.4,1,3.16
80,oranges,November 2023,160.6,152.2,0,3.26
81,oranges,December 2023,160.0,145.4,1,3.84
82,oranges,January 2024,159.9,144.1,1,3.03
83,oranges,February 2024,160.2,149.9,1,2.96
84,oranges,March 2024,161.4,157.3,0,3.74
85,oranges,April 2024,162.2,169.8,1,2.85
86,oranges,May 2024,163.2,167.6,1,4.08
87,oranges,June 2024,163.1,162.4,0,4.2
88,oranges,July 2024,163.9,166.5,1,3.52
89,oranges,August 2024,163.3,162.1,0,4.11
90,oranges,September 2024,162.8,150.3,1,4.32
91,oranges,October 2024,163.5,151.6,1,4.42
92,oranges,November 2024,163.5,151.4,0,3.67
93,oranges,December 2024,162.7,150.5,1,3.34
94,oranges,January 2025,162.6,156.7,1,3.5
95,oranges,February 2025,164.6,157.7,1,4.39
96,oranges,March 2025,165.1,154.8,0,4.2
97,oranges,April 2025,164.8,139.2,1,4.54
98,oranges,May 2025,165.9,141.7,1,4.62
99,oranges,June 2025,166.0,140.7,0,4.95
100,oranges,July 2025,166.5,139.6,1,5.0
101,oranges,August 2025,166.0,141.6,0,4.93
