Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,orangeskilograms,April 2017,132.0,116.1,1,4.08
2,orangeskilograms,May 2017,131.9,110.9,1,4.44
3,orangeskilograms,June 2017,132.1,106.5,0,5.33
4,orangeskilograms,July 2017,131.9,107.0,1,4.23
5,orangeskilograms,August 2017,131.8,109.7,0,4.05
6,orangeskilograms,September 2017,132.3,116.0,1,3.95
7,orangeskilograms,October 2017,132.3,112.4,1,3.84
8,orangeskilograms,November 2017,132.7,120.8,0,4.42
9,orangeskilograms,December 2017,132.0,116.9,1,4.47
10,orangeskilograms,January 2018,133.2,120.6,1,4.36
11,orangeskilograms,February 2018,134.0,119.7,1,4.38
12,orangeskilograms,March 2018,134.6,123.1,0,4.28
13,orangeskilograms,April 2018,134.8,131.6,1,3.99
14,orangeskilograms,May 2018,134.9,135.9,1,4.31
15,orangeskilograms,June 2018,135.3,132.9,0,4.75
16,orangeskilograms,July 2018,136.0,133.9,1,4.33
17,orangeskilograms,August 2018,135.9,131.8,0,4.33
18,orangeskilograms,September 2018,135.2,130.4,1,3.9
19,orangeskilograms,October 2018,135.6,125.9,1,4.45
20,orangeskilograms,November 2018,135.1,113.8,0,4.93
21,orangeskilograms,December 2018,135.0,106.4,1,4.36
22,orangeskilograms,January 2019,135.2,103.1,1,4.12
23,orangeskilograms,February 2019,136.0,105.1,1,4.21
24,orangeskilograms,March 2019,137.0,117.7,0,4.05
25,orangeskilograms,April 2019,137.4,129.5,1,4.17
26,orangeskilograms,May 2019,138.1,130.7,1,3.91
27,orangeskilograms,June 2019,138.0,119.9,0,4.83
28,orangeskilograms,July 2019,138.8,124.4,1,4.16
29,orangeskilograms,August 2019,138.5,117.9,0,4.12
30,orangeskilograms,September 2019,137.5,116.9,1,3.76
31,orangeskilograms,October 2019,137.9,117.2,1,3.88
32,orangeskilograms,November 2019,137.7,115.0,0,4.53
33,orangeskilograms,December 2019,137.8,114.5,1,4.36
34,orangeskilograms,January 2020,138.0,114.6,1,4.23
35,orangeskilograms,February 2020,138.7,112.2,1,4.06
36,orangeskilograms,March 2020,137.9,91.3,0,4.3
37,orangeskilograms,April 2020,137.3,77.8,1,4.58
38,orangeskilograms,May 2020,137.5,91.4,1,4.83
39,orangeskilograms,June 2020,138.6,101.0,0,5.23
40,orangeskilograms,July 2020,138.8,105.5,1,5.22
41,orangeskilograms,August 2020,138.6,104.6,0,4.78
42,orangeskilograms,September 2020,138.3,104.1,1,3.89
43,orangeskilograms,October 2020,138.9,102.6,1,3.95
44,orangeskilograms,November 2020,139.0,101.1,0,4.43
45,orangeskilograms,December 2020,138.8,104.4,1,4.27
46,orangeskilograms,January 2021,139.5,111.0,1,4.4
47,orangeskilograms,February 2021,140.2,118.2,1,4.23
48,orangeskilograms,March 2021,141.0,125.0,0,4.44
49,orangeskilograms,April 2021,141.8,127.5,1,4.47
50,orangeskilograms,May 2021,142.6,131.5,1,4.7
51,orangeskilograms,June 2021,143.1,133.7,0,4.83
52,orangeskilograms,July 2021,143.7,138.4,1,4.39
53,orangeskilograms,August 2021,144.1,139.0,0,4.53
54,orangeskilograms,September 2021,144.4,138.9,1,4.08
55,orangeskilograms,October 2021,145.7,146.0,1,4.0
56,orangeskilograms,November 2021,146.0,145.8,0,4.19
57,orangeskilograms,December 2021,146.0,140.0,1,4.84
58,orangeskilograms,January 2022,147.4,146.6,1,4.87
59,orangeskilograms,February 2022,148.8,156.8,1,4.67
60,orangeskilograms,March 2022,150.8,175.2,0,5.18
61,orangeskilograms,April 2022,151.6,173.8,1,5.04
62,orangeskilograms,May 2022,153.7,194.8,1,5.35
63,orangeskilograms,June 2022,154.4,207.2,0,5.37
64,orangeskilograms,July 2022,154.6,187.8,1,5.45
65,orangeskilograms,August 2022,154.1,169.6,0,5.53
66,orangeskilograms,September 2022,154.1,156.4,1,4.44
67,orangeskilograms,October 2022,155.2,171.5,1,4.67
68,orangeskilograms,November 2022,155.4,165.3,0,4.6
69,orangeskilograms,December 2022,154.8,143.6,1,5.41
70,orangeskilograms,January 2023,155.7,150.3,1,5.12
71,orangeskilograms,February 2023,156.4,148.5,1,4.58
72,orangeskilograms,March 2023,157.3,150.3,0,5.58
73,orangeskilograms,April 2023,157.9,160.1,1,5.37
74,orangeskilograms,May 2023,158.5,158.8,1,6.11
75,orangeskilograms,June 2023,158.4,161.6,0,6.26
76,orangeskilograms,July 2023,159.6,163.1,1,6.11
77,orangeskilograms,August 2023,159.9,170.6,0,6.04
78,orangeskilograms,September 2023,159.7,168.3,1,4.73
79,orangeskilograms,October 2023,160.3,157.4,1,4.74
80,orangeskilograms,November 2023,160.6,152.2,0,4.91
81,orangeskilograms,December 2023,160.0,145.4,1,5.5
82,orangeskilograms,January 2024,159.9,144.1,1,4.62
83,orangeskilograms,February 2024,160.2,149.9,1,4.61
84,orangeskilograms,March 2024,161.4,157.3,0,5.18
85,orangeskilograms,April 2024,162.2,169.8,1,4.18
86,orangeskilograms,May 2024,163.2,167.6,1,4.86
87,orangeskilograms,June 2024,163.1,162.4,0,5.08
88,orangeskilograms,July 2024,163.9,166.5,1,4.66
89,orangeskilograms,August 2024,163.3,162.1,0,5.56
90,orangeskilograms,September 2024,162.8,150.3,1,5.17
91,orangeskilograms,October 2024,163.5,151.6,1,5.77
92,orangeskilograms,November 2024,163.5,151.4,0,5.34
93,orangeskilograms,December 2024,162.7,150.5,1,4.74
94,orangeskilograms,January 2025,162.6,156.7,1,4.91
95,orangeskilograms,February 2025,164.6,157.7,1,5.55
96,orangeskilograms,March 2025,165.1,154.8,0,5.74
97,orangeskilograms,April 2025,164.8,139.2,1,5.27
98,orangeskilograms,May 2025,165.9,141.7,1,5.8
