Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,pastasauce,April 2017,132.0,116.1,1,2.01
2,pastasauce,May 2017,131.9,110.9,1,1.98
3,pastasauce,June 2017,132.1,106.5,0,1.94
4,pastasauce,July 2017,131.9,107.0,1,1.85
5,pastasauce,August 2017,131.8,109.7,0,1.99
6,pastasauce,September 2017,132.3,116.0,1,2.0
7,pastasauce,October 2017,132.3,112.4,1,1.97
8,pastasauce,November 2017,132.7,120.8,0,1.96
9,pastasauce,December 2017,132.0,116.9,1,1.96
10,pastasauce,January 2018,133.2,120.6,1,2.01
11,pastasauce,February 2018,134.0,119.7,1,1.69
12,pastasauce,March 2018,134.6,123.1,0,1.91
13,pastasauce,April 2018,134.8,131.6,1,1.97
14,pastasauce,May 2018,134.9,135.9,1,1.95
15,pastasauce,June 2018,135.3,132.9,0,1.83
16,pastasauce,July 2018,136.0,133.9,1,1.85
17,pastasauce,August 2018,135.9,131.8,0,1.94
18,pastasauce,September 2018,135.2,130.4,1,1.99
19,pastasauce,October 2018,135.6,125.9,1,1.96
20,pastasauce,November 2018,135.1,113.8,0,2.04
21,pastasauce,December 2018,135.0,106.4,1,2.17
22,pastasauce,January 2019,135.2,103.1,1,2.03
23,pastasauce,February 2019,136.0,105.1,1,1.8
24,pastasauce,March 2019,137.0,117.7,0,2.06
25,pastasauce,April 2019,137.4,129.5,1,1.95
26,pastasauce,May 2019,138.1,130.7,1,2.01
27,pastasauce,June 2019,138.0,119.9,0,2.05
28,pastasauce,July 2019,138.8,124.4,1,1.97
29,pastasauce,August 2019,138.5,117.9,0,2.18
30,pastasauce,September 2019,137.5,116.9,1,2.04
31,pastasauce,October 2019,137.9,117.2,1,2.03
32,pastasauce,November 2019,137.7,115.0,0,1.98
33,pastasauce,December 2019,137.8,114.5,1,2.17
34,pastasauce,January 2020,138.0,114.6,1,1.93
35,pastasauce,February 2020,138.7,112.2,1,1.89
36,pastasauce,March 2020,137.9,91.3,0,2.31
37,pastasauce,April 2020,137.3,77.8,1,2.31
38,pastasauce,May 2020,137.5,91.4,1,2.36
39,pastasauce,June 2020,138.6,101.0,0,2.27
40,pastasauce,July 2020,138.8,105.5,1,2.18
41,pastasauce,August 2020,138.6,104.6,0,2.23
42,pastasauce,September 2020,138.3,104.1,1,2.18
43,pastasauce,October 2020,138.9,102.6,1,2.19
44,pastasauce,November 2020,139.0,101.1,0,2.29
45,pastasauce,December 2020,138.8,104.4,1,2.34
46,pastasauce,January 2021,139.5,111.0,1,2.18
47,pastasauce,February 2021,140.2,118.2,1,2.22
48,pastasauce,March 2021,141.0,125.0,0,2.34
49,pastasauce,April 2021,141.8,127.5,1,2.11
50,pastasauce,May 2021,142.6,131.5,1,2.15
51,pastasauce,June 2021,143.1,133.7,0,2.3
52,pastasauce,July 2021,143.7,138.4,1,2.39
53,pastasauce,August 2021,144.1,139.0,0,2.34
54,pastasauce,September 2021,144.4,138.9,1,2.21
55,pastasauce,October 2021,145.7,146.0,1,2.37
56,pastasauce,November 2021,146.0,145.8,0,2.32
57,pastasauce,December 2021,146.0,140.0,1,2.43
58,pastasauce,January 2022,147.4,146.6,1,2.32
59,pastasauce,February 2022,148.8,156.8,1,2.5
60,pastasauce,March 2022,150.8,175.2,0,2.5
61,pastasauce,April 2022,151.6,173.8,1,2.58
62,pastasauce,May 2022,153.7,194.8,1,2.36
63,pastasauce,June 2022,154.4,207.2,0,2.74
64,pastasauce,July 2022,154.6,187.8,1,2.7
65,pastasauce,August 2022,154.1,169.6,0,2.73
66,pastasauce,September 2022,154.1,156.4,1,2.86
67,pastasauce,October 2022,155.2,171.5,1,2.74
68,pastasauce,November 2022,155.4,165.3,0,2.73
69,pastasauce,December 2022,154.8,143.6,1,2.79
70,pastasauce,January 2023,155.7,150.3,1,3.03
71,pastasauce,February 2023,156.4,148.5,1,2.83
72,pastasauce,March 2023,157.3,150.3,0,3.18
73,pastasauce,April 2023,157.9,160.1,1,3.09
74,pastasauce,May 2023,158.5,158.8,1,3.2
75,pastasauce,June 2023,158.4,161.6,0,2.97
76,pastasauce,July 2023,159.6,163.1,1,3.17
77,pastasauce,August 2023,159.9,170.6,0,3.04
78,pastasauce,September 2023,159.7,168.3,1,2.94
79,pastasauce,October 2023,160.3,157.4,1,3.11
80,pastasauce,November 2023,160.6,152.2,0,3.14
81,pastasauce,December 2023,160.0,145.4,1,3.31
82,pastasauce,January 2024,159.9,144.1,1,3.12
83,pastasauce,February 2024,160.2,149.9,1,3.06
84,pastasauce,March 2024,161.4,157.3,0,2.82
85,pastasauce,April 2024,162.2,169.8,1,3.06
86,pastasauce,May 2024,163.2,167.6,1,3.01
87,pastasauce,June 2024,163.1,162.4,0,3.0
88,pastasauce,July 2024,163.9,166.5,1,3.0
89,pastasauce,August 2024,163.3,162.1,0,3.06
90,pastasauce,September 2024,162.8,150.3,1,3.03
91,pastasauce,October 2024,163.5,151.6,1,3.04
92,pastasauce,November 2024,163.5,151.4,0,3.13
93,pastasauce,December 2024,162.7,150.5,1,3.0
94,pastasauce,January 2025,162.6,156.7,1,3.04
95,pastasauce,February 2025,164.6,157.7,1,2.96
96,pastasauce,March 2025,165.1,154.8,0,2.99
97,pastasauce,April 2025,164.8,139.2,1,2.95
98,pastasauce,May 2025,165.9,141.7,1,2.91
99,pastasauce,June 2025,166.0,140.7,0,3.0
100,pastasauce,July 2025,166.5,139.6,1,3.04
101,pastasauce,August 2025,166.0,141.6,0,2.95
