Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,peanutbutter,April 2017,132.0,116.1,1,3.79
2,peanutbutter,May 2017,131.9,110.9,1,3.83
3,peanutbutter,June 2017,132.1,106.5,0,3.42
4,peanutbutter,July 2017,131.9,107.0,1,3.79
5,peanutbutter,August 2017,131.8,109.7,0,3.55
6,peanutbutter,September 2017,132.3,116.0,1,4.18
7,peanutbutter,October 2017,132.3,112.4,1,4.07
8,peanutbutter,November 2017,132.7,120.8,0,4.58
9,peanutbutter,December 2017,132.0,116.9,1,4.59
10,peanutbutter,January 2018,133.2,120.6,1,3.6
11,peanutbutter,February 2018,134.0,119.7,1,2.45
12,peanutbutter,March 2018,134.6,123.1,0,3.82
13,peanutbutter,April 2018,134.8,131.6,1,4.33
14,peanutbutter,May 2018,134.9,135.9,1,4.41
15,peanutbutter,June 2018,135.3,132.9,0,4.59
16,peanutbutter,July 2018,136.0,133.9,1,4.36
17,peanutbutter,August 2018,135.9,131.8,0,4.53
18,peanutbutter,September 2018,135.2,130.4,1,4.26
19,peanutbutter,October 2018,135.6,125.9,1,4.33
20,peanutbutter,November 2018,135.1,113.8,0,4.41
21,peanutbutter,December 2018,135.0,106.4,1,4.66
22,peanutbutter,January 2019,135.2,103.1,1,4.72
23,peanutbutter,February 2019,136.0,105.1,1,4.55
24,peanutbutter,March 2019,137.0,117.7,0,4.53
25,peanutbutter,April 2019,137.4,129.5,1,4.76
26,peanutbutter,May 2019,138.1,130.7,1,4.67
27,peanutbutter,June 2019,138.0,119.9,0,4.87
28,peanutbutter,July 2019,138.8,124.4,1,4.48
29,peanutbutter,August 2019,138.5,117.9,0,4.57
30,peanutbutter,September 2019,137.5,116.9,1,4.34
31,peanutbutter,October 2019,137.9,117.2,1,4.44
32,peanutbutter,November 2019,137.7,115.0,0,4.42
33,peanutbutter,December 2019,137.8,114.5,1,4.4
34,peanutbutter,January 2020,138.0,114.6,1,4.55
35,peanutbutter,February 2020,138.7,112.2,1,4.32
36,peanutbutter,March 2020,137.9,91.3,0,4.58
37,peanutbutter,April 2020,137.3,77.8,1,4.87
38,peanutbutter,May 2020,137.5,91.4,1,4.65
39,peanutbutter,June 2020,138.6,101.0,0,4.43
40,peanutbutter,July 2020,138.8,105.5,1,4.65
41,peanutbutter,August 2020,138.6,104.6,0,4.57
42,peanutbutter,September 2020,138.3,104.1,1,4.41
43,peanutbutter,October 2020,138.9,102.6,1,4.51
44,peanutbutter,November 2020,139.0,101.1,0,4.53
45,peanutbutter,December 2020,138.8,104.4,1,4.54
46,peanutbutter,January 2021,139.5,111.0,1,4.52
47,peanutbutter,February 2021,140.2,118.2,1,4.83
48,peanutbutter,March 2021,141.0,125.0,0,5.02
49,peanutbutter,April 2021,141.8,127.5,1,4.72
50,peanutbutter,May 2021,142.6,131.5,1,4.9
51,peanutbutter,June 2021,143.1,133.7,0,4.74
52,peanutbutter,July 2021,143.7,138.4,1,4.67
53,peanutbutter,August 2021,144.1,139.0,0,4.74
54,peanutbutter,September 2021,144.4,138.9,1,4.86
55,peanutbutter,October 2021,145.7,146.0,1,4.73
56,peanutbutter,November 2021,146.0,145.8,0,5.06
57,peanutbutter,December 2021,146.0,140.0,1,4.8
58,peanutbutter,January 2022,147.4,146.6,1,4.6
59,peanutbutter,February 2022,148.8,156.8,1,5.19
60,peanutbutter,March 2022,150.8,175.2,0,5.32
61,peanutbutter,April 2022,151.6,173.8,1,5.37
62,peanutbutter,May 2022,153.7,194.8,1,5.34
63,peanutbutter,June 2022,154.4,207.2,0,5.41
64,peanutbutter,July 2022,154.6,187.8,1,5.34
65,peanutbutter,August 2022,154.1,169.6,0,5.43
66,peanutbutter,September 2022,154.1,156.4,1,5.49
67,peanutbutter,October 2022,155.2,171.5,1,5.53
68,peanutbutter,November 2022,155.4,165.3,0,5.21
69,peanutbutter,December 2022,154.8,143.6,1,5.69
70,peanutbutter,January 2023,155.7,150.3,1,5.54
71,peanutbutter,February 2023,156.4,148.5,1,5.74
72,peanutbutter,March 2023,157.3,150.3,0,6.27
73,peanutbutter,April 2023,157.9,160.1,1,6.08
74,peanutbutter,May 2023,158.5,158.8,1,6.17
75,peanutbutter,June 2023,158.4,161.6,0,6.48
76,peanutbutter,July 2023,159.6,163.1,1,6.18
77,peanutbutter,August 2023,159.9,170.6,0,6.0
78,peanutbutter,September 2023,159.7,168.3,1,6.17
79,peanutbutter,October 2023,160.3,157.4,1,6.23
80,peanutbutter,November 2023,160.6,152.2,0,6.25
81,peanutbutter,December 2023,160.0,145.4,1,6.21
82,peanutbutter,January 2024,159.9,144.1,1,5.69
83,peanutbutter,February 2024,160.2,149.9,1,5.9
84,peanutbutter,March 2024,161.4,157.3,0,5.92
85,peanutbutter,April 2024,162.2,169.8,1,5.94
86,peanutbutter,May 2024,163.2,167.6,1,6.27
87,peanutbutter,June 2024,163.1,162.4,0,6.16
88,peanutbutter,July 2024,163.9,166.5,1,6.15
89,peanutbutter,August 2024,163.3,162.1,0,6.01
90,peanutbutter,September 2024,162.8,150.3,1,6.0
91,peanutbutter,October 2024,163.5,151.6,1,6.17
92,peanutbutter,November 2024,163.5,151.4,0,6.16
93,peanutbutter,December 2024,162.7,150.5,1,6.19
94,peanutbutter,January 2025,162.6,156.7,1,5.88
95,peanutbutter,February 2025,164.6,157.7,1,5.58
96,peanutbutter,March 2025,165.1,154.8,0,5.76
97,peanutbutter,April 2025,164.8,139.2,1,6.04
98,peanutbutter,May 2025,165.9,141.7,1,6.07
99,peanutbutter,June 2025,166.0,140.7,0,6.09
100,peanutbutter,July 2025,166.5,139.6,1,6.11
101,peanutbutter,August 2025,166.0,141.6,0,5.5
