Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,peanuts,April 2017,132.0,116.1,1,3.35
2,peanuts,May 2017,131.9,110.9,1,3.33
3,peanuts,June 2017,132.1,106.5,0,3.33
4,peanuts,July 2017,131.9,107.0,1,3.39
5,peanuts,August 2017,131.8,109.7,0,3.21
6,peanuts,September 2017,132.3,116.0,1,3.51
7,peanuts,October 2017,132.3,112.4,1,3.59
8,peanuts,November 2017,132.7,120.8,0,3.11
9,peanuts,December 2017,132.0,116.9,1,3.21
10,peanuts,January 2018,133.2,120.6,1,3.28
11,peanuts,February 2018,134.0,119.7,1,3.23
12,peanuts,March 2018,134.6,123.1,0,3.29
13,peanuts,April 2018,134.8,131.6,1,3.33
14,peanuts,May 2018,134.9,135.9,1,3.37
15,peanuts,June 2018,135.3,132.9,0,3.28
16,peanuts,July 2018,136.0,133.9,1,3.47
17,peanuts,August 2018,135.9,131.8,0,3.36
18,peanuts,September 2018,135.2,130.4,1,3.36
19,peanuts,October 2018,135.6,125.9,1,3.27
20,peanuts,November 2018,135.1,113.8,0,3.11
21,peanuts,December 2018,135.0,106.4,1,2.88
22,peanuts,January 2019,135.2,103.1,1,2.85
23,peanuts,February 2019,136.0,105.1,1,2.98
24,peanuts,March 2019,137.0,117.7,0,3.05
25,peanuts,April 2019,137.4,129.5,1,3.12
26,peanuts,May 2019,138.1,130.7,1,3.04
27,peanuts,June 2019,138.0,119.9,0,3.06
28,peanuts,July 2019,138.8,124.4,1,3.24
29,peanuts,August 2019,138.5,117.9,0,3.24
30,peanuts,September 2019,137.5,116.9,1,3.04
31,peanuts,October 2019,137.9,117.2,1,3.17
32,peanuts,November 2019,137.7,115.0,0,2.89
33,peanuts,December 2019,137.8,114.5,1,3.01
34,peanuts,January 2020,138.0,114.6,1,3.13
35,peanuts,February 2020,138.7,112.2,1,2.94
36,peanuts,March 2020,137.9,91.3,0,3.0
37,peanuts,April 2020,137.3,77.8,1,3.21
38,peanuts,May 2020,137.5,91.4,1,3.13
39,peanuts,June 2020,138.6,101.0,0,3.24
40,peanuts,July 2020,138.8,105.5,1,3.24
41,peanuts,August 2020,138.6,104.6,0,3.24
42,peanuts,September 2020,138.3,104.1,1,3.1
43,peanuts,October 2020,138.9,102.6,1,3.1
44,peanuts,November 2020,139.0,101.1,0,3.11
45,peanuts,December 2020,138.8,104.4,1,3.1
46,peanuts,January 2021,139.5,111.0,1,3.01
47,peanuts,February 2021,140.2,118.2,1,2.64
48,peanuts,March 2021,141.0,125.0,0,3.08
49,peanuts,April 2021,141.8,127.5,1,3.15
50,peanuts,May 2021,142.6,131.5,1,2.95
51,peanuts,June 2021,143.1,133.7,0,3.12
52,peanuts,July 2021,143.7,138.4,1,3.13
53,peanuts,August 2021,144.1,139.0,0,3.15
54,peanuts,September 2021,144.4,138.9,1,3.08
55,peanuts,October 2021,145.7,146.0,1,3.12
56,peanuts,November 2021,146.0,145.8,0,3.06
57,peanuts,December 2021,146.0,140.0,1,2.96
58,peanuts,January 2022,147.4,146.6,1,3.08
59,peanuts,February 2022,148.8,156.8,1,2.92
60,peanuts,March 2022,150.8,175.2,0,3.06
61,peanuts,April 2022,151.6,173.8,1,3.16
62,peanuts,May 2022,153.7,194.8,1,3.18
63,peanuts,June 2022,154.4,207.2,0,2.99
64,peanuts,July 2022,154.6,187.8,1,3.0
65,peanuts,August 2022,154.1,169.6,0,3.17
66,peanuts,September 2022,154.1,156.4,1,3.36
67,peanuts,October 2022,155.2,171.5,1,3.25
68,peanuts,November 2022,155.4,165.3,0,3.34
69,peanuts,December 2022,154.8,143.6,1,3.46
70,peanuts,January 2023,155.7,150.3,1,3.4
71,peanuts,February 2023,156.4,148.5,1,3.51
72,peanuts,March 2023,157.3,150.3,0,3.62
73,peanuts,April 2023,157.9,160.1,1,3.65
74,peanuts,May 2023,158.5,158.8,1,3.6
75,peanuts,June 2023,158.4,161.6,0,3.47
76,peanuts,July 2023,159.6,163.1,1,3.59
77,peanuts,August 2023,159.9,170.6,0,3.59
78,peanuts,September 2023,159.7,168.3,1,3.84
79,peanuts,October 2023,160.3,157.4,1,3.88
80,peanuts,November 2023,160.6,152.2,0,3.66
81,peanuts,December 2023,160.0,145.4,1,3.7
82,peanuts,January 2024,159.9,144.1,1,3.66
83,peanuts,February 2024,160.2,149.9,1,3.71
84,peanuts,March 2024,161.4,157.3,0,3.86
85,peanuts,April 2024,162.2,169.8,1,3.72
86,peanuts,May 2024,163.2,167.6,1,3.82
87,peanuts,June 2024,163.1,162.4,0,3.83
88,peanuts,July 2024,163.9,166.5,1,3.78
89,peanuts,August 2024,163.3,162.1,0,3.82
90,peanuts,September 2024,162.8,150.3,1,3.84
91,peanuts,October 2024,163.5,151.6,1,3.84
92,peanuts,November 2024,163.5,151.4,0,3.61
93,peanuts,December 2024,162.7,150.5,1,3.62
94,peanuts,January 2025,162.6,156.7,1,3.55
95,peanuts,February 2025,164.6,157.7,1,3.49
96,peanuts,March 2025,165.1,154.8,0,3.52
97,peanuts,April 2025,164.8,139.2,1,3.76
98,peanuts,May 2025,165.9,141.7,1,3.94
99,peanuts,June 2025,166.0,140.7,0,3.92
100,peanuts,July 2025,166.5,139.6,1,3.94
101,peanuts,August 2025,166.0,141.6,0,3.99
