Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,pears,April 2017,132.0,116.1,1,3.6
2,pears,May 2017,131.9,110.9,1,3.68
3,pears,June 2017,132.1,106.5,0,3.87
4,pears,July 2017,131.9,107.0,1,3.77
5,pears,August 2017,131.8,109.7,0,3.98
6,pears,September 2017,132.3,116.0,1,3.54
7,pears,October 2017,132.3,112.4,1,3.23
8,pears,November 2017,132.7,120.8,0,3.53
9,pears,December 2017,132.0,116.9,1,3.73
10,pears,January 2018,133.2,120.6,1,3.94
11,pears,February 2018,134.0,119.7,1,3.78
12,pears,March 2018,134.6,123.1,0,3.94
13,pears,April 2018,134.8,131.6,1,3.88
14,pears,May 2018,134.9,135.9,1,3.95
15,pears,June 2018,135.3,132.9,0,3.98
16,pears,July 2018,136.0,133.9,1,3.8
17,pears,August 2018,135.9,131.8,0,4.37
18,pears,September 2018,135.2,130.4,1,4.3
19,pears,October 2018,135.6,125.9,1,3.75
20,pears,November 2018,135.1,113.8,0,3.84
21,pears,December 2018,135.0,106.4,1,3.65
22,pears,January 2019,135.2,103.1,1,3.85
23,pears,February 2019,136.0,105.1,1,3.66
24,pears,March 2019,137.0,117.7,0,4.15
25,pears,April 2019,137.4,129.5,1,4.16
26,pears,May 2019,138.1,130.7,1,3.95
27,pears,June 2019,138.0,119.9,0,4.25
28,pears,July 2019,138.8,124.4,1,3.96
29,pears,August 2019,138.5,117.9,0,4.09
30,pears,September 2019,137.5,116.9,1,4.04
31,pears,October 2019,137.9,117.2,1,3.84
32,pears,November 2019,137.7,115.0,0,4.18
33,pears,December 2019,137.8,114.5,1,4.46
34,pears,January 2020,138.0,114.6,1,4.22
35,pears,February 2020,138.7,112.2,1,4.36
36,pears,March 2020,137.9,91.3,0,4.09
37,pears,April 2020,137.3,77.8,1,4.26
38,pears,May 2020,137.5,91.4,1,4.28
39,pears,June 2020,138.6,101.0,0,4.37
40,pears,July 2020,138.8,105.5,1,4.4
41,pears,August 2020,138.6,104.6,0,4.46
42,pears,September 2020,138.3,104.1,1,4.13
43,pears,October 2020,138.9,102.6,1,3.89
44,pears,November 2020,139.0,101.1,0,4.37
45,pears,December 2020,138.8,104.4,1,4.5
46,pears,January 2021,139.5,111.0,1,4.53
47,pears,February 2021,140.2,118.2,1,4.52
48,pears,March 2021,141.0,125.0,0,4.14
49,pears,April 2021,141.8,127.5,1,4.29
50,pears,May 2021,142.6,131.5,1,4.21
51,pears,June 2021,143.1,133.7,0,3.95
52,pears,July 2021,143.7,138.4,1,4.05
53,pears,August 2021,144.1,139.0,0,4.21
54,pears,September 2021,144.4,138.9,1,4.3
55,pears,October 2021,145.7,146.0,1,4.12
56,pears,November 2021,146.0,145.8,0,4.49
57,pears,December 2021,146.0,140.0,1,4.74
58,pears,January 2022,147.4,146.6,1,4.75
59,pears,February 2022,148.8,156.8,1,4.73
60,pears,March 2022,150.8,175.2,0,4.78
61,pears,April 2022,151.6,173.8,1,4.73
62,pears,May 2022,153.7,194.8,1,4.93
63,pears,June 2022,154.4,207.2,0,4.65
64,pears,July 2022,154.6,187.8,1,4.88
65,pears,August 2022,154.1,169.6,0,5.73
66,pears,September 2022,154.1,156.4,1,5.23
67,pears,October 2022,155.2,171.5,1,5.27
68,pears,November 2022,155.4,165.3,0,5.67
69,pears,December 2022,154.8,143.6,1,5.87
70,pears,January 2023,155.7,150.3,1,5.69
71,pears,February 2023,156.4,148.5,1,5.94
72,pears,March 2023,157.3,150.3,0,5.26
73,pears,April 2023,157.9,160.1,1,4.9
74,pears,May 2023,158.5,158.8,1,4.3
75,pears,June 2023,158.4,161.6,0,4.78
76,pears,July 2023,159.6,163.1,1,5.14
77,pears,August 2023,159.9,170.6,0,5.79
78,pears,September 2023,159.7,168.3,1,5.16
79,pears,October 2023,160.3,157.4,1,5.46
80,pears,November 2023,160.6,152.2,0,4.4
81,pears,December 2023,160.0,145.4,1,5.7
82,pears,January 2024,159.9,144.1,1,4.45
83,pears,February 2024,160.2,149.9,1,5.59
84,pears,March 2024,161.4,157.3,0,4.83
85,pears,April 2024,162.2,169.8,1,4.76
86,pears,May 2024,163.2,167.6,1,4.84
87,pears,June 2024,163.1,162.4,0,5.24
88,pears,July 2024,163.9,166.5,1,5.07
89,pears,August 2024,163.3,162.1,0,5.4
90,pears,September 2024,162.8,150.3,1,5.15
91,pears,October 2024,163.5,151.6,1,5.53
92,pears,November 2024,163.5,151.4,0,6.0
93,pears,December 2024,162.7,150.5,1,5.98
94,pears,January 2025,162.6,156.7,1,5.8
95,pears,February 2025,164.6,157.7,1,7.11
96,pears,March 2025,165.1,154.8,0,4.83
97,pears,April 2025,164.8,139.2,1,4.66
98,pears,May 2025,165.9,141.7,1,5.28
99,pears,June 2025,166.0,140.7,0,5.46
100,pears,July 2025,166.5,139.6,1,5.7
101,pears,August 2025,166.0,141.6,0,5.58
