Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,peppers,April 2017,132.0,116.1,1,5.7
2,peppers,May 2017,131.9,110.9,1,5.71
3,peppers,June 2017,132.1,106.5,0,6.03
4,peppers,July 2017,131.9,107.0,1,6.02
5,peppers,August 2017,131.8,109.7,0,5.02
6,peppers,September 2017,132.3,116.0,1,3.57
7,peppers,October 2017,132.3,112.4,1,4.75
8,peppers,November 2017,132.7,120.8,0,6.29
9,peppers,December 2017,132.0,116.9,1,7.29
10,peppers,January 2018,133.2,120.6,1,6.77
11,peppers,February 2018,134.0,119.7,1,5.82
12,peppers,March 2018,134.6,123.1,0,6.62
13,peppers,April 2018,134.8,131.6,1,6.12
14,peppers,May 2018,134.9,135.9,1,6.62
15,peppers,June 2018,135.3,132.9,0,6.79
16,peppers,July 2018,136.0,133.9,1,6.83
17,peppers,August 2018,135.9,131.8,0,5.54
18,peppers,September 2018,135.2,130.4,1,4.08
19,peppers,October 2018,135.6,125.9,1,6.16
20,peppers,November 2018,135.1,113.8,0,7.6
21,peppers,December 2018,135.0,106.4,1,8.01
22,peppers,January 2019,135.2,103.1,1,7.72
23,peppers,February 2019,136.0,105.1,1,6.78
24,peppers,March 2019,137.0,117.7,0,7.9
25,peppers,April 2019,137.4,129.5,1,7.25
26,peppers,May 2019,138.1,130.7,1,6.98
27,peppers,June 2019,138.0,119.9,0,7.16
28,peppers,July 2019,138.8,124.4,1,7.52
29,peppers,August 2019,138.5,117.9,0,5.74
30,peppers,September 2019,137.5,116.9,1,4.09
31,peppers,October 2019,137.9,117.2,1,5.52
32,peppers,November 2019,137.7,115.0,0,6.96
33,peppers,December 2019,137.8,114.5,1,7.42
34,peppers,January 2020,138.0,114.6,1,6.97
35,peppers,February 2020,138.7,112.2,1,7.14
36,peppers,March 2020,137.9,91.3,0,6.95
37,peppers,April 2020,137.3,77.8,1,6.94
38,peppers,May 2020,137.5,91.4,1,6.96
39,peppers,June 2020,138.6,101.0,0,7.6
40,peppers,July 2020,138.8,105.5,1,7.85
41,peppers,August 2020,138.6,104.6,0,5.48
42,peppers,September 2020,138.3,104.1,1,4.74
43,peppers,October 2020,138.9,102.6,1,6.81
44,peppers,November 2020,139.0,101.1,0,7.07
45,peppers,December 2020,138.8,104.4,1,7.58
46,peppers,January 2021,139.5,111.0,1,7.94
47,peppers,February 2021,140.2,118.2,1,7.81
48,peppers,March 2021,141.0,125.0,0,7.16
49,peppers,April 2021,141.8,127.5,1,6.08
50,peppers,May 2021,142.6,131.5,1,6.8
51,peppers,June 2021,143.1,133.7,0,6.53
52,peppers,July 2021,143.7,138.4,1,6.6
53,peppers,August 2021,144.1,139.0,0,5.35
54,peppers,September 2021,144.4,138.9,1,4.79
55,peppers,October 2021,145.7,146.0,1,6.11
56,peppers,November 2021,146.0,145.8,0,6.94
57,peppers,December 2021,146.0,140.0,1,7.33
58,peppers,January 2022,147.4,146.6,1,7.45
59,peppers,February 2022,148.8,156.8,1,7.14
60,peppers,March 2022,150.8,175.2,0,7.23
61,peppers,April 2022,151.6,173.8,1,6.8
62,peppers,May 2022,153.7,194.8,1,7.28
63,peppers,June 2022,154.4,207.2,0,6.98
64,peppers,July 2022,154.6,187.8,1,6.41
65,peppers,August 2022,154.1,169.6,0,5.45
66,peppers,September 2022,154.1,156.4,1,4.91
67,peppers,October 2022,155.2,171.5,1,6.39
68,peppers,November 2022,155.4,165.3,0,7.89
69,peppers,December 2022,154.8,143.6,1,8.54
70,peppers,January 2023,155.7,150.3,1,8.84
71,peppers,February 2023,156.4,148.5,1,8.53
72,peppers,March 2023,157.3,150.3,0,8.01
73,peppers,April 2023,157.9,160.1,1,7.91
74,peppers,May 2023,158.5,158.8,1,7.54
75,peppers,June 2023,158.4,161.6,0,7.22
76,peppers,July 2023,159.6,163.1,1,7.04
77,peppers,August 2023,159.9,170.6,0,5.63
78,peppers,September 2023,159.7,168.3,1,5.12
79,peppers,October 2023,160.3,157.4,1,6.75
80,peppers,November 2023,160.6,152.2,0,7.75
81,peppers,December 2023,160.0,145.4,1,8.45
82,peppers,January 2024,159.9,144.1,1,8.75
83,peppers,February 2024,160.2,149.9,1,8.36
84,peppers,March 2024,161.4,157.3,0,8.67
85,peppers,April 2024,162.2,169.8,1,6.38
86,peppers,May 2024,163.2,167.6,1,7.32
87,peppers,June 2024,163.1,162.4,0,6.63
88,peppers,July 2024,163.9,166.5,1,7.62
89,peppers,August 2024,163.3,162.1,0,7.48
90,peppers,September 2024,162.8,150.3,1,6.01
91,peppers,October 2024,163.5,151.6,1,7.49
92,peppers,November 2024,163.5,151.4,0,9.14
93,peppers,December 2024,162.7,150.5,1,9.35
94,peppers,January 2025,162.6,156.7,1,9.13
95,peppers,February 2025,164.6,157.7,1,8.04
96,peppers,March 2025,165.1,154.8,0,7.0
97,peppers,April 2025,164.8,139.2,1,7.27
98,peppers,May 2025,165.9,141.7,1,7.33
99,peppers,June 2025,166.0,140.7,0,7.61
100,peppers,July 2025,166.5,139.6,1,7.19
101,peppers,August 2025,166.0,141.6,0,7.53
