Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,porkloincuts,April 2017,132.0,116.1,1,7.72
2,porkloincuts,May 2017,131.9,110.9,1,8.6
3,porkloincuts,June 2017,132.1,106.5,0,6.12
4,porkloincuts,July 2017,131.9,107.0,1,7.63
5,porkloincuts,August 2017,131.8,109.7,0,7.4
6,porkloincuts,September 2017,132.3,116.0,1,6.51
7,porkloincuts,October 2017,132.3,112.4,1,7.42
8,porkloincuts,November 2017,132.7,120.8,0,8.01
9,porkloincuts,December 2017,132.0,116.9,1,8.15
10,porkloincuts,January 2018,133.2,120.6,1,7.39
11,porkloincuts,February 2018,134.0,119.7,1,6.18
12,porkloincuts,March 2018,134.6,123.1,0,8.43
13,porkloincuts,April 2018,134.8,131.6,1,7.7
14,porkloincuts,May 2018,134.9,135.9,1,7.92
15,porkloincuts,June 2018,135.3,132.9,0,6.27
16,porkloincuts,July 2018,136.0,133.9,1,8.25
17,porkloincuts,August 2018,135.9,131.8,0,6.56
18,porkloincuts,September 2018,135.2,130.4,1,8.12
19,porkloincuts,October 2018,135.6,125.9,1,6.97
20,porkloincuts,November 2018,135.1,113.8,0,7.78
21,porkloincuts,December 2018,135.0,106.4,1,9.15
22,porkloincuts,January 2019,135.2,103.1,1,7.8
23,porkloincuts,February 2019,136.0,105.1,1,8.36
24,porkloincuts,March 2019,137.0,117.7,0,7.32
25,porkloincuts,April 2019,137.4,129.5,1,7.6
26,porkloincuts,May 2019,138.1,130.7,1,8.09
27,porkloincuts,June 2019,138.0,119.9,0,8.86
28,porkloincuts,July 2019,138.8,124.4,1,7.26
29,porkloincuts,August 2019,138.5,117.9,0,9.29
30,porkloincuts,September 2019,137.5,116.9,1,8.35
31,porkloincuts,October 2019,137.9,117.2,1,8.78
32,porkloincuts,November 2019,137.7,115.0,0,7.85
33,porkloincuts,December 2019,137.8,114.5,1,8.29
34,porkloincuts,January 2020,138.0,114.6,1,7.64
35,porkloincuts,February 2020,138.7,112.2,1,9.12
36,porkloincuts,March 2020,137.9,91.3,0,7.84
37,porkloincuts,April 2020,137.3,77.8,1,8.0
38,porkloincuts,May 2020,137.5,91.4,1,8.24
39,porkloincuts,June 2020,138.6,101.0,0,9.44
40,porkloincuts,July 2020,138.8,105.5,1,7.89
41,porkloincuts,August 2020,138.6,104.6,0,7.98
42,porkloincuts,September 2020,138.3,104.1,1,9.19
43,porkloincuts,October 2020,138.9,102.6,1,6.8
44,porkloincuts,November 2020,139.0,101.1,0,7.46
45,porkloincuts,December 2020,138.8,104.4,1,8.22
46,porkloincuts,January 2021,139.5,111.0,1,9.02
47,porkloincuts,February 2021,140.2,118.2,1,8.07
48,porkloincuts,March 2021,141.0,125.0,0,6.82
49,porkloincuts,April 2021,141.8,127.5,1,8.82
50,porkloincuts,May 2021,142.6,131.5,1,8.79
51,porkloincuts,June 2021,143.1,133.7,0,8.39
52,porkloincuts,July 2021,143.7,138.4,1,10.11
53,porkloincuts,August 2021,144.1,139.0,0,8.44
54,porkloincuts,September 2021,144.4,138.9,1,9.72
55,porkloincuts,October 2021,145.7,146.0,1,7.79
56,porkloincuts,November 2021,146.0,145.8,0,9.15
