Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,porkribcuts,April 2017,132.0,116.1,1,8.46
2,porkribcuts,May 2017,131.9,110.9,1,7.65
3,porkribcuts,June 2017,132.1,106.5,0,6.6
4,porkribcuts,July 2017,131.9,107.0,1,7.29
5,porkribcuts,August 2017,131.8,109.7,0,8.02
6,porkribcuts,September 2017,132.3,116.0,1,8.15
7,porkribcuts,October 2017,132.3,112.4,1,6.04
8,porkribcuts,November 2017,132.7,120.8,0,6.68
9,porkribcuts,December 2017,132.0,116.9,1,9.33
10,porkribcuts,January 2018,133.2,120.6,1,6.52
11,porkribcuts,February 2018,134.0,119.7,1,8.33
12,porkribcuts,March 2018,134.6,123.1,0,6.61
13,porkribcuts,April 2018,134.8,131.6,1,8.52
14,porkribcuts,May 2018,134.9,135.9,1,7.93
15,porkribcuts,June 2018,135.3,132.9,0,8.01
16,porkribcuts,July 2018,136.0,133.9,1,7.05
17,porkribcuts,August 2018,135.9,131.8,0,8.08
18,porkribcuts,September 2018,135.2,130.4,1,6.23
19,porkribcuts,October 2018,135.6,125.9,1,8.22
20,porkribcuts,November 2018,135.1,113.8,0,8.93
21,porkribcuts,December 2018,135.0,106.4,1,8.96
22,porkribcuts,January 2019,135.2,103.1,1,6.3
23,porkribcuts,February 2019,136.0,105.1,1,7.7
24,porkribcuts,March 2019,137.0,117.7,0,7.68
25,porkribcuts,April 2019,137.4,129.5,1,7.86
26,porkribcuts,May 2019,138.1,130.7,1,8.85
27,porkribcuts,June 2019,138.0,119.9,0,8.92
28,porkribcuts,July 2019,138.8,124.4,1,8.6
29,porkribcuts,August 2019,138.5,117.9,0,8.58
30,porkribcuts,September 2019,137.5,116.9,1,6.74
31,porkribcuts,October 2019,137.9,117.2,1,7.99
32,porkribcuts,November 2019,137.7,115.0,0,8.98
33,porkribcuts,December 2019,137.8,114.5,1,8.66
34,porkribcuts,January 2020,138.0,114.6,1,9.01
35,porkribcuts,February 2020,138.7,112.2,1,6.84
36,porkribcuts,March 2020,137.9,91.3,0,8.41
37,porkribcuts,April 2020,137.3,77.8,1,9.04
38,porkribcuts,May 2020,137.5,91.4,1,9.38
39,porkribcuts,June 2020,138.6,101.0,0,10.12
40,porkribcuts,July 2020,138.8,105.5,1,10.15
41,porkribcuts,August 2020,138.6,104.6,0,9.25
42,porkribcuts,September 2020,138.3,104.1,1,9.35
43,porkribcuts,October 2020,138.9,102.6,1,10.5
44,porkribcuts,November 2020,139.0,101.1,0,9.3
45,porkribcuts,December 2020,138.8,104.4,1,10.68
46,porkribcuts,January 2021,139.5,111.0,1,8.79
47,porkribcuts,February 2021,140.2,118.2,1,9.7
48,porkribcuts,March 2021,141.0,125.0,0,9.37
49,porkribcuts,April 2021,141.8,127.5,1,9.99
50,porkribcuts,May 2021,142.6,131.5,1,9.61
51,porkribcuts,June 2021,143.1,133.7,0,11.29
52,porkribcuts,July 2021,143.7,138.4,1,13.19
53,porkribcuts,August 2021,144.1,139.0,0,13.74
54,porkribcuts,September 2021,144.4,138.9,1,9.84
55,porkribcuts,October 2021,145.7,146.0,1,11.45
56,porkribcuts,November 2021,146.0,145.8,0,11.8
57,porkribcuts,December 2021,146.0,140.0,1,10.03
58,porkribcuts,January 2022,147.4,146.6,1,10.21
59,porkribcuts,February 2022,148.8,156.8,1,11.25
60,porkribcuts,March 2022,150.8,175.2,0,10.62
61,porkribcuts,April 2022,151.6,173.8,1,11.57
62,porkribcuts,May 2022,153.7,194.8,1,11.98
63,porkribcuts,June 2022,154.4,207.2,0,11.62
64,porkribcuts,July 2022,154.6,187.8,1,11.21
