Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,porkshouldercuts,April 2017,132.0,116.1,1,6.85
2,porkshouldercuts,May 2017,131.9,110.9,1,7.49
3,porkshouldercuts,June 2017,132.1,106.5,0,6.87
4,porkshouldercuts,July 2017,131.9,107.0,1,8.27
5,porkshouldercuts,August 2017,131.8,109.7,0,8.38
6,porkshouldercuts,September 2017,132.3,116.0,1,7.44
7,porkshouldercuts,October 2017,132.3,112.4,1,4.26
8,porkshouldercuts,November 2017,132.7,120.8,0,3.7
9,porkshouldercuts,December 2017,132.0,116.9,1,6.53
10,porkshouldercuts,January 2018,133.2,120.6,1,3.74
11,porkshouldercuts,February 2018,134.0,119.7,1,3.27
12,porkshouldercuts,March 2018,134.6,123.1,0,6.64
13,porkshouldercuts,April 2018,134.8,131.6,1,3.84
14,porkshouldercuts,May 2018,134.9,135.9,1,3.17
15,porkshouldercuts,June 2018,135.3,132.9,0,6.77
16,porkshouldercuts,July 2018,136.0,133.9,1,6.76
17,porkshouldercuts,August 2018,135.9,131.8,0,8.17
18,porkshouldercuts,September 2018,135.2,130.4,1,7.89
19,porkshouldercuts,October 2018,135.6,125.9,1,4.02
20,porkshouldercuts,November 2018,135.1,113.8,0,3.69
21,porkshouldercuts,December 2018,135.0,106.4,1,7.54
22,porkshouldercuts,January 2019,135.2,103.1,1,3.88
23,porkshouldercuts,February 2019,136.0,105.1,1,3.83
24,porkshouldercuts,March 2019,137.0,117.7,0,5.48
25,porkshouldercuts,April 2019,137.4,129.5,1,8.22
26,porkshouldercuts,May 2019,138.1,130.7,1,8.18
27,porkshouldercuts,June 2019,138.0,119.9,0,9.25
28,porkshouldercuts,July 2019,138.8,124.4,1,9.25
29,porkshouldercuts,August 2019,138.5,117.9,0,9.04
30,porkshouldercuts,September 2019,137.5,116.9,1,8.62
31,porkshouldercuts,October 2019,137.9,117.2,1,5.76
32,porkshouldercuts,November 2019,137.7,115.0,0,7.7
33,porkshouldercuts,December 2019,137.8,114.5,1,7.78
34,porkshouldercuts,January 2020,138.0,114.6,1,4.03
35,porkshouldercuts,February 2020,138.7,112.2,1,3.13
36,porkshouldercuts,March 2020,137.9,91.3,0,6.52
37,porkshouldercuts,April 2020,137.3,77.8,1,6.94
38,porkshouldercuts,May 2020,137.5,91.4,1,4.66
39,porkshouldercuts,June 2020,138.6,101.0,0,4.3
40,porkshouldercuts,July 2020,138.8,105.5,1,4.36
41,porkshouldercuts,August 2020,138.6,104.6,0,5.15
42,porkshouldercuts,September 2020,138.3,104.1,1,6.31
43,porkshouldercuts,October 2020,138.9,102.6,1,6.77
44,porkshouldercuts,November 2020,139.0,101.1,0,7.01
45,porkshouldercuts,December 2020,138.8,104.4,1,5.14
