Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,potatoes,April 2017,132.0,116.1,1,3.35
2,potatoes,May 2017,131.9,110.9,1,3.41
3,potatoes,June 2017,132.1,106.5,0,3.59
4,potatoes,July 2017,131.9,107.0,1,3.61
5,potatoes,August 2017,131.8,109.7,0,3.36
6,potatoes,September 2017,132.3,116.0,1,3.13
7,potatoes,October 2017,132.3,112.4,1,3.11
8,potatoes,November 2017,132.7,120.8,0,3.5
9,potatoes,December 2017,132.0,116.9,1,3.55
10,potatoes,January 2018,133.2,120.6,1,3.63
11,potatoes,February 2018,134.0,119.7,1,3.63
12,potatoes,March 2018,134.6,123.1,0,3.85
13,potatoes,April 2018,134.8,131.6,1,3.94
14,potatoes,May 2018,134.9,135.9,1,4.01
15,potatoes,June 2018,135.3,132.9,0,4.03
16,potatoes,July 2018,136.0,133.9,1,4.09
17,potatoes,August 2018,135.9,131.8,0,4.13
18,potatoes,September 2018,135.2,130.4,1,3.99
19,potatoes,October 2018,135.6,125.9,1,3.91
20,potatoes,November 2018,135.1,113.8,0,3.74
21,potatoes,December 2018,135.0,106.4,1,3.84
22,potatoes,January 2019,135.2,103.1,1,3.82
23,potatoes,February 2019,136.0,105.1,1,3.92
24,potatoes,March 2019,137.0,117.7,0,4.12
25,potatoes,April 2019,137.4,129.5,1,4.12
26,potatoes,May 2019,138.1,130.7,1,4.25
27,potatoes,June 2019,138.0,119.9,0,4.29
28,potatoes,July 2019,138.8,124.4,1,4.27
29,potatoes,August 2019,138.5,117.9,0,4.2
30,potatoes,September 2019,137.5,116.9,1,4.11
31,potatoes,October 2019,137.9,117.2,1,4.05
32,potatoes,November 2019,137.7,115.0,0,4.1
33,potatoes,December 2019,137.8,114.5,1,4.11
34,potatoes,January 2020,138.0,114.6,1,4.03
35,potatoes,February 2020,138.7,112.2,1,4.0
36,potatoes,March 2020,137.9,91.3,0,4.07
37,potatoes,April 2020,137.3,77.8,1,4.31
38,potatoes,May 2020,137.5,91.4,1,4.48
39,potatoes,June 2020,138.6,101.0,0,4.56
40,potatoes,July 2020,138.8,105.5,1,4.55
41,potatoes,August 2020,138.6,104.6,0,4.22
42,potatoes,September 2020,138.3,104.1,1,4.12
43,potatoes,October 2020,138.9,102.6,1,3.71
44,potatoes,November 2020,139.0,101.1,0,3.73
45,potatoes,December 2020,138.8,104.4,1,4.17
46,potatoes,January 2021,139.5,111.0,1,4.27
47,potatoes,February 2021,140.2,118.2,1,4.21
48,potatoes,March 2021,141.0,125.0,0,4.17
49,potatoes,April 2021,141.8,127.5,1,4.19
50,potatoes,May 2021,142.6,131.5,1,4.31
51,potatoes,June 2021,143.1,133.7,0,4.32
52,potatoes,July 2021,143.7,138.4,1,4.33
53,potatoes,August 2021,144.1,139.0,0,4.22
54,potatoes,September 2021,144.4,138.9,1,4.22
55,potatoes,October 2021,145.7,146.0,1,4.22
56,potatoes,November 2021,146.0,145.8,0,4.12
57,potatoes,December 2021,146.0,140.0,1,4.15
58,potatoes,January 2022,147.4,146.6,1,4.17
59,potatoes,February 2022,148.8,156.8,1,4.18
60,potatoes,March 2022,150.8,175.2,0,4.16
61,potatoes,April 2022,151.6,173.8,1,4.14
62,potatoes,May 2022,153.7,194.8,1,4.74
63,potatoes,June 2022,154.4,207.2,0,5.21
64,potatoes,July 2022,154.6,187.8,1,5.25
65,potatoes,August 2022,154.1,169.6,0,4.95
66,potatoes,September 2022,154.1,156.4,1,4.76
67,potatoes,October 2022,155.2,171.5,1,4.74
68,potatoes,November 2022,155.4,165.3,0,4.69
69,potatoes,December 2022,154.8,143.6,1,4.72
70,potatoes,January 2023,155.7,150.3,1,4.56
71,potatoes,February 2023,156.4,148.5,1,4.67
72,potatoes,March 2023,157.3,150.3,0,4.7
73,potatoes,April 2023,157.9,160.1,1,4.95
74,potatoes,May 2023,158.5,158.8,1,5.13
75,potatoes,June 2023,158.4,161.6,0,5.22
76,potatoes,July 2023,159.6,163.1,1,5.2
77,potatoes,August 2023,159.9,170.6,0,5.06
78,potatoes,September 2023,159.7,168.3,1,4.83
79,potatoes,October 2023,160.3,157.4,1,4.82
80,potatoes,November 2023,160.6,152.2,0,4.84
81,potatoes,December 2023,160.0,145.4,1,4.99
82,potatoes,January 2024,159.9,144.1,1,4.83
83,potatoes,February 2024,160.2,149.9,1,4.79
84,potatoes,March 2024,161.4,157.3,0,4.79
85,potatoes,April 2024,162.2,169.8,1,4.74
86,potatoes,May 2024,163.2,167.6,1,5.01
87,potatoes,June 2024,163.1,162.4,0,4.99
88,potatoes,July 2024,163.9,166.5,1,4.95
89,potatoes,August 2024,163.3,162.1,0,4.89
90,potatoes,September 2024,162.8,150.3,1,4.89
91,potatoes,October 2024,163.5,151.6,1,4.89
92,potatoes,November 2024,163.5,151.4,0,4.85
93,potatoes,December 2024,162.7,150.5,1,4.88
94,potatoes,January 2025,162.6,156.7,1,4.94
95,potatoes,February 2025,164.6,157.7,1,4.92
96,potatoes,March 2025,165.1,154.8,0,4.86
97,potatoes,April 2025,164.8,139.2,1,4.9
98,potatoes,May 2025,165.9,141.7,1,4.98
99,potatoes,June 2025,166.0,140.7,0,4.99
100,potatoes,July 2025,166.5,139.6,1,5.1
101,potatoes,August 2025,166.0,141.6,0,4.93
