Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,potatoeskilograms,April 2017,132.0,116.1,1,3.58
2,potatoeskilograms,May 2017,131.9,110.9,1,3.68
3,potatoeskilograms,June 2017,132.1,106.5,0,4.11
4,potatoeskilograms,July 2017,131.9,107.0,1,4.58
5,potatoeskilograms,August 2017,131.8,109.7,0,3.71
6,potatoeskilograms,September 2017,132.3,116.0,1,3.18
7,potatoeskilograms,October 2017,132.3,112.4,1,3.07
8,potatoeskilograms,November 2017,132.7,120.8,0,2.87
9,potatoeskilograms,December 2017,132.0,116.9,1,3.12
10,potatoeskilograms,January 2018,133.2,120.6,1,3.46
11,potatoeskilograms,February 2018,134.0,119.7,1,3.57
12,potatoeskilograms,March 2018,134.6,123.1,0,3.2
13,potatoeskilograms,April 2018,134.8,131.6,1,3.66
14,potatoeskilograms,May 2018,134.9,135.9,1,3.6
15,potatoeskilograms,June 2018,135.3,132.9,0,4.42
16,potatoeskilograms,July 2018,136.0,133.9,1,4.75
17,potatoeskilograms,August 2018,135.9,131.8,0,4.42
18,potatoeskilograms,September 2018,135.2,130.4,1,3.38
19,potatoeskilograms,October 2018,135.6,125.9,1,3.23
20,potatoeskilograms,November 2018,135.1,113.8,0,3.57
21,potatoeskilograms,December 2018,135.0,106.4,1,3.58
22,potatoeskilograms,January 2019,135.2,103.1,1,4.75
23,potatoeskilograms,February 2019,136.0,105.1,1,3.94
24,potatoeskilograms,March 2019,137.0,117.7,0,4.39
25,potatoeskilograms,April 2019,137.4,129.5,1,3.78
26,potatoeskilograms,May 2019,138.1,130.7,1,4.81
27,potatoeskilograms,June 2019,138.0,119.9,0,5.38
28,potatoeskilograms,July 2019,138.8,124.4,1,5.29
29,potatoeskilograms,August 2019,138.5,117.9,0,4.15
30,potatoeskilograms,September 2019,137.5,116.9,1,3.45
31,potatoeskilograms,October 2019,137.9,117.2,1,2.91
32,potatoeskilograms,November 2019,137.7,115.0,0,3.11
33,potatoeskilograms,December 2019,137.8,114.5,1,3.5
34,potatoeskilograms,January 2020,138.0,114.6,1,4.59
35,potatoeskilograms,February 2020,138.7,112.2,1,4.17
36,potatoeskilograms,March 2020,137.9,91.3,0,4.44
37,potatoeskilograms,April 2020,137.3,77.8,1,4.74
38,potatoeskilograms,May 2020,137.5,91.4,1,4.32
39,potatoeskilograms,June 2020,138.6,101.0,0,4.51
40,potatoeskilograms,July 2020,138.8,105.5,1,3.92
41,potatoeskilograms,August 2020,138.6,104.6,0,4.15
42,potatoeskilograms,September 2020,138.3,104.1,1,3.78
43,potatoeskilograms,October 2020,138.9,102.6,1,3.29
44,potatoeskilograms,November 2020,139.0,101.1,0,3.42
45,potatoeskilograms,December 2020,138.8,104.4,1,3.67
46,potatoeskilograms,January 2021,139.5,111.0,1,4.21
47,potatoeskilograms,February 2021,140.2,118.2,1,3.51
48,potatoeskilograms,March 2021,141.0,125.0,0,3.83
49,potatoeskilograms,April 2021,141.8,127.5,1,4.42
50,potatoeskilograms,May 2021,142.6,131.5,1,4.68
51,potatoeskilograms,June 2021,143.1,133.7,0,4.51
52,potatoeskilograms,July 2021,143.7,138.4,1,4.69
53,potatoeskilograms,August 2021,144.1,139.0,0,4.09
54,potatoeskilograms,September 2021,144.4,138.9,1,3.64
55,potatoeskilograms,October 2021,145.7,146.0,1,3.3
56,potatoeskilograms,November 2021,146.0,145.8,0,3.68
57,potatoeskilograms,December 2021,146.0,140.0,1,3.81
58,potatoeskilograms,January 2022,147.4,146.6,1,4.13
59,potatoeskilograms,February 2022,148.8,156.8,1,3.36
60,potatoeskilograms,March 2022,150.8,175.2,0,3.81
61,potatoeskilograms,April 2022,151.6,173.8,1,3.73
62,potatoeskilograms,May 2022,153.7,194.8,1,4.45
63,potatoeskilograms,June 2022,154.4,207.2,0,4.62
64,potatoeskilograms,July 2022,154.6,187.8,1,4.44
65,potatoeskilograms,August 2022,154.1,169.6,0,4.96
66,potatoeskilograms,September 2022,154.1,156.4,1,3.99
67,potatoeskilograms,October 2022,155.2,171.5,1,3.76
68,potatoeskilograms,November 2022,155.4,165.3,0,4.33
69,potatoeskilograms,December 2022,154.8,143.6,1,3.98
70,potatoeskilograms,January 2023,155.7,150.3,1,4.85
71,potatoeskilograms,February 2023,156.4,148.5,1,4.42
72,potatoeskilograms,March 2023,157.3,150.3,0,4.44
73,potatoeskilograms,April 2023,157.9,160.1,1,4.52
74,potatoeskilograms,May 2023,158.5,158.8,1,5.35
75,potatoeskilograms,June 2023,158.4,161.6,0,5.36
76,potatoeskilograms,July 2023,159.6,163.1,1,5.23
77,potatoeskilograms,August 2023,159.9,170.6,0,5.05
78,potatoeskilograms,September 2023,159.7,168.3,1,3.81
79,potatoeskilograms,October 2023,160.3,157.4,1,4.03
80,potatoeskilograms,November 2023,160.6,152.2,0,4.3
81,potatoeskilograms,December 2023,160.0,145.4,1,4.4
82,potatoeskilograms,January 2024,159.9,144.1,1,5.15
83,potatoeskilograms,February 2024,160.2,149.9,1,3.67
84,potatoeskilograms,March 2024,161.4,157.3,0,4.83
85,potatoeskilograms,April 2024,162.2,169.8,1,5.18
86,potatoeskilograms,May 2024,163.2,167.6,1,5.93
87,potatoeskilograms,June 2024,163.1,162.4,0,5.84
88,potatoeskilograms,July 2024,163.9,166.5,1,5.16
89,potatoeskilograms,August 2024,163.3,162.1,0,4.4
90,potatoeskilograms,September 2024,162.8,150.3,1,3.54
91,potatoeskilograms,October 2024,163.5,151.6,1,3.78
92,potatoeskilograms,November 2024,163.5,151.4,0,4.57
93,potatoeskilograms,December 2024,162.7,150.5,1,4.94
94,potatoeskilograms,January 2025,162.6,156.7,1,4.98
95,potatoeskilograms,February 2025,164.6,157.7,1,4.62
96,potatoeskilograms,March 2025,165.1,154.8,0,4.24
97,potatoeskilograms,April 2025,164.8,139.2,1,4.48
98,potatoeskilograms,May 2025,165.9,141.7,1,5.46
99,potatoeskilograms,June 2025,166.0,140.7,0,5.41
100,potatoeskilograms,July 2025,166.5,139.6,1,4.68
101,potatoeskilograms,August 2025,166.0,141.6,0,4.4
