Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,roastedorgroundcoffee,April 2017,132.0,116.1,1,4.68
2,roastedorgroundcoffee,May 2017,131.9,110.9,1,4.47
3,roastedorgroundcoffee,June 2017,132.1,106.5,0,4.75
4,roastedorgroundcoffee,July 2017,131.9,107.0,1,4.67
5,roastedorgroundcoffee,August 2017,131.8,109.7,0,5.13
6,roastedorgroundcoffee,September 2017,132.3,116.0,1,4.23
7,roastedorgroundcoffee,October 2017,132.3,112.4,1,4.93
8,roastedorgroundcoffee,November 2017,132.7,120.8,0,4.76
9,roastedorgroundcoffee,December 2017,132.0,116.9,1,4.91
10,roastedorgroundcoffee,January 2018,133.2,120.6,1,4.65
11,roastedorgroundcoffee,February 2018,134.0,119.7,1,5.11
12,roastedorgroundcoffee,March 2018,134.6,123.1,0,4.81
13,roastedorgroundcoffee,April 2018,134.8,131.6,1,5.08
14,roastedorgroundcoffee,May 2018,134.9,135.9,1,4.64
15,roastedorgroundcoffee,June 2018,135.3,132.9,0,4.85
16,roastedorgroundcoffee,July 2018,136.0,133.9,1,4.88
17,roastedorgroundcoffee,August 2018,135.9,131.8,0,5.2
18,roastedorgroundcoffee,September 2018,135.2,130.4,1,4.87
19,roastedorgroundcoffee,October 2018,135.6,125.9,1,4.89
20,roastedorgroundcoffee,November 2018,135.1,113.8,0,5.06
21,roastedorgroundcoffee,December 2018,135.0,106.4,1,4.8
22,roastedorgroundcoffee,January 2019,135.2,103.1,1,5.13
23,roastedorgroundcoffee,February 2019,136.0,105.1,1,5.12
24,roastedorgroundcoffee,March 2019,137.0,117.7,0,4.82
25,roastedorgroundcoffee,April 2019,137.4,129.5,1,4.84
26,roastedorgroundcoffee,May 2019,138.1,130.7,1,5.12
27,roastedorgroundcoffee,June 2019,138.0,119.9,0,5.16
28,roastedorgroundcoffee,July 2019,138.8,124.4,1,5.19
29,roastedorgroundcoffee,August 2019,138.5,117.9,0,5.13
30,roastedorgroundcoffee,September 2019,137.5,116.9,1,5.02
31,roastedorgroundcoffee,October 2019,137.9,117.2,1,5.19
32,roastedorgroundcoffee,November 2019,137.7,115.0,0,5.09
33,roastedorgroundcoffee,December 2019,137.8,114.5,1,5.11
34,roastedorgroundcoffee,January 2020,138.0,114.6,1,5.25
35,roastedorgroundcoffee,February 2020,138.7,112.2,1,5.3
36,roastedorgroundcoffee,March 2020,137.9,91.3,0,5.49
37,roastedorgroundcoffee,April 2020,137.3,77.8,1,5.39
38,roastedorgroundcoffee,May 2020,137.5,91.4,1,5.36
39,roastedorgroundcoffee,June 2020,138.6,101.0,0,5.13
40,roastedorgroundcoffee,July 2020,138.8,105.5,1,5.39
41,roastedorgroundcoffee,August 2020,138.6,104.6,0,5.59
42,roastedorgroundcoffee,September 2020,138.3,104.1,1,5.44
43,roastedorgroundcoffee,October 2020,138.9,102.6,1,5.21
44,roastedorgroundcoffee,November 2020,139.0,101.1,0,5.08
45,roastedorgroundcoffee,December 2020,138.8,104.4,1,5.23
46,roastedorgroundcoffee,January 2021,139.5,111.0,1,5.51
47,roastedorgroundcoffee,February 2021,140.2,118.2,1,5.52
48,roastedorgroundcoffee,March 2021,141.0,125.0,0,5.1
49,roastedorgroundcoffee,April 2021,141.8,127.5,1,5.29
50,roastedorgroundcoffee,May 2021,142.6,131.5,1,5.48
51,roastedorgroundcoffee,June 2021,143.1,133.7,0,5.67
52,roastedorgroundcoffee,July 2021,143.7,138.4,1,5.49
53,roastedorgroundcoffee,August 2021,144.1,139.0,0,5.52
54,roastedorgroundcoffee,September 2021,144.4,138.9,1,5.54
55,roastedorgroundcoffee,October 2021,145.7,146.0,1,5.21
56,roastedorgroundcoffee,November 2021,146.0,145.8,0,5.17
57,roastedorgroundcoffee,December 2021,146.0,140.0,1,5.59
58,roastedorgroundcoffee,January 2022,147.4,146.6,1,5.56
59,roastedorgroundcoffee,February 2022,148.8,156.8,1,5.81
60,roastedorgroundcoffee,March 2022,150.8,175.2,0,5.79
61,roastedorgroundcoffee,April 2022,151.6,173.8,1,5.88
62,roastedorgroundcoffee,May 2022,153.7,194.8,1,6.06
63,roastedorgroundcoffee,June 2022,154.4,207.2,0,6.03
64,roastedorgroundcoffee,July 2022,154.6,187.8,1,6.16
65,roastedorgroundcoffee,August 2022,154.1,169.6,0,6.35
66,roastedorgroundcoffee,September 2022,154.1,156.4,1,6.26
67,roastedorgroundcoffee,October 2022,155.2,171.5,1,5.76
68,roastedorgroundcoffee,November 2022,155.4,165.3,0,6.09
69,roastedorgroundcoffee,December 2022,154.8,143.6,1,6.23
70,roastedorgroundcoffee,January 2023,155.7,150.3,1,6.19
71,roastedorgroundcoffee,February 2023,156.4,148.5,1,6.49
72,roastedorgroundcoffee,March 2023,157.3,150.3,0,6.16
73,roastedorgroundcoffee,April 2023,157.9,160.1,1,6.23
74,roastedorgroundcoffee,May 2023,158.5,158.8,1,6.6
75,roastedorgroundcoffee,June 2023,158.4,161.6,0,6.82
76,roastedorgroundcoffee,July 2023,159.6,163.1,1,6.69
77,roastedorgroundcoffee,August 2023,159.9,170.6,0,6.67
78,roastedorgroundcoffee,September 2023,159.7,168.3,1,6.42
79,roastedorgroundcoffee,October 2023,160.3,157.4,1,6.32
80,roastedorgroundcoffee,November 2023,160.6,152.2,0,6.44
81,roastedorgroundcoffee,December 2023,160.0,145.4,1,6.52
82,roastedorgroundcoffee,January 2024,159.9,144.1,1,6.04
