Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,saladdressing,April 2017,132.0,116.1,1,2.38
2,saladdressing,May 2017,131.9,110.9,1,2.29
3,saladdressing,June 2017,132.1,106.5,0,2.21
4,saladdressing,July 2017,131.9,107.0,1,2.24
5,saladdressing,August 2017,131.8,109.7,0,2.31
6,saladdressing,September 2017,132.3,116.0,1,2.39
7,saladdressing,October 2017,132.3,112.4,1,2.27
8,saladdressing,November 2017,132.7,120.8,0,2.3
9,saladdressing,December 2017,132.0,116.9,1,2.34
10,saladdressing,January 2018,133.2,120.6,1,2.43
11,saladdressing,February 2018,134.0,119.7,1,2.46
12,saladdressing,March 2018,134.6,123.1,0,2.34
13,saladdressing,April 2018,134.8,131.6,1,2.3
14,saladdressing,May 2018,134.9,135.9,1,2.22
15,saladdressing,June 2018,135.3,132.9,0,2.29
16,saladdressing,July 2018,136.0,133.9,1,2.33
17,saladdressing,August 2018,135.9,131.8,0,2.32
18,saladdressing,September 2018,135.2,130.4,1,2.36
19,saladdressing,October 2018,135.6,125.9,1,2.17
20,saladdressing,November 2018,135.1,113.8,0,2.47
21,saladdressing,December 2018,135.0,106.4,1,2.37
22,saladdressing,January 2019,135.2,103.1,1,2.5
23,saladdressing,February 2019,136.0,105.1,1,2.59
24,saladdressing,March 2019,137.0,117.7,0,2.55
25,saladdressing,April 2019,137.4,129.5,1,2.5
26,saladdressing,May 2019,138.1,130.7,1,2.45
27,saladdressing,June 2019,138.0,119.9,0,2.33
28,saladdressing,July 2019,138.8,124.4,1,2.32
29,saladdressing,August 2019,138.5,117.9,0,2.48
30,saladdressing,September 2019,137.5,116.9,1,2.53
31,saladdressing,October 2019,137.9,117.2,1,2.32
32,saladdressing,November 2019,137.7,115.0,0,2.47
33,saladdressing,December 2019,137.8,114.5,1,2.33
34,saladdressing,January 2020,138.0,114.6,1,2.48
35,saladdressing,February 2020,138.7,112.2,1,2.61
36,saladdressing,March 2020,137.9,91.3,0,2.6
37,saladdressing,April 2020,137.3,77.8,1,2.58
38,saladdressing,May 2020,137.5,91.4,1,2.38
39,saladdressing,June 2020,138.6,101.0,0,2.61
40,saladdressing,July 2020,138.8,105.5,1,2.55
41,saladdressing,August 2020,138.6,104.6,0,2.56
42,saladdressing,September 2020,138.3,104.1,1,2.59
43,saladdressing,October 2020,138.9,102.6,1,2.56
44,saladdressing,November 2020,139.0,101.1,0,2.73
45,saladdressing,December 2020,138.8,104.4,1,2.6
46,saladdressing,January 2021,139.5,111.0,1,2.64
47,saladdressing,February 2021,140.2,118.2,1,2.56
48,saladdressing,March 2021,141.0,125.0,0,2.56
49,saladdressing,April 2021,141.8,127.5,1,2.63
50,saladdressing,May 2021,142.6,131.5,1,2.48
51,saladdressing,June 2021,143.1,133.7,0,2.61
52,saladdressing,July 2021,143.7,138.4,1,2.73
53,saladdressing,August 2021,144.1,139.0,0,2.74
54,saladdressing,September 2021,144.4,138.9,1,2.92
55,saladdressing,October 2021,145.7,146.0,1,2.88
56,saladdressing,November 2021,146.0,145.8,0,2.99
57,saladdressing,December 2021,146.0,140.0,1,3.05
58,saladdressing,January 2022,147.4,146.6,1,3.16
59,saladdressing,February 2022,148.8,156.8,1,3.3
60,saladdressing,March 2022,150.8,175.2,0,3.43
61,saladdressing,April 2022,151.6,173.8,1,3.41
62,saladdressing,May 2022,153.7,194.8,1,3.24
63,saladdressing,June 2022,154.4,207.2,0,3.16
64,saladdressing,July 2022,154.6,187.8,1,3.21
65,saladdressing,August 2022,154.1,169.6,0,3.17
66,saladdressing,September 2022,154.1,156.4,1,3.35
67,saladdressing,October 2022,155.2,171.5,1,3.28
68,saladdressing,November 2022,155.4,165.3,0,3.23
69,saladdressing,December 2022,154.8,143.6,1,3.34
70,saladdressing,January 2023,155.7,150.3,1,3.36
71,saladdressing,February 2023,156.4,148.5,1,3.55
72,saladdressing,March 2023,157.3,150.3,0,3.48
73,saladdressing,April 2023,157.9,160.1,1,3.4
74,saladdressing,May 2023,158.5,158.8,1,3.4
75,saladdressing,June 2023,158.4,161.6,0,3.33
76,saladdressing,July 2023,159.6,163.1,1,3.32
77,saladdressing,August 2023,159.9,170.6,0,3.39
78,saladdressing,September 2023,159.7,168.3,1,3.46
79,saladdressing,October 2023,160.3,157.4,1,3.36
80,saladdressing,November 2023,160.6,152.2,0,3.37
81,saladdressing,December 2023,160.0,145.4,1,3.32
82,saladdressing,January 2024,159.9,144.1,1,3.43
83,saladdressing,February 2024,160.2,149.9,1,3.45
84,saladdressing,March 2024,161.4,157.3,0,3.2
85,saladdressing,April 2024,162.2,169.8,1,3.32
86,saladdressing,May 2024,163.2,167.6,1,3.34
87,saladdressing,June 2024,163.1,162.4,0,3.25
88,saladdressing,July 2024,163.9,166.5,1,3.34
89,saladdressing,August 2024,163.3,162.1,0,3.25
90,saladdressing,September 2024,162.8,150.3,1,3.3
91,saladdressing,October 2024,163.5,151.6,1,3.26
92,saladdressing,November 2024,163.5,151.4,0,3.29
93,saladdressing,December 2024,162.7,150.5,1,3.37
94,saladdressing,January 2025,162.6,156.7,1,3.29
95,saladdressing,February 2025,164.6,157.7,1,3.28
96,saladdressing,March 2025,165.1,154.8,0,3.28
97,saladdressing,April 2025,164.8,139.2,1,3.28
98,saladdressing,May 2025,165.9,141.7,1,3.28
99,saladdressing,June 2025,166.0,140.7,0,3.17
100,saladdressing,July 2025,166.5,139.6,1,3.35
101,saladdressing,August 2025,166.0,141.6,0,3.72
