Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,saladgreens,April 2017,132.0,116.1,1,3.57
2,saladgreens,May 2017,131.9,110.9,1,3.63
3,saladgreens,June 2017,132.1,106.5,0,3.75
4,saladgreens,July 2017,131.9,107.0,1,3.84
5,saladgreens,August 2017,131.8,109.7,0,4.08
6,saladgreens,September 2017,132.3,116.0,1,4.13
7,saladgreens,October 2017,132.3,112.4,1,4.05
8,saladgreens,November 2017,132.7,120.8,0,3.96
9,saladgreens,December 2017,132.0,116.9,1,4.1
10,saladgreens,January 2018,133.2,120.6,1,4.06
11,saladgreens,February 2018,134.0,119.7,1,3.9
12,saladgreens,March 2018,134.6,123.1,0,4.0
13,saladgreens,April 2018,134.8,131.6,1,4.05
14,saladgreens,May 2018,134.9,135.9,1,3.99
15,saladgreens,June 2018,135.3,132.9,0,3.99
16,saladgreens,July 2018,136.0,133.9,1,3.98
17,saladgreens,August 2018,135.9,131.8,0,4.15
18,saladgreens,September 2018,135.2,130.4,1,4.12
19,saladgreens,October 2018,135.6,125.9,1,4.03
20,saladgreens,November 2018,135.1,113.8,0,4.17
21,saladgreens,December 2018,135.0,106.4,1,4.23
22,saladgreens,January 2019,135.2,103.1,1,3.98
23,saladgreens,February 2019,136.0,105.1,1,4.07
24,saladgreens,March 2019,137.0,117.7,0,4.22
25,saladgreens,April 2019,137.4,129.5,1,4.09
26,saladgreens,May 2019,138.1,130.7,1,4.17
27,saladgreens,June 2019,138.0,119.9,0,4.07
28,saladgreens,July 2019,138.8,124.4,1,4.14
29,saladgreens,August 2019,138.5,117.9,0,4.08
30,saladgreens,September 2019,137.5,116.9,1,4.11
31,saladgreens,October 2019,137.9,117.2,1,3.96
32,saladgreens,November 2019,137.7,115.0,0,4.03
33,saladgreens,December 2019,137.8,114.5,1,4.08
34,saladgreens,January 2020,138.0,114.6,1,4.1
35,saladgreens,February 2020,138.7,112.2,1,4.01
36,saladgreens,March 2020,137.9,91.3,0,4.06
37,saladgreens,April 2020,137.3,77.8,1,4.0
38,saladgreens,May 2020,137.5,91.4,1,4.02
39,saladgreens,June 2020,138.6,101.0,0,3.97
40,saladgreens,July 2020,138.8,105.5,1,3.97
41,saladgreens,August 2020,138.6,104.6,0,3.97
42,saladgreens,September 2020,138.3,104.1,1,3.94
43,saladgreens,October 2020,138.9,102.6,1,3.94
44,saladgreens,November 2020,139.0,101.1,0,4.0
45,saladgreens,December 2020,138.8,104.4,1,4.02
46,saladgreens,January 2021,139.5,111.0,1,3.95
47,saladgreens,February 2021,140.2,118.2,1,3.98
48,saladgreens,March 2021,141.0,125.0,0,4.01
49,saladgreens,April 2021,141.8,127.5,1,3.97
50,saladgreens,May 2021,142.6,131.5,1,4.04
51,saladgreens,June 2021,143.1,133.7,0,3.95
52,saladgreens,July 2021,143.7,138.4,1,4.03
53,saladgreens,August 2021,144.1,139.0,0,4.02
54,saladgreens,September 2021,144.4,138.9,1,4.01
55,saladgreens,October 2021,145.7,146.0,1,3.95
56,saladgreens,November 2021,146.0,145.8,0,4.0
57,saladgreens,December 2021,146.0,140.0,1,4.02
58,saladgreens,January 2022,147.4,146.6,1,4.04
59,saladgreens,February 2022,148.8,156.8,1,4.0
60,saladgreens,March 2022,150.8,175.2,0,4.08
61,saladgreens,April 2022,151.6,173.8,1,4.25
62,saladgreens,May 2022,153.7,194.8,1,4.3
63,saladgreens,June 2022,154.4,207.2,0,4.28
64,saladgreens,July 2022,154.6,187.8,1,4.17
65,saladgreens,August 2022,154.1,169.6,0,4.36
66,saladgreens,September 2022,154.1,156.4,1,4.45
67,saladgreens,October 2022,155.2,171.5,1,4.62
68,saladgreens,November 2022,155.4,165.3,0,4.69
69,saladgreens,December 2022,154.8,143.6,1,4.64
70,saladgreens,January 2023,155.7,150.3,1,4.51
71,saladgreens,February 2023,156.4,148.5,1,4.52
72,saladgreens,March 2023,157.3,150.3,0,4.59
73,saladgreens,April 2023,157.9,160.1,1,4.63
74,saladgreens,May 2023,158.5,158.8,1,4.57
75,saladgreens,June 2023,158.4,161.6,0,4.55
76,saladgreens,July 2023,159.6,163.1,1,4.57
77,saladgreens,August 2023,159.9,170.6,0,4.65
78,saladgreens,September 2023,159.7,168.3,1,4.51
79,saladgreens,October 2023,160.3,157.4,1,4.59
80,saladgreens,November 2023,160.6,152.2,0,4.6
81,saladgreens,December 2023,160.0,145.4,1,4.64
82,saladgreens,January 2024,159.9,144.1,1,4.45
83,saladgreens,February 2024,160.2,149.9,1,4.41
84,saladgreens,March 2024,161.4,157.3,0,4.39
85,saladgreens,April 2024,162.2,169.8,1,4.25
86,saladgreens,May 2024,163.2,167.6,1,4.32
87,saladgreens,June 2024,163.1,162.4,0,4.32
88,saladgreens,July 2024,163.9,166.5,1,4.33
89,saladgreens,August 2024,163.3,162.1,0,4.34
90,saladgreens,September 2024,162.8,150.3,1,4.28
91,saladgreens,October 2024,163.5,151.6,1,4.31
92,saladgreens,November 2024,163.5,151.4,0,4.31
93,saladgreens,December 2024,162.7,150.5,1,4.3
94,saladgreens,January 2025,162.6,156.7,1,4.34
95,saladgreens,February 2025,164.6,157.7,1,4.34
96,saladgreens,March 2025,165.1,154.8,0,4.47
97,saladgreens,April 2025,164.8,139.2,1,4.45
98,saladgreens,May 2025,165.9,141.7,1,4.3
99,saladgreens,June 2025,166.0,140.7,0,4.25
100,saladgreens,July 2025,166.5,139.6,1,4.14
101,saladgreens,August 2025,166.0,141.6,0,4.26
