Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,salmon,April 2017,132.0,116.1,1,23.96
2,salmon,May 2017,131.9,110.9,1,25.88
3,salmon,June 2017,132.1,106.5,0,24.93
4,salmon,July 2017,131.9,107.0,1,25.31
5,salmon,August 2017,131.8,109.7,0,22.54
6,salmon,September 2017,132.3,116.0,1,25.22
7,salmon,October 2017,132.3,112.4,1,22.39
8,salmon,November 2017,132.7,120.8,0,23.63
9,salmon,December 2017,132.0,116.9,1,22.12
10,salmon,January 2018,133.2,120.6,1,24.34
11,salmon,February 2018,134.0,119.7,1,23.82
12,salmon,March 2018,134.6,123.1,0,22.54
13,salmon,April 2018,134.8,131.6,1,24.83
14,salmon,May 2018,134.9,135.9,1,24.59
15,salmon,June 2018,135.3,132.9,0,24.38
16,salmon,July 2018,136.0,133.9,1,26.24
17,salmon,August 2018,135.9,131.8,0,24.01
18,salmon,September 2018,135.2,130.4,1,24.9
19,salmon,October 2018,135.6,125.9,1,24.91
20,salmon,November 2018,135.1,113.8,0,26.5
21,salmon,December 2018,135.0,106.4,1,24.47
22,salmon,January 2019,135.2,103.1,1,26.6
23,salmon,February 2019,136.0,105.1,1,25.82
24,salmon,March 2019,137.0,117.7,0,26.0
25,salmon,April 2019,137.4,129.5,1,24.42
26,salmon,May 2019,138.1,130.7,1,25.16
27,salmon,June 2019,138.0,119.9,0,25.78
28,salmon,July 2019,138.8,124.4,1,23.73
29,salmon,August 2019,138.5,117.9,0,23.13
30,salmon,September 2019,137.5,116.9,1,24.72
31,salmon,October 2019,137.9,117.2,1,23.03
32,salmon,November 2019,137.7,115.0,0,25.26
33,salmon,December 2019,137.8,114.5,1,24.6
34,salmon,January 2020,138.0,114.6,1,24.99
35,salmon,February 2020,138.7,112.2,1,25.62
36,salmon,March 2020,137.9,91.3,0,26.65
37,salmon,April 2020,137.3,77.8,1,24.5
38,salmon,May 2020,137.5,91.4,1,25.36
39,salmon,June 2020,138.6,101.0,0,24.29
40,salmon,July 2020,138.8,105.5,1,23.06
41,salmon,August 2020,138.6,104.6,0,22.92
42,salmon,September 2020,138.3,104.1,1,22.26
43,salmon,October 2020,138.9,102.6,1,21.96
44,salmon,November 2020,139.0,101.1,0,21.33
45,salmon,December 2020,138.8,104.4,1,21.19
46,salmon,January 2021,139.5,111.0,1,24.56
47,salmon,February 2021,140.2,118.2,1,24.49
48,salmon,March 2021,141.0,125.0,0,23.64
49,salmon,April 2021,141.8,127.5,1,23.48
50,salmon,May 2021,142.6,131.5,1,23.52
51,salmon,June 2021,143.1,133.7,0,24.66
52,salmon,July 2021,143.7,138.4,1,25.25
53,salmon,August 2021,144.1,139.0,0,25.3
54,salmon,September 2021,144.4,138.9,1,26.72
55,salmon,October 2021,145.7,146.0,1,25.91
56,salmon,November 2021,146.0,145.8,0,26.21
57,salmon,December 2021,146.0,140.0,1,24.97
58,salmon,January 2022,147.4,146.6,1,26.99
59,salmon,February 2022,148.8,156.8,1,26.39
60,salmon,March 2022,150.8,175.2,0,27.08
61,salmon,April 2022,151.6,173.8,1,28.72
62,salmon,May 2022,153.7,194.8,1,30.6
63,salmon,June 2022,154.4,207.2,0,30.86
64,salmon,July 2022,154.6,187.8,1,29.6
65,salmon,August 2022,154.1,169.6,0,29.07
66,salmon,September 2022,154.1,156.4,1,29.56
67,salmon,October 2022,155.2,171.5,1,26.82
68,salmon,November 2022,155.4,165.3,0,27.46
69,salmon,December 2022,154.8,143.6,1,25.81
70,salmon,January 2023,155.7,150.3,1,29.38
71,salmon,February 2023,156.4,148.5,1,29.74
72,salmon,March 2023,157.3,150.3,0,30.66
73,salmon,April 2023,157.9,160.1,1,29.8
74,salmon,May 2023,158.5,158.8,1,30.53
75,salmon,June 2023,158.4,161.6,0,28.97
76,salmon,July 2023,159.6,163.1,1,27.86
77,salmon,August 2023,159.9,170.6,0,24.67
78,salmon,September 2023,159.7,168.3,1,26.93
79,salmon,October 2023,160.3,157.4,1,25.99
80,salmon,November 2023,160.6,152.2,0,25.12
81,salmon,December 2023,160.0,145.4,1,24.79
82,salmon,January 2024,159.9,144.1,1,27.34
83,salmon,February 2024,160.2,149.9,1,26.58
84,salmon,March 2024,161.4,157.3,0,26.61
85,salmon,April 2024,162.2,169.8,1,28.41
86,salmon,May 2024,163.2,167.6,1,27.15
87,salmon,June 2024,163.1,162.4,0,27.89
88,salmon,July 2024,163.9,166.5,1,27.73
89,salmon,August 2024,163.3,162.1,0,26.43
90,salmon,September 2024,162.8,150.3,1,27.05
91,salmon,October 2024,163.5,151.6,1,26.0
92,salmon,November 2024,163.5,151.4,0,25.73
93,salmon,December 2024,162.7,150.5,1,24.8
94,salmon,January 2025,162.6,156.7,1,27.12
95,salmon,February 2025,164.6,157.7,1,27.16
96,salmon,March 2025,165.1,154.8,0,28.81
97,salmon,April 2025,164.8,139.2,1,27.25
98,salmon,May 2025,165.9,141.7,1,27.55
99,salmon,June 2025,166.0,140.7,0,26.41
100,salmon,July 2025,166.5,139.6,1,27.7
101,salmon,August 2025,166.0,141.6,0,26.53
