Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,salsa,April 2017,132.0,116.1,1,3.1
2,salsa,May 2017,131.9,110.9,1,3.02
3,salsa,June 2017,132.1,106.5,0,3.13
4,salsa,July 2017,131.9,107.0,1,3.18
5,salsa,August 2017,131.8,109.7,0,3.15
6,salsa,September 2017,132.3,116.0,1,3.28
7,salsa,October 2017,132.3,112.4,1,2.97
8,salsa,November 2017,132.7,120.8,0,3.14
9,salsa,December 2017,132.0,116.9,1,3.06
10,salsa,January 2018,133.2,120.6,1,2.99
11,salsa,February 2018,134.0,119.7,1,3.14
12,salsa,March 2018,134.6,123.1,0,3.09
13,salsa,April 2018,134.8,131.6,1,3.16
14,salsa,May 2018,134.9,135.9,1,3.24
15,salsa,June 2018,135.3,132.9,0,3.07
16,salsa,July 2018,136.0,133.9,1,3.17
17,salsa,August 2018,135.9,131.8,0,3.28
18,salsa,September 2018,135.2,130.4,1,3.4
19,salsa,October 2018,135.6,125.9,1,3.28
20,salsa,November 2018,135.1,113.8,0,3.23
21,salsa,December 2018,135.0,106.4,1,3.15
22,salsa,January 2019,135.2,103.1,1,3.13
23,salsa,February 2019,136.0,105.1,1,3.22
24,salsa,March 2019,137.0,117.7,0,3.38
25,salsa,April 2019,137.4,129.5,1,3.34
26,salsa,May 2019,138.1,130.7,1,3.26
27,salsa,June 2019,138.0,119.9,0,3.18
28,salsa,July 2019,138.8,124.4,1,3.27
29,salsa,August 2019,138.5,117.9,0,3.43
30,salsa,September 2019,137.5,116.9,1,3.43
31,salsa,October 2019,137.9,117.2,1,3.4
32,salsa,November 2019,137.7,115.0,0,3.41
33,salsa,December 2019,137.8,114.5,1,3.32
34,salsa,January 2020,138.0,114.6,1,3.23
35,salsa,February 2020,138.7,112.2,1,3.31
36,salsa,March 2020,137.9,91.3,0,3.37
37,salsa,April 2020,137.3,77.8,1,3.45
38,salsa,May 2020,137.5,91.4,1,3.51
39,salsa,June 2020,138.6,101.0,0,3.58
40,salsa,July 2020,138.8,105.5,1,3.61
41,salsa,August 2020,138.6,104.6,0,3.61
42,salsa,September 2020,138.3,104.1,1,3.4
43,salsa,October 2020,138.9,102.6,1,3.46
44,salsa,November 2020,139.0,101.1,0,3.5
45,salsa,December 2020,138.8,104.4,1,3.4
46,salsa,January 2021,139.5,111.0,1,3.44
47,salsa,February 2021,140.2,118.2,1,3.44
48,salsa,March 2021,141.0,125.0,0,3.56
49,salsa,April 2021,141.8,127.5,1,3.53
50,salsa,May 2021,142.6,131.5,1,3.62
51,salsa,June 2021,143.1,133.7,0,3.5
52,salsa,July 2021,143.7,138.4,1,3.49
53,salsa,August 2021,144.1,139.0,0,3.43
54,salsa,September 2021,144.4,138.9,1,3.41
55,salsa,October 2021,145.7,146.0,1,3.52
56,salsa,November 2021,146.0,145.8,0,3.55
57,salsa,December 2021,146.0,140.0,1,3.49
58,salsa,January 2022,147.4,146.6,1,3.68
59,salsa,February 2022,148.8,156.8,1,3.76
60,salsa,March 2022,150.8,175.2,0,3.74
61,salsa,April 2022,151.6,173.8,1,3.7
62,salsa,May 2022,153.7,194.8,1,3.88
63,salsa,June 2022,154.4,207.2,0,4.0
64,salsa,July 2022,154.6,187.8,1,4.07
65,salsa,August 2022,154.1,169.6,0,4.06
66,salsa,September 2022,154.1,156.4,1,4.15
67,salsa,October 2022,155.2,171.5,1,4.26
68,salsa,November 2022,155.4,165.3,0,4.21
69,salsa,December 2022,154.8,143.6,1,4.31
70,salsa,January 2023,155.7,150.3,1,4.43
71,salsa,February 2023,156.4,148.5,1,4.44
72,salsa,March 2023,157.3,150.3,0,4.58
73,salsa,April 2023,157.9,160.1,1,4.76
74,salsa,May 2023,158.5,158.8,1,4.83
75,salsa,June 2023,158.4,161.6,0,4.78
76,salsa,July 2023,159.6,163.1,1,4.9
77,salsa,August 2023,159.9,170.6,0,4.94
78,salsa,September 2023,159.7,168.3,1,4.83
79,salsa,October 2023,160.3,157.4,1,4.85
80,salsa,November 2023,160.6,152.2,0,4.78
81,salsa,December 2023,160.0,145.4,1,4.83
82,salsa,January 2024,159.9,144.1,1,4.73
83,salsa,February 2024,160.2,149.9,1,4.46
84,salsa,March 2024,161.4,157.3,0,4.75
85,salsa,April 2024,162.2,169.8,1,4.75
86,salsa,May 2024,163.2,167.6,1,4.26
87,salsa,June 2024,163.1,162.4,0,4.49
88,salsa,July 2024,163.9,166.5,1,4.7
89,salsa,August 2024,163.3,162.1,0,4.71
90,salsa,September 2024,162.8,150.3,1,4.68
91,salsa,October 2024,163.5,151.6,1,4.74
92,salsa,November 2024,163.5,151.4,0,4.66
93,salsa,December 2024,162.7,150.5,1,4.6
94,salsa,January 2025,162.6,156.7,1,4.71
95,salsa,February 2025,164.6,157.7,1,4.56
96,salsa,March 2025,165.1,154.8,0,4.83
97,salsa,April 2025,164.8,139.2,1,4.8
98,salsa,May 2025,165.9,141.7,1,4.94
99,salsa,June 2025,166.0,140.7,0,4.96
100,salsa,July 2025,166.5,139.6,1,4.99
101,salsa,August 2025,166.0,141.6,0,4.91
