Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,shampoo,April 2017,132.0,116.1,1,5.23
2,shampoo,May 2017,131.9,110.9,1,5.06
3,shampoo,June 2017,132.1,106.5,0,5.11
4,shampoo,July 2017,131.9,107.0,1,4.98
5,shampoo,August 2017,131.8,109.7,0,5.08
6,shampoo,September 2017,132.3,116.0,1,5.0
7,shampoo,October 2017,132.3,112.4,1,5.01
8,shampoo,November 2017,132.7,120.8,0,5.12
9,shampoo,December 2017,132.0,116.9,1,5.09
10,shampoo,January 2018,133.2,120.6,1,5.1
11,shampoo,February 2018,134.0,119.7,1,4.89
12,shampoo,March 2018,134.6,123.1,0,4.97
13,shampoo,April 2018,134.8,131.6,1,4.98
14,shampoo,May 2018,134.9,135.9,1,4.99
15,shampoo,June 2018,135.3,132.9,0,5.09
16,shampoo,July 2018,136.0,133.9,1,5.1
17,shampoo,August 2018,135.9,131.8,0,5.09
18,shampoo,September 2018,135.2,130.4,1,4.72
19,shampoo,October 2018,135.6,125.9,1,4.97
20,shampoo,November 2018,135.1,113.8,0,5.17
21,shampoo,December 2018,135.0,106.4,1,5.25
22,shampoo,January 2019,135.2,103.1,1,5.3
23,shampoo,February 2019,136.0,105.1,1,5.08
24,shampoo,March 2019,137.0,117.7,0,5.06
25,shampoo,April 2019,137.4,129.5,1,5.3
26,shampoo,May 2019,138.1,130.7,1,5.02
27,shampoo,June 2019,138.0,119.9,0,4.95
28,shampoo,July 2019,138.8,124.4,1,5.27
29,shampoo,August 2019,138.5,117.9,0,5.02
30,shampoo,September 2019,137.5,116.9,1,5.14
31,shampoo,October 2019,137.9,117.2,1,5.16
32,shampoo,November 2019,137.7,115.0,0,5.11
33,shampoo,December 2019,137.8,114.5,1,4.93
34,shampoo,January 2020,138.0,114.6,1,5.35
35,shampoo,February 2020,138.7,112.2,1,5.2
36,shampoo,March 2020,137.9,91.3,0,5.28
37,shampoo,April 2020,137.3,77.8,1,5.29
38,shampoo,May 2020,137.5,91.4,1,5.3
39,shampoo,June 2020,138.6,101.0,0,5.33
40,shampoo,July 2020,138.8,105.5,1,5.14
41,shampoo,August 2020,138.6,104.6,0,5.19
42,shampoo,September 2020,138.3,104.1,1,5.09
43,shampoo,October 2020,138.9,102.6,1,5.2
44,shampoo,November 2020,139.0,101.1,0,5.19
45,shampoo,December 2020,138.8,104.4,1,5.31
46,shampoo,January 2021,139.5,111.0,1,5.37
47,shampoo,February 2021,140.2,118.2,1,5.09
48,shampoo,March 2021,141.0,125.0,0,5.18
49,shampoo,April 2021,141.8,127.5,1,5.32
50,shampoo,May 2021,142.6,131.5,1,5.4
51,shampoo,June 2021,143.1,133.7,0,5.59
52,shampoo,July 2021,143.7,138.4,1,5.29
53,shampoo,August 2021,144.1,139.0,0,5.37
54,shampoo,September 2021,144.4,138.9,1,5.69
55,shampoo,October 2021,145.7,146.0,1,5.73
56,shampoo,November 2021,146.0,145.8,0,5.8
57,shampoo,December 2021,146.0,140.0,1,5.79
58,shampoo,January 2022,147.4,146.6,1,5.97
59,shampoo,February 2022,148.8,156.8,1,5.63
60,shampoo,March 2022,150.8,175.2,0,5.65
61,shampoo,April 2022,151.6,173.8,1,5.73
62,shampoo,May 2022,153.7,194.8,1,5.83
63,shampoo,June 2022,154.4,207.2,0,6.01
64,shampoo,July 2022,154.6,187.8,1,5.88
65,shampoo,August 2022,154.1,169.6,0,6.08
66,shampoo,September 2022,154.1,156.4,1,6.24
67,shampoo,October 2022,155.2,171.5,1,6.09
68,shampoo,November 2022,155.4,165.3,0,6.12
69,shampoo,December 2022,154.8,143.6,1,6.11
70,shampoo,January 2023,155.7,150.3,1,6.27
71,shampoo,February 2023,156.4,148.5,1,5.97
72,shampoo,March 2023,157.3,150.3,0,6.32
73,shampoo,April 2023,157.9,160.1,1,6.5
74,shampoo,May 2023,158.5,158.8,1,6.54
75,shampoo,June 2023,158.4,161.6,0,6.38
76,shampoo,July 2023,159.6,163.1,1,6.5
77,shampoo,August 2023,159.9,170.6,0,6.49
78,shampoo,September 2023,159.7,168.3,1,6.71
79,shampoo,October 2023,160.3,157.4,1,6.8
80,shampoo,November 2023,160.6,152.2,0,6.59
81,shampoo,December 2023,160.0,145.4,1,6.77
82,shampoo,January 2024,159.9,144.1,1,6.95
83,shampoo,February 2024,160.2,149.9,1,6.44
84,shampoo,March 2024,161.4,157.3,0,6.93
85,shampoo,April 2024,162.2,169.8,1,6.69
86,shampoo,May 2024,163.2,167.6,1,6.78
87,shampoo,June 2024,163.1,162.4,0,6.78
88,shampoo,July 2024,163.9,166.5,1,6.48
89,shampoo,August 2024,163.3,162.1,0,6.96
90,shampoo,September 2024,162.8,150.3,1,6.94
91,shampoo,October 2024,163.5,151.6,1,6.96
92,shampoo,November 2024,163.5,151.4,0,6.9
93,shampoo,December 2024,162.7,150.5,1,6.99
94,shampoo,January 2025,162.6,156.7,1,6.98
95,shampoo,February 2025,164.6,157.7,1,6.79
96,shampoo,March 2025,165.1,154.8,0,7.03
97,shampoo,April 2025,164.8,139.2,1,7.19
98,shampoo,May 2025,165.9,141.7,1,7.25
99,shampoo,June 2025,166.0,140.7,0,7.2
100,shampoo,July 2025,166.5,139.6,1,7.2
101,shampoo,August 2025,166.0,141.6,0,7.41
