Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,shrimp,April 2017,132.0,116.1,1,5.93
2,shrimp,May 2017,131.9,110.9,1,6.53
3,shrimp,June 2017,132.1,106.5,0,6.73
4,shrimp,July 2017,131.9,107.0,1,7.14
5,shrimp,August 2017,131.8,109.7,0,7.11
6,shrimp,September 2017,132.3,116.0,1,7.25
7,shrimp,October 2017,132.3,112.4,1,6.48
8,shrimp,November 2017,132.7,120.8,0,6.97
9,shrimp,December 2017,132.0,116.9,1,6.65
10,shrimp,January 2018,133.2,120.6,1,6.68
11,shrimp,February 2018,134.0,119.7,1,6.6
12,shrimp,March 2018,134.6,123.1,0,6.86
13,shrimp,April 2018,134.8,131.6,1,6.51
14,shrimp,May 2018,134.9,135.9,1,7.16
15,shrimp,June 2018,135.3,132.9,0,7.18
16,shrimp,July 2018,136.0,133.9,1,7.23
17,shrimp,August 2018,135.9,131.8,0,7.46
18,shrimp,September 2018,135.2,130.4,1,7.19
19,shrimp,October 2018,135.6,125.9,1,6.55
20,shrimp,November 2018,135.1,113.8,0,6.98
21,shrimp,December 2018,135.0,106.4,1,6.89
22,shrimp,January 2019,135.2,103.1,1,6.93
23,shrimp,February 2019,136.0,105.1,1,6.77
24,shrimp,March 2019,137.0,117.7,0,6.86
25,shrimp,April 2019,137.4,129.5,1,6.35
26,shrimp,May 2019,138.1,130.7,1,6.66
27,shrimp,June 2019,138.0,119.9,0,6.91
28,shrimp,July 2019,138.8,124.4,1,6.95
29,shrimp,August 2019,138.5,117.9,0,6.99
30,shrimp,September 2019,137.5,116.9,1,6.91
31,shrimp,October 2019,137.9,117.2,1,6.87
32,shrimp,November 2019,137.7,115.0,0,6.91
33,shrimp,December 2019,137.8,114.5,1,6.93
34,shrimp,January 2020,138.0,114.6,1,7.23
35,shrimp,February 2020,138.7,112.2,1,6.53
36,shrimp,March 2020,137.9,91.3,0,6.68
37,shrimp,April 2020,137.3,77.8,1,7.07
38,shrimp,May 2020,137.5,91.4,1,7.15
39,shrimp,June 2020,138.6,101.0,0,7.11
40,shrimp,July 2020,138.8,105.5,1,7.08
41,shrimp,August 2020,138.6,104.6,0,6.92
42,shrimp,September 2020,138.3,104.1,1,6.79
43,shrimp,October 2020,138.9,102.6,1,6.62
44,shrimp,November 2020,139.0,101.1,0,6.73
45,shrimp,December 2020,138.8,104.4,1,7.04
46,shrimp,January 2021,139.5,111.0,1,6.92
47,shrimp,February 2021,140.2,118.2,1,7.18
48,shrimp,March 2021,141.0,125.0,0,6.71
49,shrimp,April 2021,141.8,127.5,1,6.64
50,shrimp,May 2021,142.6,131.5,1,6.61
51,shrimp,June 2021,143.1,133.7,0,6.93
52,shrimp,July 2021,143.7,138.4,1,7.35
53,shrimp,August 2021,144.1,139.0,0,6.91
54,shrimp,September 2021,144.4,138.9,1,7.24
55,shrimp,October 2021,145.7,146.0,1,7.34
56,shrimp,November 2021,146.0,145.8,0,6.91
57,shrimp,December 2021,146.0,140.0,1,7.49
58,shrimp,January 2022,147.4,146.6,1,7.18
59,shrimp,February 2022,148.8,156.8,1,7.38
60,shrimp,March 2022,150.8,175.2,0,7.37
61,shrimp,April 2022,151.6,173.8,1,7.73
62,shrimp,May 2022,153.7,194.8,1,7.93
63,shrimp,June 2022,154.4,207.2,0,8.07
64,shrimp,July 2022,154.6,187.8,1,7.75
65,shrimp,August 2022,154.1,169.6,0,7.71
66,shrimp,September 2022,154.1,156.4,1,7.66
67,shrimp,October 2022,155.2,171.5,1,7.22
68,shrimp,November 2022,155.4,165.3,0,7.44
69,shrimp,December 2022,154.8,143.6,1,7.97
70,shrimp,January 2023,155.7,150.3,1,7.85
71,shrimp,February 2023,156.4,148.5,1,7.65
72,shrimp,March 2023,157.3,150.3,0,7.21
73,shrimp,April 2023,157.9,160.1,1,7.74
74,shrimp,May 2023,158.5,158.8,1,7.99
75,shrimp,June 2023,158.4,161.6,0,7.89
76,shrimp,July 2023,159.6,163.1,1,7.97
77,shrimp,August 2023,159.9,170.6,0,7.98
78,shrimp,September 2023,159.7,168.3,1,7.95
79,shrimp,October 2023,160.3,157.4,1,7.59
80,shrimp,November 2023,160.6,152.2,0,7.5
81,shrimp,December 2023,160.0,145.4,1,7.42
82,shrimp,January 2024,159.9,144.1,1,7.28
83,shrimp,February 2024,160.2,149.9,1,7.14
84,shrimp,March 2024,161.4,157.3,0,7.3
85,shrimp,April 2024,162.2,169.8,1,6.98
86,shrimp,May 2024,163.2,167.6,1,7.27
87,shrimp,June 2024,163.1,162.4,0,7.43
88,shrimp,July 2024,163.9,166.5,1,7.19
89,shrimp,August 2024,163.3,162.1,0,7.11
90,shrimp,September 2024,162.8,150.3,1,7.11
91,shrimp,October 2024,163.5,151.6,1,7.12
92,shrimp,November 2024,163.5,151.4,0,7.17
93,shrimp,December 2024,162.7,150.5,1,7.41
94,shrimp,January 2025,162.6,156.7,1,7.2
95,shrimp,February 2025,164.6,157.7,1,7.03
96,shrimp,March 2025,165.1,154.8,0,7.14
97,shrimp,April 2025,164.8,139.2,1,7.21
98,shrimp,May 2025,165.9,141.7,1,7.42
99,shrimp,June 2025,166.0,140.7,0,7.67
100,shrimp,July 2025,166.5,139.6,1,7.52
101,shrimp,August 2025,166.0,141.6,0,7.4
