Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,soymilk,April 2017,132.0,116.1,1,3.83
2,soymilk,May 2017,131.9,110.9,1,3.82
3,soymilk,June 2017,132.1,106.5,0,3.77
4,soymilk,July 2017,131.9,107.0,1,3.9
5,soymilk,August 2017,131.8,109.7,0,3.81
6,soymilk,September 2017,132.3,116.0,1,3.77
7,soymilk,October 2017,132.3,112.4,1,3.8
8,soymilk,November 2017,132.7,120.8,0,3.84
9,soymilk,December 2017,132.0,116.9,1,3.83
10,soymilk,January 2018,133.2,120.6,1,3.57
11,soymilk,February 2018,134.0,119.7,1,3.77
12,soymilk,March 2018,134.6,123.1,0,3.64
13,soymilk,April 2018,134.8,131.6,1,3.82
14,soymilk,May 2018,134.9,135.9,1,3.64
15,soymilk,June 2018,135.3,132.9,0,3.74
16,soymilk,July 2018,136.0,133.9,1,3.82
17,soymilk,August 2018,135.9,131.8,0,3.69
18,soymilk,September 2018,135.2,130.4,1,3.67
19,soymilk,October 2018,135.6,125.9,1,3.56
20,soymilk,November 2018,135.1,113.8,0,3.72
21,soymilk,December 2018,135.0,106.4,1,3.82
22,soymilk,January 2019,135.2,103.1,1,3.57
23,soymilk,February 2019,136.0,105.1,1,3.79
24,soymilk,March 2019,137.0,117.7,0,3.86
25,soymilk,April 2019,137.4,129.5,1,3.81
26,soymilk,May 2019,138.1,130.7,1,3.84
27,soymilk,June 2019,138.0,119.9,0,3.87
28,soymilk,July 2019,138.8,124.4,1,3.89
29,soymilk,August 2019,138.5,117.9,0,3.88
30,soymilk,September 2019,137.5,116.9,1,3.7
31,soymilk,October 2019,137.9,117.2,1,3.57
32,soymilk,November 2019,137.7,115.0,0,3.74
33,soymilk,December 2019,137.8,114.5,1,3.94
34,soymilk,January 2020,138.0,114.6,1,3.75
35,soymilk,February 2020,138.7,112.2,1,3.68
36,soymilk,March 2020,137.9,91.3,0,3.8
37,soymilk,April 2020,137.3,77.8,1,3.78
38,soymilk,May 2020,137.5,91.4,1,3.86
39,soymilk,June 2020,138.6,101.0,0,3.63
40,soymilk,July 2020,138.8,105.5,1,3.69
41,soymilk,August 2020,138.6,104.6,0,3.49
42,soymilk,September 2020,138.3,104.1,1,3.83
43,soymilk,October 2020,138.9,102.6,1,3.68
44,soymilk,November 2020,139.0,101.1,0,3.75
45,soymilk,December 2020,138.8,104.4,1,3.87
46,soymilk,January 2021,139.5,111.0,1,3.64
47,soymilk,February 2021,140.2,118.2,1,3.84
48,soymilk,March 2021,141.0,125.0,0,3.82
49,soymilk,April 2021,141.8,127.5,1,3.61
50,soymilk,May 2021,142.6,131.5,1,3.77
51,soymilk,June 2021,143.1,133.7,0,3.95
52,soymilk,July 2021,143.7,138.4,1,3.85
53,soymilk,August 2021,144.1,139.0,0,3.66
54,soymilk,September 2021,144.4,138.9,1,3.71
55,soymilk,October 2021,145.7,146.0,1,3.73
56,soymilk,November 2021,146.0,145.8,0,3.58
57,soymilk,December 2021,146.0,140.0,1,3.86
58,soymilk,January 2022,147.4,146.6,1,3.64
59,soymilk,February 2022,148.8,156.8,1,3.84
60,soymilk,March 2022,150.8,175.2,0,3.98
61,soymilk,April 2022,151.6,173.8,1,4.04
62,soymilk,May 2022,153.7,194.8,1,3.98
63,soymilk,June 2022,154.4,207.2,0,3.91
64,soymilk,July 2022,154.6,187.8,1,3.94
65,soymilk,August 2022,154.1,169.6,0,3.92
66,soymilk,September 2022,154.1,156.4,1,4.0
67,soymilk,October 2022,155.2,171.5,1,4.16
68,soymilk,November 2022,155.4,165.3,0,4.22
69,soymilk,December 2022,154.8,143.6,1,3.79
70,soymilk,January 2023,155.7,150.3,1,4.18
71,soymilk,February 2023,156.4,148.5,1,4.08
72,soymilk,March 2023,157.3,150.3,0,4.13
73,soymilk,April 2023,157.9,160.1,1,4.43
74,soymilk,May 2023,158.5,158.8,1,3.99
75,soymilk,June 2023,158.4,161.6,0,4.28
76,soymilk,July 2023,159.6,163.1,1,4.12
77,soymilk,August 2023,159.9,170.6,0,4.11
78,soymilk,September 2023,159.7,168.3,1,4.25
79,soymilk,October 2023,160.3,157.4,1,4.32
80,soymilk,November 2023,160.6,152.2,0,3.87
81,soymilk,December 2023,160.0,145.4,1,4.26
82,soymilk,January 2024,159.9,144.1,1,4.12
83,soymilk,February 2024,160.2,149.9,1,3.92
84,soymilk,March 2024,161.4,157.3,0,4.16
85,soymilk,April 2024,162.2,169.8,1,4.25
86,soymilk,May 2024,163.2,167.6,1,4.11
87,soymilk,June 2024,163.1,162.4,0,4.39
88,soymilk,July 2024,163.9,166.5,1,4.5
89,soymilk,August 2024,163.3,162.1,0,4.62
90,soymilk,September 2024,162.8,150.3,1,4.24
91,soymilk,October 2024,163.5,151.6,1,4.14
92,soymilk,November 2024,163.5,151.4,0,4.26
93,soymilk,December 2024,162.7,150.5,1,4.15
94,soymilk,January 2025,162.6,156.7,1,4.04
95,soymilk,February 2025,164.6,157.7,1,4.03
96,soymilk,March 2025,165.1,154.8,0,4.02
97,soymilk,April 2025,164.8,139.2,1,3.91
98,soymilk,May 2025,165.9,141.7,1,3.92
99,soymilk,June 2025,166.0,140.7,0,3.91
100,soymilk,July 2025,166.5,139.6,1,3.99
101,soymilk,August 2025,166.0,141.6,0,3.94
