Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,squash,April 2017,132.0,116.1,1,3.49
2,squash,May 2017,131.9,110.9,1,3.8
3,squash,June 2017,132.1,106.5,0,4.08
4,squash,July 2017,131.9,107.0,1,4.23
5,squash,August 2017,131.8,109.7,0,3.54
6,squash,September 2017,132.3,116.0,1,2.15
7,squash,October 2017,132.3,112.4,1,2.16
8,squash,November 2017,132.7,120.8,0,2.4
9,squash,December 2017,132.0,116.9,1,3.18
10,squash,January 2018,133.2,120.6,1,3.7
11,squash,February 2018,134.0,119.7,1,3.93
12,squash,March 2018,134.6,123.1,0,3.87
13,squash,April 2018,134.8,131.6,1,3.77
14,squash,May 2018,134.9,135.9,1,4.05
15,squash,June 2018,135.3,132.9,0,4.23
16,squash,July 2018,136.0,133.9,1,4.19
17,squash,August 2018,135.9,131.8,0,3.79
18,squash,September 2018,135.2,130.4,1,2.49
19,squash,October 2018,135.6,125.9,1,2.57
20,squash,November 2018,135.1,113.8,0,2.65
21,squash,December 2018,135.0,106.4,1,3.53
22,squash,January 2019,135.2,103.1,1,4.07
23,squash,February 2019,136.0,105.1,1,4.08
24,squash,March 2019,137.0,117.7,0,4.07
25,squash,April 2019,137.4,129.5,1,4.46
26,squash,May 2019,138.1,130.7,1,4.82
27,squash,June 2019,138.0,119.9,0,4.72
28,squash,July 2019,138.8,124.4,1,4.32
29,squash,August 2019,138.5,117.9,0,4.36
30,squash,September 2019,137.5,116.9,1,2.92
31,squash,October 2019,137.9,117.2,1,2.59
32,squash,November 2019,137.7,115.0,0,2.47
33,squash,December 2019,137.8,114.5,1,3.72
34,squash,January 2020,138.0,114.6,1,4.11
35,squash,February 2020,138.7,112.2,1,4.1
36,squash,March 2020,137.9,91.3,0,4.35
37,squash,April 2020,137.3,77.8,1,4.69
38,squash,May 2020,137.5,91.4,1,4.51
39,squash,June 2020,138.6,101.0,0,4.51
40,squash,July 2020,138.8,105.5,1,4.23
41,squash,August 2020,138.6,104.6,0,4.18
42,squash,September 2020,138.3,104.1,1,2.92
43,squash,October 2020,138.9,102.6,1,2.72
44,squash,November 2020,139.0,101.1,0,2.74
45,squash,December 2020,138.8,104.4,1,3.75
46,squash,January 2021,139.5,111.0,1,4.26
47,squash,February 2021,140.2,118.2,1,4.23
48,squash,March 2021,141.0,125.0,0,3.97
49,squash,April 2021,141.8,127.5,1,3.86
50,squash,May 2021,142.6,131.5,1,3.9
51,squash,June 2021,143.1,133.7,0,3.85
52,squash,July 2021,143.7,138.4,1,4.04
53,squash,August 2021,144.1,139.0,0,3.77
54,squash,September 2021,144.4,138.9,1,2.86
55,squash,October 2021,145.7,146.0,1,2.63
56,squash,November 2021,146.0,145.8,0,2.97
57,squash,December 2021,146.0,140.0,1,3.61
58,squash,January 2022,147.4,146.6,1,3.96
59,squash,February 2022,148.8,156.8,1,4.32
60,squash,March 2022,150.8,175.2,0,4.51
61,squash,April 2022,151.6,173.8,1,4.01
62,squash,May 2022,153.7,194.8,1,4.51
63,squash,June 2022,154.4,207.2,0,4.81
64,squash,July 2022,154.6,187.8,1,5.16
65,squash,August 2022,154.1,169.6,0,4.59
66,squash,September 2022,154.1,156.4,1,3.23
67,squash,October 2022,155.2,171.5,1,3.01
68,squash,November 2022,155.4,165.3,0,3.34
69,squash,December 2022,154.8,143.6,1,3.92
70,squash,January 2023,155.7,150.3,1,4.37
71,squash,February 2023,156.4,148.5,1,4.61
72,squash,March 2023,157.3,150.3,0,4.41
73,squash,April 2023,157.9,160.1,1,4.65
74,squash,May 2023,158.5,158.8,1,5.13
75,squash,June 2023,158.4,161.6,0,5.17
76,squash,July 2023,159.6,163.1,1,4.84
77,squash,August 2023,159.9,170.6,0,4.6
78,squash,September 2023,159.7,168.3,1,3.39
79,squash,October 2023,160.3,157.4,1,2.99
80,squash,November 2023,160.6,152.2,0,3.5
81,squash,December 2023,160.0,145.4,1,3.88
82,squash,January 2024,159.9,144.1,1,4.52
83,squash,February 2024,160.2,149.9,1,4.38
84,squash,March 2024,161.4,157.3,0,4.16
85,squash,April 2024,162.2,169.8,1,3.9
86,squash,May 2024,163.2,167.6,1,4.23
87,squash,June 2024,163.1,162.4,0,4.27
88,squash,July 2024,163.9,166.5,1,4.71
89,squash,August 2024,163.3,162.1,0,4.38
90,squash,September 2024,162.8,150.3,1,3.31
91,squash,October 2024,163.5,151.6,1,2.97
92,squash,November 2024,163.5,151.4,0,3.6
93,squash,December 2024,162.7,150.5,1,4.17
94,squash,January 2025,162.6,156.7,1,4.49
95,squash,February 2025,164.6,157.7,1,4.78
96,squash,March 2025,165.1,154.8,0,4.52
97,squash,April 2025,164.8,139.2,1,4.52
98,squash,May 2025,165.9,141.7,1,5.22
99,squash,June 2025,166.0,140.7,0,5.47
100,squash,July 2025,166.5,139.6,1,5.09
101,squash,August 2025,166.0,141.6,0,4.42
