Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,strawberries,April 2017,132.0,116.1,1,2.72
2,strawberries,May 2017,131.9,110.9,1,2.73
3,strawberries,June 2017,132.1,106.5,0,2.44
4,strawberries,July 2017,131.9,107.0,1,2.39
5,strawberries,August 2017,131.8,109.7,0,2.54
6,strawberries,September 2017,132.3,116.0,1,3.04
7,strawberries,October 2017,132.3,112.4,1,2.77
8,strawberries,November 2017,132.7,120.8,0,4.36
9,strawberries,December 2017,132.0,116.9,1,3.53
10,strawberries,January 2018,133.2,120.6,1,3.37
11,strawberries,February 2018,134.0,119.7,1,2.66
12,strawberries,March 2018,134.6,123.1,0,2.46
13,strawberries,April 2018,134.8,131.6,1,3.04
14,strawberries,May 2018,134.9,135.9,1,2.25
15,strawberries,June 2018,135.3,132.9,0,2.15
16,strawberries,July 2018,136.0,133.9,1,2.5
17,strawberries,August 2018,135.9,131.8,0,2.81
18,strawberries,September 2018,135.2,130.4,1,3.23
19,strawberries,October 2018,135.6,125.9,1,2.96
20,strawberries,November 2018,135.1,113.8,0,3.82
21,strawberries,December 2018,135.0,106.4,1,5.8
22,strawberries,January 2019,135.2,103.1,1,4.35
23,strawberries,February 2019,136.0,105.1,1,3.15
24,strawberries,March 2019,137.0,117.7,0,2.65
25,strawberries,April 2019,137.4,129.5,1,2.74
26,strawberries,May 2019,138.1,130.7,1,2.39
27,strawberries,June 2019,138.0,119.9,0,3.11
28,strawberries,July 2019,138.8,124.4,1,2.88
29,strawberries,August 2019,138.5,117.9,0,2.86
30,strawberries,September 2019,137.5,116.9,1,3.39
31,strawberries,October 2019,137.9,117.2,1,3.48
32,strawberries,November 2019,137.7,115.0,0,4.7
33,strawberries,December 2019,137.8,114.5,1,6.34
34,strawberries,January 2020,138.0,114.6,1,4.12
35,strawberries,February 2020,138.7,112.2,1,2.77
36,strawberries,March 2020,137.9,91.3,0,2.98
37,strawberries,April 2020,137.3,77.8,1,3.1
38,strawberries,May 2020,137.5,91.4,1,2.96
39,strawberries,June 2020,138.6,101.0,0,2.8
40,strawberries,July 2020,138.8,105.5,1,3.56
41,strawberries,August 2020,138.6,104.6,0,3.97
42,strawberries,September 2020,138.3,104.1,1,3.61
43,strawberries,October 2020,138.9,102.6,1,5.08
44,strawberries,November 2020,139.0,101.1,0,5.1
45,strawberries,December 2020,138.8,104.4,1,4.87
46,strawberries,January 2021,139.5,111.0,1,4.17
47,strawberries,February 2021,140.2,118.2,1,4.13
48,strawberries,March 2021,141.0,125.0,0,3.0
49,strawberries,April 2021,141.8,127.5,1,3.24
50,strawberries,May 2021,142.6,131.5,1,3.37
51,strawberries,June 2021,143.1,133.7,0,2.78
52,strawberries,July 2021,143.7,138.4,1,3.31
53,strawberries,August 2021,144.1,139.0,0,3.34
54,strawberries,September 2021,144.4,138.9,1,3.75
55,strawberries,October 2021,145.7,146.0,1,4.2
56,strawberries,November 2021,146.0,145.8,0,5.69
57,strawberries,December 2021,146.0,140.0,1,5.77
58,strawberries,January 2022,147.4,146.6,1,4.78
59,strawberries,February 2022,148.8,156.8,1,3.65
60,strawberries,March 2022,150.8,175.2,0,3.08
61,strawberries,April 2022,151.6,173.8,1,3.96
62,strawberries,May 2022,153.7,194.8,1,3.8
63,strawberries,June 2022,154.4,207.2,0,3.14
64,strawberries,July 2022,154.6,187.8,1,3.63
65,strawberries,August 2022,154.1,169.6,0,4.36
66,strawberries,September 2022,154.1,156.4,1,4.33
67,strawberries,October 2022,155.2,171.5,1,5.15
68,strawberries,November 2022,155.4,165.3,0,6.52
69,strawberries,December 2022,154.8,143.6,1,6.12
70,strawberries,January 2023,155.7,150.3,1,4.27
71,strawberries,February 2023,156.4,148.5,1,4.02
72,strawberries,March 2023,157.3,150.3,0,3.4
73,strawberries,April 2023,157.9,160.1,1,5.31
74,strawberries,May 2023,158.5,158.8,1,3.16
75,strawberries,June 2023,158.4,161.6,0,2.89
76,strawberries,July 2023,159.6,163.1,1,3.1
77,strawberries,August 2023,159.9,170.6,0,4.22
78,strawberries,September 2023,159.7,168.3,1,4.18
79,strawberries,October 2023,160.3,157.4,1,3.35
80,strawberries,November 2023,160.6,152.2,0,5.21
81,strawberries,December 2023,160.0,145.4,1,5.79
82,strawberries,January 2024,159.9,144.1,1,4.9
83,strawberries,February 2024,160.2,149.9,1,3.63
84,strawberries,March 2024,161.4,157.3,0,3.09
85,strawberries,April 2024,162.2,169.8,1,3.19
86,strawberries,May 2024,163.2,167.6,1,2.93
87,strawberries,June 2024,163.1,162.4,0,2.52
88,strawberries,July 2024,163.9,166.5,1,3.45
89,strawberries,August 2024,163.3,162.1,0,4.19
90,strawberries,September 2024,162.8,150.3,1,4.23
91,strawberries,October 2024,163.5,151.6,1,4.12
92,strawberries,November 2024,163.5,151.4,0,5.86
93,strawberries,December 2024,162.7,150.5,1,6.04
94,strawberries,January 2025,162.6,156.7,1,4.59
95,strawberries,February 2025,164.6,157.7,1,3.41
96,strawberries,March 2025,165.1,154.8,0,3.2
97,strawberries,April 2025,164.8,139.2,1,2.75
98,strawberries,May 2025,165.9,141.7,1,2.74
99,strawberries,June 2025,166.0,140.7,0,2.91
100,strawberries,July 2025,166.5,139.6,1,3.03
101,strawberries,August 2025,166.0,141.6,0,3.74
