Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,sunflowerseeds,April 2017,132.0,116.1,1,3.65
2,sunflowerseeds,May 2017,131.9,110.9,1,3.62
3,sunflowerseeds,June 2017,132.1,106.5,0,3.74
4,sunflowerseeds,July 2017,131.9,107.0,1,3.71
5,sunflowerseeds,August 2017,131.8,109.7,0,3.8
6,sunflowerseeds,September 2017,132.3,116.0,1,4.07
7,sunflowerseeds,October 2017,132.3,112.4,1,4.02
8,sunflowerseeds,November 2017,132.7,120.8,0,3.9
9,sunflowerseeds,December 2017,132.0,116.9,1,3.95
10,sunflowerseeds,January 2018,133.2,120.6,1,3.98
11,sunflowerseeds,February 2018,134.0,119.7,1,3.94
12,sunflowerseeds,March 2018,134.6,123.1,0,3.96
13,sunflowerseeds,April 2018,134.8,131.6,1,3.92
14,sunflowerseeds,May 2018,134.9,135.9,1,3.88
15,sunflowerseeds,June 2018,135.3,132.9,0,3.9
16,sunflowerseeds,July 2018,136.0,133.9,1,3.89
17,sunflowerseeds,August 2018,135.9,131.8,0,3.98
18,sunflowerseeds,September 2018,135.2,130.4,1,4.06
19,sunflowerseeds,October 2018,135.6,125.9,1,3.99
20,sunflowerseeds,November 2018,135.1,113.8,0,4.0
21,sunflowerseeds,December 2018,135.0,106.4,1,4.02
22,sunflowerseeds,January 2019,135.2,103.1,1,4.03
23,sunflowerseeds,February 2019,136.0,105.1,1,3.92
24,sunflowerseeds,March 2019,137.0,117.7,0,3.98
25,sunflowerseeds,April 2019,137.4,129.5,1,4.13
26,sunflowerseeds,May 2019,138.1,130.7,1,4.05
27,sunflowerseeds,June 2019,138.0,119.9,0,4.09
28,sunflowerseeds,July 2019,138.8,124.4,1,4.13
29,sunflowerseeds,August 2019,138.5,117.9,0,4.06
30,sunflowerseeds,September 2019,137.5,116.9,1,4.08
31,sunflowerseeds,October 2019,137.9,117.2,1,4.07
32,sunflowerseeds,November 2019,137.7,115.0,0,4.05
33,sunflowerseeds,December 2019,137.8,114.5,1,4.02
34,sunflowerseeds,January 2020,138.0,114.6,1,3.97
35,sunflowerseeds,February 2020,138.7,112.2,1,4.05
36,sunflowerseeds,March 2020,137.9,91.3,0,4.08
37,sunflowerseeds,April 2020,137.3,77.8,1,4.1
38,sunflowerseeds,May 2020,137.5,91.4,1,4.15
39,sunflowerseeds,June 2020,138.6,101.0,0,4.18
40,sunflowerseeds,July 2020,138.8,105.5,1,4.12
41,sunflowerseeds,August 2020,138.6,104.6,0,4.06
42,sunflowerseeds,September 2020,138.3,104.1,1,4.12
43,sunflowerseeds,October 2020,138.9,102.6,1,4.14
44,sunflowerseeds,November 2020,139.0,101.1,0,4.13
45,sunflowerseeds,December 2020,138.8,104.4,1,4.12
46,sunflowerseeds,January 2021,139.5,111.0,1,4.1
47,sunflowerseeds,February 2021,140.2,118.2,1,4.06
48,sunflowerseeds,March 2021,141.0,125.0,0,4.11
49,sunflowerseeds,April 2021,141.8,127.5,1,4.06
50,sunflowerseeds,May 2021,142.6,131.5,1,3.98
51,sunflowerseeds,June 2021,143.1,133.7,0,3.94
52,sunflowerseeds,July 2021,143.7,138.4,1,4.13
53,sunflowerseeds,August 2021,144.1,139.0,0,4.13
54,sunflowerseeds,September 2021,144.4,138.9,1,4.01
55,sunflowerseeds,October 2021,145.7,146.0,1,3.94
56,sunflowerseeds,November 2021,146.0,145.8,0,3.98
57,sunflowerseeds,December 2021,146.0,140.0,1,4.02
58,sunflowerseeds,January 2022,147.4,146.6,1,3.94
59,sunflowerseeds,February 2022,148.8,156.8,1,4.13
60,sunflowerseeds,March 2022,150.8,175.2,0,4.02
61,sunflowerseeds,April 2022,151.6,173.8,1,4.14
62,sunflowerseeds,May 2022,153.7,194.8,1,3.98
63,sunflowerseeds,June 2022,154.4,207.2,0,3.99
64,sunflowerseeds,July 2022,154.6,187.8,1,4.21
65,sunflowerseeds,August 2022,154.1,169.6,0,4.18
66,sunflowerseeds,September 2022,154.1,156.4,1,4.26
67,sunflowerseeds,October 2022,155.2,171.5,1,4.31
68,sunflowerseeds,November 2022,155.4,165.3,0,4.25
69,sunflowerseeds,December 2022,154.8,143.6,1,4.31
70,sunflowerseeds,January 2023,155.7,150.3,1,4.26
71,sunflowerseeds,February 2023,156.4,148.5,1,4.32
72,sunflowerseeds,March 2023,157.3,150.3,0,4.39
73,sunflowerseeds,April 2023,157.9,160.1,1,4.5
74,sunflowerseeds,May 2023,158.5,158.8,1,4.51
