Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,sweetpotatoes,April 2017,132.0,116.1,1,2.68
2,sweetpotatoes,May 2017,131.9,110.9,1,3.2
3,sweetpotatoes,June 2017,132.1,106.5,0,3.5
4,sweetpotatoes,July 2017,131.9,107.0,1,3.31
5,sweetpotatoes,August 2017,131.8,109.7,0,3.42
6,sweetpotatoes,September 2017,132.3,116.0,1,3.2
7,sweetpotatoes,October 2017,132.3,112.4,1,2.72
8,sweetpotatoes,November 2017,132.7,120.8,0,2.82
9,sweetpotatoes,December 2017,132.0,116.9,1,2.63
10,sweetpotatoes,January 2018,133.2,120.6,1,2.78
11,sweetpotatoes,February 2018,134.0,119.7,1,3.07
12,sweetpotatoes,March 2018,134.6,123.1,0,3.03
13,sweetpotatoes,April 2018,134.8,131.6,1,3.26
14,sweetpotatoes,May 2018,134.9,135.9,1,3.33
15,sweetpotatoes,June 2018,135.3,132.9,0,3.33
16,sweetpotatoes,July 2018,136.0,133.9,1,3.62
17,sweetpotatoes,August 2018,135.9,131.8,0,3.73
18,sweetpotatoes,September 2018,135.2,130.4,1,3.5
19,sweetpotatoes,October 2018,135.6,125.9,1,3.03
20,sweetpotatoes,November 2018,135.1,113.8,0,3.29
21,sweetpotatoes,December 2018,135.0,106.4,1,2.85
22,sweetpotatoes,January 2019,135.2,103.1,1,3.13
23,sweetpotatoes,February 2019,136.0,105.1,1,3.04
24,sweetpotatoes,March 2019,137.0,117.7,0,3.5
25,sweetpotatoes,April 2019,137.4,129.5,1,3.2
26,sweetpotatoes,May 2019,138.1,130.7,1,3.76
27,sweetpotatoes,June 2019,138.0,119.9,0,3.71
28,sweetpotatoes,July 2019,138.8,124.4,1,3.67
29,sweetpotatoes,August 2019,138.5,117.9,0,4.01
30,sweetpotatoes,September 2019,137.5,116.9,1,3.74
31,sweetpotatoes,October 2019,137.9,117.2,1,3.23
32,sweetpotatoes,November 2019,137.7,115.0,0,3.09
33,sweetpotatoes,December 2019,137.8,114.5,1,3.11
34,sweetpotatoes,January 2020,138.0,114.6,1,3.27
35,sweetpotatoes,February 2020,138.7,112.2,1,3.08
36,sweetpotatoes,March 2020,137.9,91.3,0,3.41
37,sweetpotatoes,April 2020,137.3,77.8,1,3.55
38,sweetpotatoes,May 2020,137.5,91.4,1,3.73
39,sweetpotatoes,June 2020,138.6,101.0,0,3.82
40,sweetpotatoes,July 2020,138.8,105.5,1,3.8
41,sweetpotatoes,August 2020,138.6,104.6,0,3.92
42,sweetpotatoes,September 2020,138.3,104.1,1,3.55
43,sweetpotatoes,October 2020,138.9,102.6,1,3.19
44,sweetpotatoes,November 2020,139.0,101.1,0,3.28
45,sweetpotatoes,December 2020,138.8,104.4,1,3.07
46,sweetpotatoes,January 2021,139.5,111.0,1,3.46
47,sweetpotatoes,February 2021,140.2,118.2,1,3.44
48,sweetpotatoes,March 2021,141.0,125.0,0,3.54
49,sweetpotatoes,April 2021,141.8,127.5,1,3.64
50,sweetpotatoes,May 2021,142.6,131.5,1,3.71
51,sweetpotatoes,June 2021,143.1,133.7,0,3.64
52,sweetpotatoes,July 2021,143.7,138.4,1,3.57
53,sweetpotatoes,August 2021,144.1,139.0,0,3.8
54,sweetpotatoes,September 2021,144.4,138.9,1,3.57
55,sweetpotatoes,October 2021,145.7,146.0,1,3.21
