Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,teabags,April 2017,132.0,116.1,1,3.23
2,teabags,May 2017,131.9,110.9,1,3.16
3,teabags,June 2017,132.1,106.5,0,3.32
4,teabags,July 2017,131.9,107.0,1,3.36
5,teabags,August 2017,131.8,109.7,0,3.34
6,teabags,September 2017,132.3,116.0,1,3.25
7,teabags,October 2017,132.3,112.4,1,3.16
8,teabags,November 2017,132.7,120.8,0,3.03
9,teabags,December 2017,132.0,116.9,1,3.28
10,teabags,January 2018,133.2,120.6,1,3.34
11,teabags,February 2018,134.0,119.7,1,3.38
12,teabags,March 2018,134.6,123.1,0,3.32
13,teabags,April 2018,134.8,131.6,1,3.38
14,teabags,May 2018,134.9,135.9,1,3.39
15,teabags,June 2018,135.3,132.9,0,3.51
16,teabags,July 2018,136.0,133.9,1,3.54
17,teabags,August 2018,135.9,131.8,0,3.35
18,teabags,September 2018,135.2,130.4,1,3.19
19,teabags,October 2018,135.6,125.9,1,3.24
20,teabags,November 2018,135.1,113.8,0,3.16
21,teabags,December 2018,135.0,106.4,1,3.25
22,teabags,January 2019,135.2,103.1,1,3.34
23,teabags,February 2019,136.0,105.1,1,3.33
24,teabags,March 2019,137.0,117.7,0,3.28
25,teabags,April 2019,137.4,129.5,1,3.37
26,teabags,May 2019,138.1,130.7,1,3.32
27,teabags,June 2019,138.0,119.9,0,3.35
28,teabags,July 2019,138.8,124.4,1,3.37
29,teabags,August 2019,138.5,117.9,0,3.26
30,teabags,September 2019,137.5,116.9,1,3.38
31,teabags,October 2019,137.9,117.2,1,3.19
32,teabags,November 2019,137.7,115.0,0,3.18
33,teabags,December 2019,137.8,114.5,1,3.36
34,teabags,January 2020,138.0,114.6,1,3.42
35,teabags,February 2020,138.7,112.2,1,3.28
36,teabags,March 2020,137.9,91.3,0,3.55
37,teabags,April 2020,137.3,77.8,1,3.46
38,teabags,May 2020,137.5,91.4,1,3.66
39,teabags,June 2020,138.6,101.0,0,3.54
40,teabags,July 2020,138.8,105.5,1,3.43
41,teabags,August 2020,138.6,104.6,0,3.72
42,teabags,September 2020,138.3,104.1,1,3.58
43,teabags,October 2020,138.9,102.6,1,3.53
44,teabags,November 2020,139.0,101.1,0,3.39
45,teabags,December 2020,138.8,104.4,1,3.64
46,teabags,January 2021,139.5,111.0,1,3.47
47,teabags,February 2021,140.2,118.2,1,3.65
48,teabags,March 2021,141.0,125.0,0,3.7
49,teabags,April 2021,141.8,127.5,1,3.53
50,teabags,May 2021,142.6,131.5,1,3.71
51,teabags,June 2021,143.1,133.7,0,3.75
52,teabags,July 2021,143.7,138.4,1,3.99
53,teabags,August 2021,144.1,139.0,0,3.72
54,teabags,September 2021,144.4,138.9,1,3.86
55,teabags,October 2021,145.7,146.0,1,3.83
56,teabags,November 2021,146.0,145.8,0,3.72
57,teabags,December 2021,146.0,140.0,1,3.86
58,teabags,January 2022,147.4,146.6,1,3.85
59,teabags,February 2022,148.8,156.8,1,3.72
60,teabags,March 2022,150.8,175.2,0,3.64
61,teabags,April 2022,151.6,173.8,1,3.73
62,teabags,May 2022,153.7,194.8,1,3.73
63,teabags,June 2022,154.4,207.2,0,3.88
64,teabags,July 2022,154.6,187.8,1,4.2
65,teabags,August 2022,154.1,169.6,0,3.92
66,teabags,September 2022,154.1,156.4,1,4.21
67,teabags,October 2022,155.2,171.5,1,4.2
68,teabags,November 2022,155.4,165.3,0,3.95
69,teabags,December 2022,154.8,143.6,1,4.17
70,teabags,January 2023,155.7,150.3,1,4.19
71,teabags,February 2023,156.4,148.5,1,4.23
72,teabags,March 2023,157.3,150.3,0,4.28
73,teabags,April 2023,157.9,160.1,1,4.33
74,teabags,May 2023,158.5,158.8,1,4.23
75,teabags,June 2023,158.4,161.6,0,4.22
76,teabags,July 2023,159.6,163.1,1,4.51
77,teabags,August 2023,159.9,170.6,0,4.45
78,teabags,September 2023,159.7,168.3,1,4.36
79,teabags,October 2023,160.3,157.4,1,4.41
80,teabags,November 2023,160.6,152.2,0,4.27
81,teabags,December 2023,160.0,145.4,1,4.17
82,teabags,January 2024,159.9,144.1,1,4.33
83,teabags,February 2024,160.2,149.9,1,4.24
84,teabags,March 2024,161.4,157.3,0,4.29
85,teabags,April 2024,162.2,169.8,1,4.24
86,teabags,May 2024,163.2,167.6,1,4.25
87,teabags,June 2024,163.1,162.4,0,4.38
88,teabags,July 2024,163.9,166.5,1,4.5
89,teabags,August 2024,163.3,162.1,0,4.4
90,teabags,September 2024,162.8,150.3,1,3.87
91,teabags,October 2024,163.5,151.6,1,3.97
92,teabags,November 2024,163.5,151.4,0,3.94
93,teabags,December 2024,162.7,150.5,1,3.81
94,teabags,January 2025,162.6,156.7,1,4.22
95,teabags,February 2025,164.6,157.7,1,4.1
96,teabags,March 2025,165.1,154.8,0,4.19
97,teabags,April 2025,164.8,139.2,1,4.27
98,teabags,May 2025,165.9,141.7,1,4.22
99,teabags,June 2025,166.0,140.7,0,4.29
100,teabags,July 2025,166.5,139.6,1,4.33
101,teabags,August 2025,166.0,141.6,0,4.3
