Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,tofu,April 2017,132.0,116.1,1,1.86
2,tofu,May 2017,131.9,110.9,1,1.86
3,tofu,June 2017,132.1,106.5,0,1.86
4,tofu,July 2017,131.9,107.0,1,1.9
5,tofu,August 2017,131.8,109.7,0,1.88
6,tofu,September 2017,132.3,116.0,1,1.82
7,tofu,October 2017,132.3,112.4,1,1.97
8,tofu,November 2017,132.7,120.8,0,1.85
9,tofu,December 2017,132.0,116.9,1,1.96
10,tofu,January 2018,133.2,120.6,1,1.95
11,tofu,February 2018,134.0,119.7,1,2.1
12,tofu,March 2018,134.6,123.1,0,2.11
13,tofu,April 2018,134.8,131.6,1,2.11
14,tofu,May 2018,134.9,135.9,1,2.09
15,tofu,June 2018,135.3,132.9,0,2.27
16,tofu,July 2018,136.0,133.9,1,2.24
17,tofu,August 2018,135.9,131.8,0,2.24
18,tofu,September 2018,135.2,130.4,1,2.22
19,tofu,October 2018,135.6,125.9,1,2.25
20,tofu,November 2018,135.1,113.8,0,2.18
21,tofu,December 2018,135.0,106.4,1,2.14
22,tofu,January 2019,135.2,103.1,1,2.15
23,tofu,February 2019,136.0,105.1,1,2.13
24,tofu,March 2019,137.0,117.7,0,2.11
25,tofu,April 2019,137.4,129.5,1,2.13
26,tofu,May 2019,138.1,130.7,1,2.15
27,tofu,June 2019,138.0,119.9,0,2.15
28,tofu,July 2019,138.8,124.4,1,2.1
29,tofu,August 2019,138.5,117.9,0,2.14
30,tofu,September 2019,137.5,116.9,1,2.15
31,tofu,October 2019,137.9,117.2,1,2.17
32,tofu,November 2019,137.7,115.0,0,2.21
33,tofu,December 2019,137.8,114.5,1,2.17
34,tofu,January 2020,138.0,114.6,1,2.06
35,tofu,February 2020,138.7,112.2,1,2.19
36,tofu,March 2020,137.9,91.3,0,2.19
37,tofu,April 2020,137.3,77.8,1,2.16
38,tofu,May 2020,137.5,91.4,1,2.39
39,tofu,June 2020,138.6,101.0,0,2.29
40,tofu,July 2020,138.8,105.5,1,2.25
41,tofu,August 2020,138.6,104.6,0,2.24
42,tofu,September 2020,138.3,104.1,1,2.24
43,tofu,October 2020,138.9,102.6,1,2.25
44,tofu,November 2020,139.0,101.1,0,2.24
45,tofu,December 2020,138.8,104.4,1,2.26
46,tofu,January 2021,139.5,111.0,1,2.29
47,tofu,February 2021,140.2,118.2,1,2.25
48,tofu,March 2021,141.0,125.0,0,2.27
49,tofu,April 2021,141.8,127.5,1,2.33
50,tofu,May 2021,142.6,131.5,1,2.43
51,tofu,June 2021,143.1,133.7,0,2.52
52,tofu,July 2021,143.7,138.4,1,2.37
53,tofu,August 2021,144.1,139.0,0,2.42
54,tofu,September 2021,144.4,138.9,1,2.48
55,tofu,October 2021,145.7,146.0,1,2.53
56,tofu,November 2021,146.0,145.8,0,2.45
57,tofu,December 2021,146.0,140.0,1,2.48
58,tofu,January 2022,147.4,146.6,1,2.43
59,tofu,February 2022,148.8,156.8,1,2.6
60,tofu,March 2022,150.8,175.2,0,2.55
61,tofu,April 2022,151.6,173.8,1,2.6
62,tofu,May 2022,153.7,194.8,1,2.54
63,tofu,June 2022,154.4,207.2,0,2.61
64,tofu,July 2022,154.6,187.8,1,2.72
65,tofu,August 2022,154.1,169.6,0,2.69
66,tofu,September 2022,154.1,156.4,1,2.77
67,tofu,October 2022,155.2,171.5,1,2.77
68,tofu,November 2022,155.4,165.3,0,2.7
69,tofu,December 2022,154.8,143.6,1,2.76
70,tofu,January 2023,155.7,150.3,1,2.58
71,tofu,February 2023,156.4,148.5,1,2.79
72,tofu,March 2023,157.3,150.3,0,2.79
73,tofu,April 2023,157.9,160.1,1,2.73
74,tofu,May 2023,158.5,158.8,1,2.81
75,tofu,June 2023,158.4,161.6,0,2.72
76,tofu,July 2023,159.6,163.1,1,2.72
77,tofu,August 2023,159.9,170.6,0,2.69
78,tofu,September 2023,159.7,168.3,1,2.63
79,tofu,October 2023,160.3,157.4,1,2.7
80,tofu,November 2023,160.6,152.2,0,2.63
81,tofu,December 2023,160.0,145.4,1,2.61
82,tofu,January 2024,159.9,144.1,1,2.55
83,tofu,February 2024,160.2,149.9,1,2.6
84,tofu,March 2024,161.4,157.3,0,2.69
85,tofu,April 2024,162.2,169.8,1,2.68
86,tofu,May 2024,163.2,167.6,1,2.62
87,tofu,June 2024,163.1,162.4,0,2.69
88,tofu,July 2024,163.9,166.5,1,2.64
89,tofu,August 2024,163.3,162.1,0,2.62
90,tofu,September 2024,162.8,150.3,1,2.54
91,tofu,October 2024,163.5,151.6,1,2.66
92,tofu,November 2024,163.5,151.4,0,2.63
93,tofu,December 2024,162.7,150.5,1,2.68
94,tofu,January 2025,162.6,156.7,1,2.52
95,tofu,February 2025,164.6,157.7,1,2.61
96,tofu,March 2025,165.1,154.8,0,2.68
97,tofu,April 2025,164.8,139.2,1,2.7
98,tofu,May 2025,165.9,141.7,1,2.72
99,tofu,June 2025,166.0,140.7,0,2.73
100,tofu,July 2025,166.5,139.6,1,2.78
101,tofu,August 2025,166.0,141.6,0,2.75
