Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,tomatoes,April 2017,132.0,116.1,1,3.09
2,tomatoes,May 2017,131.9,110.9,1,2.85
3,tomatoes,June 2017,132.1,106.5,0,3.05
4,tomatoes,July 2017,131.9,107.0,1,3.0
5,tomatoes,August 2017,131.8,109.7,0,2.93
6,tomatoes,September 2017,132.3,116.0,1,2.82
7,tomatoes,October 2017,132.3,112.4,1,2.92
8,tomatoes,November 2017,132.7,120.8,0,3.67
9,tomatoes,December 2017,132.0,116.9,1,5.04
10,tomatoes,January 2018,133.2,120.6,1,5.13
11,tomatoes,February 2018,134.0,119.7,1,4.02
12,tomatoes,March 2018,134.6,123.1,0,3.91
13,tomatoes,April 2018,134.8,131.6,1,3.42
14,tomatoes,May 2018,134.9,135.9,1,3.02
15,tomatoes,June 2018,135.3,132.9,0,3.11
16,tomatoes,July 2018,136.0,133.9,1,3.19
17,tomatoes,August 2018,135.9,131.8,0,3.08
18,tomatoes,September 2018,135.2,130.4,1,3.13
19,tomatoes,October 2018,135.6,125.9,1,3.35
20,tomatoes,November 2018,135.1,113.8,0,4.6
21,tomatoes,December 2018,135.0,106.4,1,5.86
22,tomatoes,January 2019,135.2,103.1,1,5.31
23,tomatoes,February 2019,136.0,105.1,1,4.04
24,tomatoes,March 2019,137.0,117.7,0,3.77
25,tomatoes,April 2019,137.4,129.5,1,3.22
26,tomatoes,May 2019,138.1,130.7,1,3.33
27,tomatoes,June 2019,138.0,119.9,0,3.07
28,tomatoes,July 2019,138.8,124.4,1,3.35
29,tomatoes,August 2019,138.5,117.9,0,3.29
30,tomatoes,September 2019,137.5,116.9,1,3.15
31,tomatoes,October 2019,137.9,117.2,1,3.44
32,tomatoes,November 2019,137.7,115.0,0,4.43
33,tomatoes,December 2019,137.8,114.5,1,5.77
34,tomatoes,January 2020,138.0,114.6,1,6.11
35,tomatoes,February 2020,138.7,112.2,1,5.96
36,tomatoes,March 2020,137.9,91.3,0,6.04
37,tomatoes,April 2020,137.3,77.8,1,4.83
38,tomatoes,May 2020,137.5,91.4,1,4.23
39,tomatoes,June 2020,138.6,101.0,0,4.72
40,tomatoes,July 2020,138.8,105.5,1,5.29
41,tomatoes,August 2020,138.6,104.6,0,4.43
42,tomatoes,September 2020,138.3,104.1,1,4.45
43,tomatoes,October 2020,138.9,102.6,1,5.04
44,tomatoes,November 2020,139.0,101.1,0,4.82
45,tomatoes,December 2020,138.8,104.4,1,5.5
46,tomatoes,January 2021,139.5,111.0,1,5.81
47,tomatoes,February 2021,140.2,118.2,1,5.35
48,tomatoes,March 2021,141.0,125.0,0,4.19
49,tomatoes,April 2021,141.8,127.5,1,3.44
50,tomatoes,May 2021,142.6,131.5,1,3.43
51,tomatoes,June 2021,143.1,133.7,0,3.54
52,tomatoes,July 2021,143.7,138.4,1,3.67
53,tomatoes,August 2021,144.1,139.0,0,3.45
54,tomatoes,September 2021,144.4,138.9,1,3.53
55,tomatoes,October 2021,145.7,146.0,1,4.06
56,tomatoes,November 2021,146.0,145.8,0,4.83
57,tomatoes,December 2021,146.0,140.0,1,5.25
58,tomatoes,January 2022,147.4,146.6,1,5.51
59,tomatoes,February 2022,148.8,156.8,1,5.03
60,tomatoes,March 2022,150.8,175.2,0,4.2
61,tomatoes,April 2022,151.6,173.8,1,3.93
62,tomatoes,May 2022,153.7,194.8,1,3.97
63,tomatoes,June 2022,154.4,207.2,0,3.91
64,tomatoes,July 2022,154.6,187.8,1,4.25
65,tomatoes,August 2022,154.1,169.6,0,3.81
66,tomatoes,September 2022,154.1,156.4,1,3.72
67,tomatoes,October 2022,155.2,171.5,1,4.38
68,tomatoes,November 2022,155.4,165.3,0,6.2
69,tomatoes,December 2022,154.8,143.6,1,6.8
70,tomatoes,January 2023,155.7,150.3,1,6.54
71,tomatoes,February 2023,156.4,148.5,1,5.39
72,tomatoes,March 2023,157.3,150.3,0,4.92
73,tomatoes,April 2023,157.9,160.1,1,4.2
74,tomatoes,May 2023,158.5,158.8,1,4.06
75,tomatoes,June 2023,158.4,161.6,0,4.43
76,tomatoes,July 2023,159.6,163.1,1,4.5
77,tomatoes,August 2023,159.9,170.6,0,4.12
78,tomatoes,September 2023,159.7,168.3,1,3.93
79,tomatoes,October 2023,160.3,157.4,1,4.58
80,tomatoes,November 2023,160.6,152.2,0,5.14
81,tomatoes,December 2023,160.0,145.4,1,5.49
82,tomatoes,January 2024,159.9,144.1,1,6.26
83,tomatoes,February 2024,160.2,149.9,1,5.58
84,tomatoes,March 2024,161.4,157.3,0,4.72
85,tomatoes,April 2024,162.2,169.8,1,4.02
86,tomatoes,May 2024,163.2,167.6,1,4.16
87,tomatoes,June 2024,163.1,162.4,0,4.2
88,tomatoes,July 2024,163.9,166.5,1,4.26
89,tomatoes,August 2024,163.3,162.1,0,4.23
90,tomatoes,September 2024,162.8,150.3,1,4.32
91,tomatoes,October 2024,163.5,151.6,1,4.34
92,tomatoes,November 2024,163.5,151.4,0,5.77
93,tomatoes,December 2024,162.7,150.5,1,6.09
94,tomatoes,January 2025,162.6,156.7,1,6.47
95,tomatoes,February 2025,164.6,157.7,1,5.01
96,tomatoes,March 2025,165.1,154.8,0,4.75
97,tomatoes,April 2025,164.8,139.2,1,4.47
98,tomatoes,May 2025,165.9,141.7,1,4.33
99,tomatoes,June 2025,166.0,140.7,0,4.42
100,tomatoes,July 2025,166.5,139.6,1,4.53
101,tomatoes,August 2025,166.0,141.6,0,4.64
