Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,toothpaste,April 2017,132.0,116.1,1,2.62
2,toothpaste,May 2017,131.9,110.9,1,2.48
3,toothpaste,June 2017,132.1,106.5,0,2.87
4,toothpaste,July 2017,131.9,107.0,1,2.71
5,toothpaste,August 2017,131.8,109.7,0,2.63
6,toothpaste,September 2017,132.3,116.0,1,2.6
7,toothpaste,October 2017,132.3,112.4,1,2.68
8,toothpaste,November 2017,132.7,120.8,0,2.5
9,toothpaste,December 2017,132.0,116.9,1,2.82
10,toothpaste,January 2018,133.2,120.6,1,2.49
11,toothpaste,February 2018,134.0,119.7,1,2.45
12,toothpaste,March 2018,134.6,123.1,0,2.51
13,toothpaste,April 2018,134.8,131.6,1,2.66
14,toothpaste,May 2018,134.9,135.9,1,2.6
15,toothpaste,June 2018,135.3,132.9,0,2.5
16,toothpaste,July 2018,136.0,133.9,1,2.8
17,toothpaste,August 2018,135.9,131.8,0,2.44
18,toothpaste,September 2018,135.2,130.4,1,2.78
19,toothpaste,October 2018,135.6,125.9,1,2.65
20,toothpaste,November 2018,135.1,113.8,0,2.66
21,toothpaste,December 2018,135.0,106.4,1,2.72
22,toothpaste,January 2019,135.2,103.1,1,2.6
23,toothpaste,February 2019,136.0,105.1,1,2.51
24,toothpaste,March 2019,137.0,117.7,0,2.83
25,toothpaste,April 2019,137.4,129.5,1,2.94
26,toothpaste,May 2019,138.1,130.7,1,2.64
27,toothpaste,June 2019,138.0,119.9,0,2.61
28,toothpaste,July 2019,138.8,124.4,1,2.83
29,toothpaste,August 2019,138.5,117.9,0,2.63
30,toothpaste,September 2019,137.5,116.9,1,2.99
31,toothpaste,October 2019,137.9,117.2,1,2.85
32,toothpaste,November 2019,137.7,115.0,0,2.98
33,toothpaste,December 2019,137.8,114.5,1,2.91
34,toothpaste,January 2020,138.0,114.6,1,2.7
35,toothpaste,February 2020,138.7,112.2,1,2.79
36,toothpaste,March 2020,137.9,91.3,0,2.95
37,toothpaste,April 2020,137.3,77.8,1,3.27
38,toothpaste,May 2020,137.5,91.4,1,3.11
39,toothpaste,June 2020,138.6,101.0,0,2.91
40,toothpaste,July 2020,138.8,105.5,1,3.11
41,toothpaste,August 2020,138.6,104.6,0,3.17
42,toothpaste,September 2020,138.3,104.1,1,2.84
43,toothpaste,October 2020,138.9,102.6,1,2.92
44,toothpaste,November 2020,139.0,101.1,0,3.13
45,toothpaste,December 2020,138.8,104.4,1,3.14
46,toothpaste,January 2021,139.5,111.0,1,2.92
47,toothpaste,February 2021,140.2,118.2,1,2.93
48,toothpaste,March 2021,141.0,125.0,0,3.42
49,toothpaste,April 2021,141.8,127.5,1,3.03
50,toothpaste,May 2021,142.6,131.5,1,3.11
51,toothpaste,June 2021,143.1,133.7,0,3.03
52,toothpaste,July 2021,143.7,138.4,1,3.2
53,toothpaste,August 2021,144.1,139.0,0,3.26
54,toothpaste,September 2021,144.4,138.9,1,3.18
55,toothpaste,October 2021,145.7,146.0,1,2.98
56,toothpaste,November 2021,146.0,145.8,0,3.25
57,toothpaste,December 2021,146.0,140.0,1,3.37
58,toothpaste,January 2022,147.4,146.6,1,3.05
59,toothpaste,February 2022,148.8,156.8,1,3.46
60,toothpaste,March 2022,150.8,175.2,0,3.39
61,toothpaste,April 2022,151.6,173.8,1,3.35
62,toothpaste,May 2022,153.7,194.8,1,3.39
63,toothpaste,June 2022,154.4,207.2,0,3.39
64,toothpaste,July 2022,154.6,187.8,1,3.47
65,toothpaste,August 2022,154.1,169.6,0,3.67
66,toothpaste,September 2022,154.1,156.4,1,3.83
67,toothpaste,October 2022,155.2,171.5,1,3.51
68,toothpaste,November 2022,155.4,165.3,0,3.53
69,toothpaste,December 2022,154.8,143.6,1,3.68
70,toothpaste,January 2023,155.7,150.3,1,3.28
71,toothpaste,February 2023,156.4,148.5,1,3.67
72,toothpaste,March 2023,157.3,150.3,0,3.86
73,toothpaste,April 2023,157.9,160.1,1,3.62
74,toothpaste,May 2023,158.5,158.8,1,3.69
75,toothpaste,June 2023,158.4,161.6,0,3.53
76,toothpaste,July 2023,159.6,163.1,1,3.68
77,toothpaste,August 2023,159.9,170.6,0,3.6
78,toothpaste,September 2023,159.7,168.3,1,3.83
79,toothpaste,October 2023,160.3,157.4,1,3.54
80,toothpaste,November 2023,160.6,152.2,0,3.86
81,toothpaste,December 2023,160.0,145.4,1,3.67
82,toothpaste,January 2024,159.9,144.1,1,3.64
83,toothpaste,February 2024,160.2,149.9,1,3.82
84,toothpaste,March 2024,161.4,157.3,0,4.08
85,toothpaste,April 2024,162.2,169.8,1,3.59
86,toothpaste,May 2024,163.2,167.6,1,4.23
87,toothpaste,June 2024,163.1,162.4,0,3.75
88,toothpaste,July 2024,163.9,166.5,1,3.85
89,toothpaste,August 2024,163.3,162.1,0,3.49
90,toothpaste,September 2024,162.8,150.3,1,4.03
91,toothpaste,October 2024,163.5,151.6,1,3.95
92,toothpaste,November 2024,163.5,151.4,0,4.02
93,toothpaste,December 2024,162.7,150.5,1,4.02
94,toothpaste,January 2025,162.6,156.7,1,3.84
95,toothpaste,February 2025,164.6,157.7,1,4.19
96,toothpaste,March 2025,165.1,154.8,0,4.05
97,toothpaste,April 2025,164.8,139.2,1,4.06
98,toothpaste,May 2025,165.9,141.7,1,3.97
99,toothpaste,June 2025,166.0,140.7,0,4.2
100,toothpaste,July 2025,166.5,139.6,1,4.09
101,toothpaste,August 2025,166.0,141.6,0,4.07
