Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,vegetableoil,April 2017,132.0,116.1,1,5.57
2,vegetableoil,May 2017,131.9,110.9,1,5.34
3,vegetableoil,June 2017,132.1,106.5,0,5.07
4,vegetableoil,July 2017,131.9,107.0,1,4.1
5,vegetableoil,August 2017,131.8,109.7,0,5.59
6,vegetableoil,September 2017,132.3,116.0,1,5.22
7,vegetableoil,October 2017,132.3,112.4,1,5.46
8,vegetableoil,November 2017,132.7,120.8,0,5.23
9,vegetableoil,December 2017,132.0,116.9,1,5.49
10,vegetableoil,January 2018,133.2,120.6,1,5.25
11,vegetableoil,February 2018,134.0,119.7,1,5.26
12,vegetableoil,March 2018,134.6,123.1,0,3.5
13,vegetableoil,April 2018,134.8,131.6,1,5.39
14,vegetableoil,May 2018,134.9,135.9,1,5.69
15,vegetableoil,June 2018,135.3,132.9,0,5.63
16,vegetableoil,July 2018,136.0,133.9,1,5.51
17,vegetableoil,August 2018,135.9,131.8,0,5.63
18,vegetableoil,September 2018,135.2,130.4,1,5.78
19,vegetableoil,October 2018,135.6,125.9,1,5.57
20,vegetableoil,November 2018,135.1,113.8,0,5.62
21,vegetableoil,December 2018,135.0,106.4,1,5.88
22,vegetableoil,January 2019,135.2,103.1,1,3.84
23,vegetableoil,February 2019,136.0,105.1,1,5.85
24,vegetableoil,March 2019,137.0,117.7,0,3.72
25,vegetableoil,April 2019,137.4,129.5,1,5.32
26,vegetableoil,May 2019,138.1,130.7,1,5.25
27,vegetableoil,June 2019,138.0,119.9,0,5.5
28,vegetableoil,July 2019,138.8,124.4,1,5.71
29,vegetableoil,August 2019,138.5,117.9,0,5.68
30,vegetableoil,September 2019,137.5,116.9,1,4.63
31,vegetableoil,October 2019,137.9,117.2,1,5.51
32,vegetableoil,November 2019,137.7,115.0,0,5.79
33,vegetableoil,December 2019,137.8,114.5,1,5.68
34,vegetableoil,January 2020,138.0,114.6,1,3.81
35,vegetableoil,February 2020,138.7,112.2,1,5.7
36,vegetableoil,March 2020,137.9,91.3,0,5.78
37,vegetableoil,April 2020,137.3,77.8,1,6.16
38,vegetableoil,May 2020,137.5,91.4,1,5.97
39,vegetableoil,June 2020,138.6,101.0,0,5.14
40,vegetableoil,July 2020,138.8,105.5,1,5.78
41,vegetableoil,August 2020,138.6,104.6,0,5.69
42,vegetableoil,September 2020,138.3,104.1,1,5.46
43,vegetableoil,October 2020,138.9,102.6,1,4.26
44,vegetableoil,November 2020,139.0,101.1,0,4.75
45,vegetableoil,December 2020,138.8,104.4,1,5.91
46,vegetableoil,January 2021,139.5,111.0,1,4.84
47,vegetableoil,February 2021,140.2,118.2,1,6.0
48,vegetableoil,March 2021,141.0,125.0,0,6.21
49,vegetableoil,April 2021,141.8,127.5,1,6.4
50,vegetableoil,May 2021,142.6,131.5,1,6.47
51,vegetableoil,June 2021,143.1,133.7,0,6.77
52,vegetableoil,July 2021,143.7,138.4,1,7.83
53,vegetableoil,August 2021,144.1,139.0,0,8.41
54,vegetableoil,September 2021,144.4,138.9,1,9.13
55,vegetableoil,October 2021,145.7,146.0,1,9.15
56,vegetableoil,November 2021,146.0,145.8,0,7.44
57,vegetableoil,December 2021,146.0,140.0,1,10.11
