Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,wheatflourkilograms,April 2017,132.0,116.1,1,4.73
2,wheatflourkilograms,May 2017,131.9,110.9,1,4.78
3,wheatflourkilograms,June 2017,132.1,106.5,0,4.65
4,wheatflourkilograms,July 2017,131.9,107.0,1,4.77
5,wheatflourkilograms,August 2017,131.8,109.7,0,4.89
6,wheatflourkilograms,September 2017,132.3,116.0,1,4.57
7,wheatflourkilograms,October 2017,132.3,112.4,1,4.75
8,wheatflourkilograms,November 2017,132.7,120.8,0,4.33
9,wheatflourkilograms,December 2017,132.0,116.9,1,4.55
10,wheatflourkilograms,January 2018,133.2,120.6,1,4.71
11,wheatflourkilograms,February 2018,134.0,119.7,1,4.67
12,wheatflourkilograms,March 2018,134.6,123.1,0,4.54
13,wheatflourkilograms,April 2018,134.8,131.6,1,4.85
14,wheatflourkilograms,May 2018,134.9,135.9,1,4.78
15,wheatflourkilograms,June 2018,135.3,132.9,0,4.73
16,wheatflourkilograms,July 2018,136.0,133.9,1,4.73
17,wheatflourkilograms,August 2018,135.9,131.8,0,4.86
18,wheatflourkilograms,September 2018,135.2,130.4,1,4.62
19,wheatflourkilograms,October 2018,135.6,125.9,1,4.57
20,wheatflourkilograms,November 2018,135.1,113.8,0,4.45
21,wheatflourkilograms,December 2018,135.0,106.4,1,4.6
22,wheatflourkilograms,January 2019,135.2,103.1,1,4.79
23,wheatflourkilograms,February 2019,136.0,105.1,1,4.71
24,wheatflourkilograms,March 2019,137.0,117.7,0,4.81
25,wheatflourkilograms,April 2019,137.4,129.5,1,4.53
26,wheatflourkilograms,May 2019,138.1,130.7,1,4.72
27,wheatflourkilograms,June 2019,138.0,119.9,0,4.77
28,wheatflourkilograms,July 2019,138.8,124.4,1,4.79
29,wheatflourkilograms,August 2019,138.5,117.9,0,4.8
30,wheatflourkilograms,September 2019,137.5,116.9,1,4.64
31,wheatflourkilograms,October 2019,137.9,117.2,1,4.53
32,wheatflourkilograms,November 2019,137.7,115.0,0,4.44
33,wheatflourkilograms,December 2019,137.8,114.5,1,4.48
34,wheatflourkilograms,January 2020,138.0,114.6,1,4.68
35,wheatflourkilograms,February 2020,138.7,112.2,1,4.61
36,wheatflourkilograms,March 2020,137.9,91.3,0,4.78
37,wheatflourkilograms,April 2020,137.3,77.8,1,4.59
38,wheatflourkilograms,May 2020,137.5,91.4,1,5.27
39,wheatflourkilograms,June 2020,138.6,101.0,0,5.37
40,wheatflourkilograms,July 2020,138.8,105.5,1,5.06
41,wheatflourkilograms,August 2020,138.6,104.6,0,5.01
42,wheatflourkilograms,September 2020,138.3,104.1,1,4.7
43,wheatflourkilograms,October 2020,138.9,102.6,1,4.67
44,wheatflourkilograms,November 2020,139.0,101.1,0,4.43
45,wheatflourkilograms,December 2020,138.8,104.4,1,4.58
46,wheatflourkilograms,January 2021,139.5,111.0,1,4.81
47,wheatflourkilograms,February 2021,140.2,118.2,1,4.81
48,wheatflourkilograms,March 2021,141.0,125.0,0,4.5
49,wheatflourkilograms,April 2021,141.8,127.5,1,4.74
50,wheatflourkilograms,May 2021,142.6,131.5,1,4.93
51,wheatflourkilograms,June 2021,143.1,133.7,0,4.91
52,wheatflourkilograms,July 2021,143.7,138.4,1,4.95
53,wheatflourkilograms,August 2021,144.1,139.0,0,4.8
54,wheatflourkilograms,September 2021,144.4,138.9,1,4.64
55,wheatflourkilograms,October 2021,145.7,146.0,1,4.66
56,wheatflourkilograms,November 2021,146.0,145.8,0,4.75
57,wheatflourkilograms,December 2021,146.0,140.0,1,4.69
58,wheatflourkilograms,January 2022,147.4,146.6,1,4.86
59,wheatflourkilograms,February 2022,148.8,156.8,1,4.9
60,wheatflourkilograms,March 2022,150.8,175.2,0,5.14
61,wheatflourkilograms,April 2022,151.6,173.8,1,5.19
62,wheatflourkilograms,May 2022,153.7,194.8,1,5.19
63,wheatflourkilograms,June 2022,154.4,207.2,0,5.19
64,wheatflourkilograms,July 2022,154.6,187.8,1,5.46
65,wheatflourkilograms,August 2022,154.1,169.6,0,5.64
66,wheatflourkilograms,September 2022,154.1,156.4,1,5.48
67,wheatflourkilograms,October 2022,155.2,171.5,1,5.56
68,wheatflourkilograms,November 2022,155.4,165.3,0,5.46
69,wheatflourkilograms,December 2022,154.8,143.6,1,5.64
70,wheatflourkilograms,January 2023,155.7,150.3,1,5.66
71,wheatflourkilograms,February 2023,156.4,148.5,1,5.68
72,wheatflourkilograms,March 2023,157.3,150.3,0,5.65
73,wheatflourkilograms,April 2023,157.9,160.1,1,5.66
74,wheatflourkilograms,May 2023,158.5,158.8,1,5.77
75,wheatflourkilograms,June 2023,158.4,161.6,0,5.72
76,wheatflourkilograms,July 2023,159.6,163.1,1,5.81
77,wheatflourkilograms,August 2023,159.9,170.6,0,5.63
78,wheatflourkilograms,September 2023,159.7,168.3,1,5.59
79,wheatflourkilograms,October 2023,160.3,157.4,1,5.65
80,wheatflourkilograms,November 2023,160.6,152.2,0,5.52
81,wheatflourkilograms,December 2023,160.0,145.4,1,5.64
82,wheatflourkilograms,January 2024,159.9,144.1,1,5.57
83,wheatflourkilograms,February 2024,160.2,149.9,1,4.98
84,wheatflourkilograms,March 2024,161.4,157.3,0,4.12
85,wheatflourkilograms,April 2024,162.2,169.8,1,5.09
86,wheatflourkilograms,May 2024,163.2,167.6,1,5.2
87,wheatflourkilograms,June 2024,163.1,162.4,0,5.13
88,wheatflourkilograms,July 2024,163.9,166.5,1,5.26
89,wheatflourkilograms,August 2024,163.3,162.1,0,5.14
90,wheatflourkilograms,September 2024,162.8,150.3,1,5.1
91,wheatflourkilograms,October 2024,163.5,151.6,1,4.46
92,wheatflourkilograms,November 2024,163.5,151.4,0,5.12
93,wheatflourkilograms,December 2024,162.7,150.5,1,5.05
94,wheatflourkilograms,January 2025,162.6,156.7,1,5.21
