Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,whitebread,April 2017,132.0,116.1,1,2.35
2,whitebread,May 2017,131.9,110.9,1,2.38
3,whitebread,June 2017,132.1,106.5,0,2.48
4,whitebread,July 2017,131.9,107.0,1,2.49
5,whitebread,August 2017,131.8,109.7,0,2.51
6,whitebread,September 2017,132.3,116.0,1,2.36
7,whitebread,October 2017,132.3,112.4,1,2.44
8,whitebread,November 2017,132.7,120.8,0,2.4
9,whitebread,December 2017,132.0,116.9,1,2.46
10,whitebread,January 2018,133.2,120.6,1,2.39
11,whitebread,February 2018,134.0,119.7,1,2.4
12,whitebread,March 2018,134.6,123.1,0,2.41
13,whitebread,April 2018,134.8,131.6,1,2.36
14,whitebread,May 2018,134.9,135.9,1,2.4
15,whitebread,June 2018,135.3,132.9,0,2.39
16,whitebread,July 2018,136.0,133.9,1,2.45
17,whitebread,August 2018,135.9,131.8,0,2.43
18,whitebread,September 2018,135.2,130.4,1,2.35
19,whitebread,October 2018,135.6,125.9,1,2.39
20,whitebread,November 2018,135.1,113.8,0,2.4
21,whitebread,December 2018,135.0,106.4,1,2.42
22,whitebread,January 2019,135.2,103.1,1,2.45
23,whitebread,February 2019,136.0,105.1,1,2.39
24,whitebread,March 2019,137.0,117.7,0,2.42
25,whitebread,April 2019,137.4,129.5,1,2.4
26,whitebread,May 2019,138.1,130.7,1,2.42
27,whitebread,June 2019,138.0,119.9,0,2.4
28,whitebread,July 2019,138.8,124.4,1,2.44
29,whitebread,August 2019,138.5,117.9,0,2.46
30,whitebread,September 2019,137.5,116.9,1,2.45
31,whitebread,October 2019,137.9,117.2,1,2.43
32,whitebread,November 2019,137.7,115.0,0,2.41
33,whitebread,December 2019,137.8,114.5,1,2.53
34,whitebread,January 2020,138.0,114.6,1,2.54
35,whitebread,February 2020,138.7,112.2,1,2.52
36,whitebread,March 2020,137.9,91.3,0,2.55
37,whitebread,April 2020,137.3,77.8,1,2.62
38,whitebread,May 2020,137.5,91.4,1,2.58
39,whitebread,June 2020,138.6,101.0,0,2.58
40,whitebread,July 2020,138.8,105.5,1,2.59
41,whitebread,August 2020,138.6,104.6,0,2.59
42,whitebread,September 2020,138.3,104.1,1,2.56
43,whitebread,October 2020,138.9,102.6,1,2.56
44,whitebread,November 2020,139.0,101.1,0,2.56
45,whitebread,December 2020,138.8,104.4,1,2.6
46,whitebread,January 2021,139.5,111.0,1,2.55
47,whitebread,February 2021,140.2,118.2,1,2.63
48,whitebread,March 2021,141.0,125.0,0,2.59
49,whitebread,April 2021,141.8,127.5,1,2.57
50,whitebread,May 2021,142.6,131.5,1,2.58
51,whitebread,June 2021,143.1,133.7,0,2.52
52,whitebread,July 2021,143.7,138.4,1,2.55
53,whitebread,August 2021,144.1,139.0,0,2.62
54,whitebread,September 2021,144.4,138.9,1,2.61
55,whitebread,October 2021,145.7,146.0,1,2.61
56,whitebread,November 2021,146.0,145.8,0,2.6
57,whitebread,December 2021,146.0,140.0,1,2.71
58,whitebread,January 2022,147.4,146.6,1,2.64
59,whitebread,February 2022,148.8,156.8,1,2.7
60,whitebread,March 2022,150.8,175.2,0,2.79
61,whitebread,April 2022,151.6,173.8,1,2.81
62,whitebread,May 2022,153.7,194.8,1,2.83
63,whitebread,June 2022,154.4,207.2,0,2.82
64,whitebread,July 2022,154.6,187.8,1,2.92
65,whitebread,August 2022,154.1,169.6,0,2.95
66,whitebread,September 2022,154.1,156.4,1,2.93
67,whitebread,October 2022,155.2,171.5,1,2.98
68,whitebread,November 2022,155.4,165.3,0,3.01
69,whitebread,December 2022,154.8,143.6,1,3.11
70,whitebread,January 2023,155.7,150.3,1,3.07
71,whitebread,February 2023,156.4,148.5,1,3.02
72,whitebread,March 2023,157.3,150.3,0,3.14
73,whitebread,April 2023,157.9,160.1,1,3.12
74,whitebread,May 2023,158.5,158.8,1,3.15
75,whitebread,June 2023,158.4,161.6,0,3.09
76,whitebread,July 2023,159.6,163.1,1,3.09
77,whitebread,August 2023,159.9,170.6,0,3.05
78,whitebread,September 2023,159.7,168.3,1,3.01
79,whitebread,October 2023,160.3,157.4,1,3.08
80,whitebread,November 2023,160.6,152.2,0,3.04
81,whitebread,December 2023,160.0,145.4,1,3.11
82,whitebread,January 2024,159.9,144.1,1,3.03
83,whitebread,February 2024,160.2,149.9,1,3.06
84,whitebread,March 2024,161.4,157.3,0,3.03
85,whitebread,April 2024,162.2,169.8,1,3.01
86,whitebread,May 2024,163.2,167.6,1,2.93
87,whitebread,June 2024,163.1,162.4,0,3.01
88,whitebread,July 2024,163.9,166.5,1,3.05
89,whitebread,August 2024,163.3,162.1,0,3.0
90,whitebread,September 2024,162.8,150.3,1,3.05
91,whitebread,October 2024,163.5,151.6,1,3.01
92,whitebread,November 2024,163.5,151.4,0,3.05
93,whitebread,December 2024,162.7,150.5,1,3.01
94,whitebread,January 2025,162.6,156.7,1,3.01
95,whitebread,February 2025,164.6,157.7,1,3.07
96,whitebread,March 2025,165.1,154.8,0,3.05
97,whitebread,April 2025,164.8,139.2,1,3.06
98,whitebread,May 2025,165.9,141.7,1,3.07
99,whitebread,June 2025,166.0,140.7,0,3.08
100,whitebread,July 2025,166.5,139.6,1,3.06
101,whitebread,August 2025,166.0,141.6,0,3.01
