Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,whitericekilograms,April 2017,132.0,116.1,1,6.31
2,whitericekilograms,May 2017,131.9,110.9,1,6.25
3,whitericekilograms,June 2017,132.1,106.5,0,6.19
4,whitericekilograms,July 2017,131.9,107.0,1,6.44
5,whitericekilograms,August 2017,131.8,109.7,0,6.42
6,whitericekilograms,September 2017,132.3,116.0,1,6.39
7,whitericekilograms,October 2017,132.3,112.4,1,6.47
8,whitericekilograms,November 2017,132.7,120.8,0,6.6
9,whitericekilograms,December 2017,132.0,116.9,1,6.57
10,whitericekilograms,January 2018,133.2,120.6,1,6.52
11,whitericekilograms,February 2018,134.0,119.7,1,6.61
12,whitericekilograms,March 2018,134.6,123.1,0,6.72
13,whitericekilograms,April 2018,134.8,131.6,1,6.78
14,whitericekilograms,May 2018,134.9,135.9,1,6.62
15,whitericekilograms,June 2018,135.3,132.9,0,6.55
16,whitericekilograms,July 2018,136.0,133.9,1,6.76
17,whitericekilograms,August 2018,135.9,131.8,0,6.76
18,whitericekilograms,September 2018,135.2,130.4,1,6.74
19,whitericekilograms,October 2018,135.6,125.9,1,6.84
20,whitericekilograms,November 2018,135.1,113.8,0,6.86
21,whitericekilograms,December 2018,135.0,106.4,1,6.73
22,whitericekilograms,January 2019,135.2,103.1,1,6.92
23,whitericekilograms,February 2019,136.0,105.1,1,6.97
24,whitericekilograms,March 2019,137.0,117.7,0,6.94
25,whitericekilograms,April 2019,137.4,129.5,1,6.79
26,whitericekilograms,May 2019,138.1,130.7,1,6.89
27,whitericekilograms,June 2019,138.0,119.9,0,6.87
28,whitericekilograms,July 2019,138.8,124.4,1,6.87
29,whitericekilograms,August 2019,138.5,117.9,0,6.9
30,whitericekilograms,September 2019,137.5,116.9,1,6.74
31,whitericekilograms,October 2019,137.9,117.2,1,6.85
32,whitericekilograms,November 2019,137.7,115.0,0,7.17
33,whitericekilograms,December 2019,137.8,114.5,1,7.5
34,whitericekilograms,January 2020,138.0,114.6,1,7.42
35,whitericekilograms,February 2020,138.7,112.2,1,7.51
36,whitericekilograms,March 2020,137.9,91.3,0,7.36
37,whitericekilograms,April 2020,137.3,77.8,1,7.95
38,whitericekilograms,May 2020,137.5,91.4,1,7.83
39,whitericekilograms,June 2020,138.6,101.0,0,7.87
40,whitericekilograms,July 2020,138.8,105.5,1,7.86
41,whitericekilograms,August 2020,138.6,104.6,0,7.73
42,whitericekilograms,September 2020,138.3,104.1,1,7.77
43,whitericekilograms,October 2020,138.9,102.6,1,7.73
44,whitericekilograms,November 2020,139.0,101.1,0,7.75
45,whitericekilograms,December 2020,138.8,104.4,1,7.92
46,whitericekilograms,January 2021,139.5,111.0,1,8.18
47,whitericekilograms,February 2021,140.2,118.2,1,8.03
48,whitericekilograms,March 2021,141.0,125.0,0,7.93
49,whitericekilograms,April 2021,141.8,127.5,1,8.02
50,whitericekilograms,May 2021,142.6,131.5,1,7.95
51,whitericekilograms,June 2021,143.1,133.7,0,7.88
52,whitericekilograms,July 2021,143.7,138.4,1,8.07
53,whitericekilograms,August 2021,144.1,139.0,0,8.03
54,whitericekilograms,September 2021,144.4,138.9,1,7.85
55,whitericekilograms,October 2021,145.7,146.0,1,8.02
56,whitericekilograms,November 2021,146.0,145.8,0,7.79
57,whitericekilograms,December 2021,146.0,140.0,1,8.13
58,whitericekilograms,January 2022,147.4,146.6,1,8.3
59,whitericekilograms,February 2022,148.8,156.8,1,8.49
60,whitericekilograms,March 2022,150.8,175.2,0,8.59
61,whitericekilograms,April 2022,151.6,173.8,1,9.04
62,whitericekilograms,May 2022,153.7,194.8,1,8.92
63,whitericekilograms,June 2022,154.4,207.2,0,8.84
64,whitericekilograms,July 2022,154.6,187.8,1,8.92
65,whitericekilograms,August 2022,154.1,169.6,0,8.8
66,whitericekilograms,September 2022,154.1,156.4,1,9.18
67,whitericekilograms,October 2022,155.2,171.5,1,8.94
68,whitericekilograms,November 2022,155.4,165.3,0,9.24
69,whitericekilograms,December 2022,154.8,143.6,1,9.08
70,whitericekilograms,January 2023,155.7,150.3,1,9.23
71,whitericekilograms,February 2023,156.4,148.5,1,9.16
72,whitericekilograms,March 2023,157.3,150.3,0,9.24
73,whitericekilograms,April 2023,157.9,160.1,1,8.74
74,whitericekilograms,May 2023,158.5,158.8,1,9.08
75,whitericekilograms,June 2023,158.4,161.6,0,9.0
76,whitericekilograms,July 2023,159.6,163.1,1,9.14
77,whitericekilograms,August 2023,159.9,170.6,0,9.19
78,whitericekilograms,September 2023,159.7,168.3,1,9.0
79,whitericekilograms,October 2023,160.3,157.4,1,9.05
80,whitericekilograms,November 2023,160.6,152.2,0,9.25
81,whitericekilograms,December 2023,160.0,145.4,1,9.11
82,whitericekilograms,January 2024,159.9,144.1,1,9.26
83,whitericekilograms,February 2024,160.2,149.9,1,8.99
84,whitericekilograms,March 2024,161.4,157.3,0,8.96
85,whitericekilograms,April 2024,162.2,169.8,1,8.86
86,whitericekilograms,May 2024,163.2,167.6,1,6.88
87,whitericekilograms,June 2024,163.1,162.4,0,4.79
88,whitericekilograms,July 2024,163.9,166.5,1,7.25
89,whitericekilograms,August 2024,163.3,162.1,0,8.46
90,whitericekilograms,September 2024,162.8,150.3,1,8.62
91,whitericekilograms,October 2024,163.5,151.6,1,8.63
92,whitericekilograms,November 2024,163.5,151.4,0,8.68
93,whitericekilograms,December 2024,162.7,150.5,1,7.58
94,whitericekilograms,January 2025,162.6,156.7,1,8.52
95,whitericekilograms,February 2025,164.6,157.7,1,9.41
96,whitericekilograms,March 2025,165.1,154.8,0,9.95
97,whitericekilograms,April 2025,164.8,139.2,1,9.44
98,whitericekilograms,May 2025,165.9,141.7,1,9.48
99,whitericekilograms,June 2025,166.0,140.7,0,9.1
100,whitericekilograms,July 2025,166.5,139.6,1,9.17
101,whitericekilograms,August 2025,166.0,141.6,0,9.6
