Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,whitesugarkilograms,April 2017,132.0,116.1,1,1.95
2,whitesugarkilograms,May 2017,131.9,110.9,1,2.15
3,whitesugarkilograms,June 2017,132.1,106.5,0,1.78
4,whitesugarkilograms,July 2017,131.9,107.0,1,1.99
5,whitesugarkilograms,August 2017,131.8,109.7,0,2.13
6,whitesugarkilograms,September 2017,132.3,116.0,1,1.86
7,whitesugarkilograms,October 2017,132.3,112.4,1,2.06
8,whitesugarkilograms,November 2017,132.7,120.8,0,1.88
9,whitesugarkilograms,December 2017,132.0,116.9,1,2.06
10,whitesugarkilograms,January 2018,133.2,120.6,1,1.85
11,whitesugarkilograms,February 2018,134.0,119.7,1,2.03
12,whitesugarkilograms,March 2018,134.6,123.1,0,1.82
13,whitesugarkilograms,April 2018,134.8,131.6,1,2.02
14,whitesugarkilograms,May 2018,134.9,135.9,1,1.64
15,whitesugarkilograms,June 2018,135.3,132.9,0,1.77
16,whitesugarkilograms,July 2018,136.0,133.9,1,1.99
17,whitesugarkilograms,August 2018,135.9,131.8,0,2.21
18,whitesugarkilograms,September 2018,135.2,130.4,1,1.87
19,whitesugarkilograms,October 2018,135.6,125.9,1,1.99
20,whitesugarkilograms,November 2018,135.1,113.8,0,1.82
21,whitesugarkilograms,December 2018,135.0,106.4,1,2.07
22,whitesugarkilograms,January 2019,135.2,103.1,1,1.89
23,whitesugarkilograms,February 2019,136.0,105.1,1,1.38
24,whitesugarkilograms,March 2019,137.0,117.7,0,2.05
25,whitesugarkilograms,April 2019,137.4,129.5,1,2.02
26,whitesugarkilograms,May 2019,138.1,130.7,1,2.07
27,whitesugarkilograms,June 2019,138.0,119.9,0,1.89
28,whitesugarkilograms,July 2019,138.8,124.4,1,2.09
29,whitesugarkilograms,August 2019,138.5,117.9,0,2.06
30,whitesugarkilograms,September 2019,137.5,116.9,1,1.84
31,whitesugarkilograms,October 2019,137.9,117.2,1,1.62
32,whitesugarkilograms,November 2019,137.7,115.0,0,1.9
33,whitesugarkilograms,December 2019,137.8,114.5,1,2.06
34,whitesugarkilograms,January 2020,138.0,114.6,1,1.97
35,whitesugarkilograms,February 2020,138.7,112.2,1,1.38
36,whitesugarkilograms,March 2020,137.9,91.3,0,2.04
37,whitesugarkilograms,April 2020,137.3,77.8,1,1.88
38,whitesugarkilograms,May 2020,137.5,91.4,1,1.73
39,whitesugarkilograms,June 2020,138.6,101.0,0,1.82
40,whitesugarkilograms,July 2020,138.8,105.5,1,1.82
41,whitesugarkilograms,August 2020,138.6,104.6,0,1.93
42,whitesugarkilograms,September 2020,138.3,104.1,1,1.6
43,whitesugarkilograms,October 2020,138.9,102.6,1,1.58
44,whitesugarkilograms,November 2020,139.0,101.1,0,1.88
45,whitesugarkilograms,December 2020,138.8,104.4,1,1.8
46,whitesugarkilograms,January 2021,139.5,111.0,1,1.86
47,whitesugarkilograms,February 2021,140.2,118.2,1,1.52
48,whitesugarkilograms,March 2021,141.0,125.0,0,1.65
49,whitesugarkilograms,April 2021,141.8,127.5,1,2.14
50,whitesugarkilograms,May 2021,142.6,131.5,1,2.13
51,whitesugarkilograms,June 2021,143.1,133.7,0,2.16
52,whitesugarkilograms,July 2021,143.7,138.4,1,2.11
53,whitesugarkilograms,August 2021,144.1,139.0,0,2.22
54,whitesugarkilograms,September 2021,144.4,138.9,1,1.68
55,whitesugarkilograms,October 2021,145.7,146.0,1,2.2
56,whitesugarkilograms,November 2021,146.0,145.8,0,2.25
57,whitesugarkilograms,December 2021,146.0,140.0,1,2.38
58,whitesugarkilograms,January 2022,147.4,146.6,1,2.41
59,whitesugarkilograms,February 2022,148.8,156.8,1,2.62
60,whitesugarkilograms,March 2022,150.8,175.2,0,2.4
61,whitesugarkilograms,April 2022,151.6,173.8,1,2.36
62,whitesugarkilograms,May 2022,153.7,194.8,1,2.6
63,whitesugarkilograms,June 2022,154.4,207.2,0,2.43
64,whitesugarkilograms,July 2022,154.6,187.8,1,2.48
