Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,wholechicken,April 2017,132.0,116.1,1,5.2
2,wholechicken,May 2017,131.9,110.9,1,5.65
3,wholechicken,June 2017,132.1,106.5,0,5.05
4,wholechicken,July 2017,131.9,107.0,1,5.56
5,wholechicken,August 2017,131.8,109.7,0,6.17
6,wholechicken,September 2017,132.3,116.0,1,5.93
7,wholechicken,October 2017,132.3,112.4,1,5.2
8,wholechicken,November 2017,132.7,120.8,0,5.28
9,wholechicken,December 2017,132.0,116.9,1,4.54
10,wholechicken,January 2018,133.2,120.6,1,5.34
11,wholechicken,February 2018,134.0,119.7,1,5.09
12,wholechicken,March 2018,134.6,123.1,0,5.61
13,wholechicken,April 2018,134.8,131.6,1,5.25
14,wholechicken,May 2018,134.9,135.9,1,4.86
15,wholechicken,June 2018,135.3,132.9,0,5.42
16,wholechicken,July 2018,136.0,133.9,1,4.83
17,wholechicken,August 2018,135.9,131.8,0,5.26
18,wholechicken,September 2018,135.2,130.4,1,5.51
19,wholechicken,October 2018,135.6,125.9,1,5.93
20,wholechicken,November 2018,135.1,113.8,0,5.2
21,wholechicken,December 2018,135.0,106.4,1,6.76
22,wholechicken,January 2019,135.2,103.1,1,5.96
23,wholechicken,February 2019,136.0,105.1,1,5.16
24,wholechicken,March 2019,137.0,117.7,0,5.51
25,wholechicken,April 2019,137.4,129.5,1,5.15
26,wholechicken,May 2019,138.1,130.7,1,5.65
27,wholechicken,June 2019,138.0,119.9,0,5.19
28,wholechicken,July 2019,138.8,124.4,1,5.16
29,wholechicken,August 2019,138.5,117.9,0,4.86
30,wholechicken,September 2019,137.5,116.9,1,5.55
31,wholechicken,October 2019,137.9,117.2,1,5.95
32,wholechicken,November 2019,137.7,115.0,0,5.3
33,wholechicken,December 2019,137.8,114.5,1,6.01
34,wholechicken,January 2020,138.0,114.6,1,5.34
35,wholechicken,February 2020,138.7,112.2,1,5.73
36,wholechicken,March 2020,137.9,91.3,0,5.51
37,wholechicken,April 2020,137.3,77.8,1,5.52
38,wholechicken,May 2020,137.5,91.4,1,5.47
39,wholechicken,June 2020,138.6,101.0,0,5.2
40,wholechicken,July 2020,138.8,105.5,1,5.32
41,wholechicken,August 2020,138.6,104.6,0,5.98
42,wholechicken,September 2020,138.3,104.1,1,5.86
43,wholechicken,October 2020,138.9,102.6,1,5.3
44,wholechicken,November 2020,139.0,101.1,0,5.31
45,wholechicken,December 2020,138.8,104.4,1,6.99
46,wholechicken,January 2021,139.5,111.0,1,5.14
47,wholechicken,February 2021,140.2,118.2,1,5.44
48,wholechicken,March 2021,141.0,125.0,0,5.32
49,wholechicken,April 2021,141.8,127.5,1,5.74
50,wholechicken,May 2021,142.6,131.5,1,5.55
51,wholechicken,June 2021,143.1,133.7,0,5.19
52,wholechicken,July 2021,143.7,138.4,1,6.79
53,wholechicken,August 2021,144.1,139.0,0,6.5
54,wholechicken,September 2021,144.4,138.9,1,6.12
55,wholechicken,October 2021,145.7,146.0,1,6.37
56,wholechicken,November 2021,146.0,145.8,0,6.05
57,wholechicken,December 2021,146.0,140.0,1,7.3
58,wholechicken,January 2022,147.4,146.6,1,5.94
59,wholechicken,February 2022,148.8,156.8,1,5.81
60,wholechicken,March 2022,150.8,175.2,0,6.03
61,wholechicken,April 2022,151.6,173.8,1,5.63
62,wholechicken,May 2022,153.7,194.8,1,6.63
63,wholechicken,June 2022,154.4,207.2,0,6.13
64,wholechicken,July 2022,154.6,187.8,1,5.98
65,wholechicken,August 2022,154.1,169.6,0,6.07
66,wholechicken,September 2022,154.1,156.4,1,7.39
67,wholechicken,October 2022,155.2,171.5,1,6.3
68,wholechicken,November 2022,155.4,165.3,0,6.02
69,wholechicken,December 2022,154.8,143.6,1,7.05
70,wholechicken,January 2023,155.7,150.3,1,5.72
71,wholechicken,February 2023,156.4,148.5,1,6.84
72,wholechicken,March 2023,157.3,150.3,0,5.95
73,wholechicken,April 2023,157.9,160.1,1,6.08
74,wholechicken,May 2023,158.5,158.8,1,6.23
75,wholechicken,June 2023,158.4,161.6,0,6.51
76,wholechicken,July 2023,159.6,163.1,1,6.45
77,wholechicken,August 2023,159.9,170.6,0,7.03
78,wholechicken,September 2023,159.7,168.3,1,6.71
79,wholechicken,October 2023,160.3,157.4,1,6.26
80,wholechicken,November 2023,160.6,152.2,0,5.72
81,wholechicken,December 2023,160.0,145.4,1,5.8
82,wholechicken,January 2024,159.9,144.1,1,5.16
83,wholechicken,February 2024,160.2,149.9,1,5.27
84,wholechicken,March 2024,161.4,157.3,0,6.2
85,wholechicken,April 2024,162.2,169.8,1,5.86
86,wholechicken,May 2024,163.2,167.6,1,5.75
87,wholechicken,June 2024,163.1,162.4,0,5.19
88,wholechicken,July 2024,163.9,166.5,1,5.4
89,wholechicken,August 2024,163.3,162.1,0,5.51
90,wholechicken,September 2024,162.8,150.3,1,5.55
91,wholechicken,October 2024,163.5,151.6,1,7.23
92,wholechicken,November 2024,163.5,151.4,0,6.51
93,wholechicken,December 2024,162.7,150.5,1,5.95
94,wholechicken,January 2025,162.6,156.7,1,5.66
95,wholechicken,February 2025,164.6,157.7,1,5.97
96,wholechicken,March 2025,165.1,154.8,0,5.81
97,wholechicken,April 2025,164.8,139.2,1,5.74
98,wholechicken,May 2025,165.9,141.7,1,5.56
99,wholechicken,June 2025,166.0,140.7,0,6.94
100,wholechicken,July 2025,166.5,139.6,1,6.4
101,wholechicken,August 2025,166.0,141.6,0,7.58
