Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,wieners,April 2017,132.0,116.1,1,3.09
2,wieners,May 2017,131.9,110.9,1,2.85
3,wieners,June 2017,132.1,106.5,0,2.72
4,wieners,July 2017,131.9,107.0,1,3.12
5,wieners,August 2017,131.8,109.7,0,3.0
6,wieners,September 2017,132.3,116.0,1,3.14
7,wieners,October 2017,132.3,112.4,1,3.01
8,wieners,November 2017,132.7,120.8,0,2.95
9,wieners,December 2017,132.0,116.9,1,3.39
10,wieners,January 2018,133.2,120.6,1,2.89
11,wieners,February 2018,134.0,119.7,1,2.74
12,wieners,March 2018,134.6,123.1,0,3.08
13,wieners,April 2018,134.8,131.6,1,3.29
14,wieners,May 2018,134.9,135.9,1,3.22
15,wieners,June 2018,135.3,132.9,0,3.1
16,wieners,July 2018,136.0,133.9,1,3.31
17,wieners,August 2018,135.9,131.8,0,3.15
18,wieners,September 2018,135.2,130.4,1,3.08
19,wieners,October 2018,135.6,125.9,1,2.95
20,wieners,November 2018,135.1,113.8,0,2.8
21,wieners,December 2018,135.0,106.4,1,3.15
22,wieners,January 2019,135.2,103.1,1,3.2
23,wieners,February 2019,136.0,105.1,1,2.76
24,wieners,March 2019,137.0,117.7,0,3.3
25,wieners,April 2019,137.4,129.5,1,3.24
26,wieners,May 2019,138.1,130.7,1,3.16
27,wieners,June 2019,138.0,119.9,0,3.32
28,wieners,July 2019,138.8,124.4,1,3.55
29,wieners,August 2019,138.5,117.9,0,3.49
30,wieners,September 2019,137.5,116.9,1,3.46
31,wieners,October 2019,137.9,117.2,1,3.2
32,wieners,November 2019,137.7,115.0,0,3.46
33,wieners,December 2019,137.8,114.5,1,3.4
34,wieners,January 2020,138.0,114.6,1,3.69
35,wieners,February 2020,138.7,112.2,1,3.08
36,wieners,March 2020,137.9,91.3,0,3.8
37,wieners,April 2020,137.3,77.8,1,3.87
38,wieners,May 2020,137.5,91.4,1,4.06
39,wieners,June 2020,138.6,101.0,0,4.38
40,wieners,July 2020,138.8,105.5,1,3.76
41,wieners,August 2020,138.6,104.6,0,3.69
42,wieners,September 2020,138.3,104.1,1,3.65
43,wieners,October 2020,138.9,102.6,1,3.68
44,wieners,November 2020,139.0,101.1,0,3.86
45,wieners,December 2020,138.8,104.4,1,3.99
46,wieners,January 2021,139.5,111.0,1,3.79
47,wieners,February 2021,140.2,118.2,1,3.92
48,wieners,March 2021,141.0,125.0,0,3.92
49,wieners,April 2021,141.8,127.5,1,3.99
50,wieners,May 2021,142.6,131.5,1,3.93
51,wieners,June 2021,143.1,133.7,0,4.06
52,wieners,July 2021,143.7,138.4,1,4.06
53,wieners,August 2021,144.1,139.0,0,4.2
54,wieners,September 2021,144.4,138.9,1,4.12
55,wieners,October 2021,145.7,146.0,1,4.19
56,wieners,November 2021,146.0,145.8,0,4.11
57,wieners,December 2021,146.0,140.0,1,4.4
58,wieners,January 2022,147.4,146.6,1,4.22
59,wieners,February 2022,148.8,156.8,1,4.2
60,wieners,March 2022,150.8,175.2,0,3.95
61,wieners,April 2022,151.6,173.8,1,4.39
62,wieners,May 2022,153.7,194.8,1,4.48
63,wieners,June 2022,154.4,207.2,0,4.56
64,wieners,July 2022,154.6,187.8,1,4.6
65,wieners,August 2022,154.1,169.6,0,4.44
66,wieners,September 2022,154.1,156.4,1,4.38
67,wieners,October 2022,155.2,171.5,1,4.53
68,wieners,November 2022,155.4,165.3,0,4.5
69,wieners,December 2022,154.8,143.6,1,4.56
70,wieners,January 2023,155.7,150.3,1,4.39
71,wieners,February 2023,156.4,148.5,1,4.42
72,wieners,March 2023,157.3,150.3,0,4.39
73,wieners,April 2023,157.9,160.1,1,4.22
74,wieners,May 2023,158.5,158.8,1,4.26
75,wieners,June 2023,158.4,161.6,0,4.4
76,wieners,July 2023,159.6,163.1,1,4.5
77,wieners,August 2023,159.9,170.6,0,4.14
78,wieners,September 2023,159.7,168.3,1,4.23
79,wieners,October 2023,160.3,157.4,1,4.11
80,wieners,November 2023,160.6,152.2,0,4.22
81,wieners,December 2023,160.0,145.4,1,4.33
82,wieners,January 2024,159.9,144.1,1,4.07
83,wieners,February 2024,160.2,149.9,1,4.07
84,wieners,March 2024,161.4,157.3,0,4.42
85,wieners,April 2024,162.2,169.8,1,4.28
86,wieners,May 2024,163.2,167.6,1,4.47
87,wieners,June 2024,163.1,162.4,0,4.36
88,wieners,July 2024,163.9,166.5,1,4.24
89,wieners,August 2024,163.3,162.1,0,4.32
90,wieners,September 2024,162.8,150.3,1,4.33
91,wieners,October 2024,163.5,151.6,1,4.45
92,wieners,November 2024,163.5,151.4,0,4.44
93,wieners,December 2024,162.7,150.5,1,4.45
94,wieners,January 2025,162.6,156.7,1,4.32
95,wieners,February 2025,164.6,157.7,1,4.27
96,wieners,March 2025,165.1,154.8,0,4.34
97,wieners,April 2025,164.8,139.2,1,4.41
98,wieners,May 2025,165.9,141.7,1,4.31
99,wieners,June 2025,166.0,140.7,0,4.32
100,wieners,July 2025,166.5,139.6,1,4.54
101,wieners,August 2025,166.0,141.6,0,4.65
