Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,yogurt,April 2017,132.0,116.1,1,2.6
2,yogurt,May 2017,131.9,110.9,1,2.48
3,yogurt,June 2017,132.1,106.5,0,2.34
4,yogurt,July 2017,131.9,107.0,1,2.43
5,yogurt,August 2017,131.8,109.7,0,2.42
6,yogurt,September 2017,132.3,116.0,1,2.34
7,yogurt,October 2017,132.3,112.4,1,2.43
8,yogurt,November 2017,132.7,120.8,0,2.39
9,yogurt,December 2017,132.0,116.9,1,2.36
10,yogurt,January 2018,133.2,120.6,1,2.37
11,yogurt,February 2018,134.0,119.7,1,2.36
12,yogurt,March 2018,134.6,123.1,0,2.37
13,yogurt,April 2018,134.8,131.6,1,2.39
14,yogurt,May 2018,134.9,135.9,1,2.31
15,yogurt,June 2018,135.3,132.9,0,2.31
16,yogurt,July 2018,136.0,133.9,1,2.41
17,yogurt,August 2018,135.9,131.8,0,2.35
18,yogurt,September 2018,135.2,130.4,1,2.38
19,yogurt,October 2018,135.6,125.9,1,2.43
20,yogurt,November 2018,135.1,113.8,0,2.32
21,yogurt,December 2018,135.0,106.4,1,2.34
22,yogurt,January 2019,135.2,103.1,1,2.49
23,yogurt,February 2019,136.0,105.1,1,2.46
24,yogurt,March 2019,137.0,117.7,0,2.47
25,yogurt,April 2019,137.4,129.5,1,2.47
26,yogurt,May 2019,138.1,130.7,1,2.35
27,yogurt,June 2019,138.0,119.9,0,2.41
28,yogurt,July 2019,138.8,124.4,1,2.43
29,yogurt,August 2019,138.5,117.9,0,2.39
30,yogurt,September 2019,137.5,116.9,1,2.36
31,yogurt,October 2019,137.9,117.2,1,2.37
32,yogurt,November 2019,137.7,115.0,0,2.39
33,yogurt,December 2019,137.8,114.5,1,2.34
34,yogurt,January 2020,138.0,114.6,1,2.45
35,yogurt,February 2020,138.7,112.2,1,2.42
36,yogurt,March 2020,137.9,91.3,0,2.48
37,yogurt,April 2020,137.3,77.8,1,2.45
38,yogurt,May 2020,137.5,91.4,1,2.49
39,yogurt,June 2020,138.6,101.0,0,2.54
40,yogurt,July 2020,138.8,105.5,1,2.44
41,yogurt,August 2020,138.6,104.6,0,2.47
42,yogurt,September 2020,138.3,104.1,1,2.52
43,yogurt,October 2020,138.9,102.6,1,2.51
44,yogurt,November 2020,139.0,101.1,0,2.52
45,yogurt,December 2020,138.8,104.4,1,2.55
46,yogurt,January 2021,139.5,111.0,1,2.52
47,yogurt,February 2021,140.2,118.2,1,2.51
48,yogurt,March 2021,141.0,125.0,0,2.58
49,yogurt,April 2021,141.8,127.5,1,2.51
50,yogurt,May 2021,142.6,131.5,1,2.55
51,yogurt,June 2021,143.1,133.7,0,2.57
52,yogurt,July 2021,143.7,138.4,1,2.57
53,yogurt,August 2021,144.1,139.0,0,2.65
54,yogurt,September 2021,144.4,138.9,1,2.63
55,yogurt,October 2021,145.7,146.0,1,2.64
56,yogurt,November 2021,146.0,145.8,0,2.63
57,yogurt,December 2021,146.0,140.0,1,2.64
58,yogurt,January 2022,147.4,146.6,1,2.68
59,yogurt,February 2022,148.8,156.8,1,2.79
60,yogurt,March 2022,150.8,175.2,0,2.84
61,yogurt,April 2022,151.6,173.8,1,2.75
62,yogurt,May 2022,153.7,194.8,1,2.88
63,yogurt,June 2022,154.4,207.2,0,2.84
64,yogurt,July 2022,154.6,187.8,1,2.77
65,yogurt,August 2022,154.1,169.6,0,2.8
66,yogurt,September 2022,154.1,156.4,1,2.81
67,yogurt,October 2022,155.2,171.5,1,2.89
68,yogurt,November 2022,155.4,165.3,0,2.88
69,yogurt,December 2022,154.8,143.6,1,3.08
70,yogurt,January 2023,155.7,150.3,1,3.02
71,yogurt,February 2023,156.4,148.5,1,2.95
72,yogurt,March 2023,157.3,150.3,0,3.02
73,yogurt,April 2023,157.9,160.1,1,3.03
74,yogurt,May 2023,158.5,158.8,1,3.04
75,yogurt,June 2023,158.4,161.6,0,3.07
76,yogurt,July 2023,159.6,163.1,1,3.15
77,yogurt,August 2023,159.9,170.6,0,3.09
78,yogurt,September 2023,159.7,168.3,1,3.14
79,yogurt,October 2023,160.3,157.4,1,3.08
80,yogurt,November 2023,160.6,152.2,0,3.05
81,yogurt,December 2023,160.0,145.4,1,3.33
82,yogurt,January 2024,159.9,144.1,1,3.25
83,yogurt,February 2024,160.2,149.9,1,3.28
84,yogurt,March 2024,161.4,157.3,0,3.27
85,yogurt,April 2024,162.2,169.8,1,3.28
86,yogurt,May 2024,163.2,167.6,1,3.38
87,yogurt,June 2024,163.1,162.4,0,3.41
88,yogurt,July 2024,163.9,166.5,1,3.47
89,yogurt,August 2024,163.3,162.1,0,3.47
90,yogurt,September 2024,162.8,150.3,1,3.45
91,yogurt,October 2024,163.5,151.6,1,3.5
92,yogurt,November 2024,163.5,151.4,0,3.49
93,yogurt,December 2024,162.7,150.5,1,3.52
94,yogurt,January 2025,162.6,156.7,1,3.48
95,yogurt,February 2025,164.6,157.7,1,3.47
96,yogurt,March 2025,165.1,154.8,0,3.46
97,yogurt,April 2025,164.8,139.2,1,3.62
98,yogurt,May 2025,165.9,141.7,1,3.64
99,yogurt,June 2025,166.0,140.7,0,3.65
100,yogurt,July 2025,166.5,139.6,1,3.64
101,yogurt,August 2025,166.0,141.6,0,3.62
